,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"5,433","4,469","6,660","3,335","7,051","4,450","5,899","10,483","9,267","15,968","16,772"
Market Cap Growth,102.31%,-17.74%,49.01%,-49.93%,111.46%,-36.89%,32.55%,77.72%,-11.60%,72.31%,-
Enterprise Value,"3,613","2,285","4,785","1,197","4,031","2,051","4,206","9,015","7,681","13,575","15,449"
PE Ratio,15.49,11.29,11.22,-8.01,-42.58,30.83,-51.32,26.32,19.77,-361.55,35.51
PS Ratio,1.64,1.32,1.62,1.15,2.40,1.98,1.93,3.87,3.17,6.10,5.30
PB Ratio,1.21,0.90,1.20,0.64,1.38,0.85,1.16,1.90,1.56,2.74,2.66
P/FCF Ratio,7.88,9.35,-13.55,-146.90,8.53,-4.17,-11.93,-27.62,-30.61,-528.13,-32.55
P/OCF Ratio,6.35,6.08,-20.48,16.13,5.26,-13.62,33.86,282.41,39.01,18.28,20.05
EV/Sales Ratio,1.09,0.67,1.16,0.41,1.37,0.91,1.37,3.33,2.63,5.18,4.89
EV/EBITDA Ratio,5.86,3.39,5.37,-8.46,11.60,6.74,37.51,16.45,9.09,46.72,19.17
EV/EBIT Ratio,9.44,5.32,7.56,-3.21,17.36,11.81,-45.06,28.61,13.12,651.91,29.88
EV/FCF Ratio,5.24,4.78,-9.73,-52.71,4.88,-1.92,-8.51,-23.75,-25.37,-448.96,-30.05
Debt / Equity Ratio,0.05,0.04,0.05,0.04,0.08,0.09,0.09,0.05,0.04,0.03,0.08
Debt / EBITDA Ratio,0.36,0.32,0.32,-1.33,1.13,1.53,4.21,0.51,0.28,0.63,0.62
Debt / FCF Ratio,0.32,0.45,-0.59,-8.30,0.48,-0.44,-0.95,-0.74,-0.79,-6.10,-0.94
Quick Ratio,1.70,2.63,2.86,3.16,5.95,4.11,2.14,2.41,3.14,2.83,2.18
Current Ratio,2.39,3.08,3.48,4.17,5.89,4.57,2.73,3.56,4.39,3.65,3.19
Asset Turnover,0.49,0.52,0.59,0.39,0.43,0.32,0.42,0.39,0.40,0.34,0.36
Interest Coverage,203.13,216.52,90.71,-18.13,9.01,6.70,-3.45,13.11,44.65,1.70,57.26
Return on Equity (ROE),8.40%,8.30%,11.30%,-7.30%,-3.10%,2.80%,-2.20%,7.50%,8.10%,-0.80%,7.90%
Return on Assets (ROA),5.20%,6.10%,8.50%,-5.50%,-2.40%,2.10%,-1.60%,5.70%,6.50%,-0.60%,5.40%
Return on Capital (ROIC),7.22%,7.52%,11.86%,-10.51%,-2.60%,0.69%,-2.91%,7.49%,5.81%,23.95%,5.67%
Earnings Yield,6.45%,8.86%,8.91%,-12.48%,-2.35%,3.24%,-1.95%,3.80%,5.06%,-0.28%,2.83%
FCF Yield,12.70%,10.69%,-7.38%,-0.68%,11.72%,-23.97%,-8.38%,-3.62%,-3.27%,-0.19%,-3.16%
Buyback Yield / Dilution,-9.91%,-6.47%,-0.17%,-1.03%,-1.42%,-1.71%,0.76%,-1.31%,-0.22%,0.35%,-0.85%
Total Shareholder Return,-9.91%,-6.47%,-0.17%,-1.03%,-1.42%,-1.71%,0.76%,-1.31%,-0.22%,0.35%,-0.85%
