,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"253,766","314,903","279,546","151,328","65,845","97,466","94,607","103,741","91,555","138,911","162,335"
Market Cap Growth,-10.52%,24.09%,-11.23%,-45.87%,-56.49%,48.02%,-2.93%,9.66%,-11.75%,51.72%,-
Enterprise Value,"445,165","442,022","367,628","241,952","138,321","138,937","125,660","110,859","92,195","137,202","160,626"
PE Ratio,16.66,-51.24,40.84,-16.96,-2.89,-17.92,18.09,-15.78,1795.19,15.12,17.84
PS Ratio,2.17,2.68,2.34,1.52,0.68,1.08,1.25,1.84,1.58,2.04,2.39
PB Ratio,1.98,3.20,3.69,2.70,2.13,3.44,2.66,2.57,2.72,5.07,5.93
P/FCF Ratio,10.80,21.24,-118.25,30.34,31.00,14.73,46.35,41.18,18.50,37.82,44.20
P/OCF Ratio,9.16,15.83,240.99,23.09,13.23,11.16,26.52,29.80,15.48,26.82,31.34
EV/Sales Ratio,3.80,3.77,3.08,2.44,1.43,1.54,1.66,1.96,1.59,2.02,2.36
EV/EBITDA Ratio,18.80,50.99,19.91,-546.17,-12.67,68.07,11.69,-37.66,19.55,9.91,11.61
EV/EBIT Ratio,23.77,115.65,32.27,-36.46,-7.91,-92.62,17.25,-20.90,50.85,11.67,13.66
EV/FCF Ratio,18.94,29.82,-155.51,48.51,65.12,21.00,61.57,44.01,18.63,37.35,43.73
Debt / Equity Ratio,2.04,2.01,1.80,2.40,3.34,3.21,2.11,0.87,0.71,0.77,0.77
Debt / EBITDA Ratio,11.04,22.79,7.38,-303.82,-9.49,44.53,6.97,-11.95,5.10,1.51,1.51
Debt / FCF Ratio,11.13,13.33,-57.62,26.98,48.78,13.74,36.70,13.97,4.86,5.71,5.71
Quick Ratio,-,-,-,-,-,0.84,1.11,0.84,0.77,0.75,0.75
Current Ratio,-,-,-,-,-,1.31,1.55,1.28,1.18,1.18,1.18
Asset Turnover,0.18,0.20,0.30,0.27,0.29,0.31,0.30,0.25,0.31,0.42,0.42
Interest Coverage,6.88,1.10,2.27,-1.43,-3.67,-0.51,3.52,-2.96,1.23,10.52,10.52
Return on Equity (ROE),11.50%,-5.70%,8.20%,-12.70%,-52.60%,-17.10%,15.20%,-18.20%,0.10%,30.90%,30.90%
Return on Assets (ROA),2.30%,-1.10%,1.70%,-2.50%,-6.90%,-1.90%,2.00%,-2.90%,0.00%,5.70%,5.70%
Return on Capital (ROIC),3.17%,-67.18%,5.71%,-3.33%,-11.73%,2.93%,-0.62%,1.40%,-0.77%,4.78%,4.78%
Earnings Yield,6.00%,-1.95%,2.45%,-5.89%,-34.63%,-5.58%,5.53%,-6.34%,0.06%,6.61%,5.66%
FCF Yield,9.26%,4.71%,-0.85%,3.30%,3.23%,6.79%,2.16%,2.43%,5.40%,2.64%,2.26%
Dividend Yield,3.50%,3.00%,2.90%,4.80%,4.90%,0.40%,0.40%,0.30%,0.40%,0.30%,0.21%
Payout Ratio,58.90%,-148.40%,122.40%,-81.60%,-14.10%,-6.40%,6.90%,-5.30%,640.00%,3.80%,3.83%
Buyback Yield / Dilution,0.74%,-0.67%,12.49%,1.97%,-0.30%,-0.41%,-0.30%,-0.29%,0.50%,0.39%,0.39%
Total Shareholder Return,4.24%,2.33%,15.39%,6.77%,4.60%,-0.01%,0.10%,0.01%,0.90%,0.69%,0.61%
