,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"4,627","5,392","5,681","6,249","6,934","7,195","7,004","8,209","8,551","10,072"
Revenue Growth (YoY),45.51%,16.55%,5.34%,10.01%,10.96%,3.76%,-2.66%,17.22%,4.16%,17.79%
Cost of Revenue,"1,802","2,192","2,185","2,465","2,720","2,421","1,789","2,246","1,354","1,690"
Gross Profit,"2,825","3,200","3,496","3,784","4,214","4,774","5,215","5,964","7,197","8,382"
"Selling, General & Admin","2,168","2,429","2,537","2,747","3,026","3,340","3,467","3,928","4,800","5,681"
Other Operating Expenses,258.9,334.2,350.8,385.8,419,474.4,562.4,566.3,599.6,696.5
Operating Expenses,"2,427","2,763","2,888","3,133","3,445","3,814","4,029","4,494","5,399","6,378"
Operating Income,398,437.1,607.6,650.8,769,959.8,"1,186","1,470","1,797","2,005"
Interest Expense / Income,89,103,109.8,124.1,138.4,179.8,196.4,226.1,256.9,296.7
Other Expense / Income,41.6,72.9,197.7,202.5,193.6,200.9,158.1,317,215.3,519.2
Pretax Income,267.4,261.2,300.1,324.2,437,579.1,831.6,926.9,"1,325","1,189"
Income Tax,-36,-95.6,-96.7,-157.1,-196.5,-89.7,12.8,20.1,211,219.1
Net Income,303.4,356.8,396.8,481.3,633.5,668.8,818.8,906.8,"1,114",969.5
Net Income Growth,12.96%,17.60%,11.21%,21.30%,31.62%,5.57%,22.43%,10.75%,22.87%,-12.99%
Shares Outstanding (Basic),161,177,178,181,184,187,192,207,211,216
Shares Change,22.68%,9.49%,0.71%,1.61%,1.58%,1.56%,3.11%,7.78%,1.72%,2.40%
EPS (Basic),1.98,2.07,2.23,2.67,3.47,3.60,4.29,4.47,5.30,4.51
EPS (Diluted),1.97,2.06,2.22,2.64,3.40,3.52,4.20,4.37,5.19,4.42
EPS Growth,-4.37%,4.57%,7.77%,18.92%,28.79%,3.53%,19.32%,4.05%,18.76%,-14.84%
Free Cash Flow,355.1,587.1,431.8,725,640.7,"1,052","1,708","1,264","1,207","1,838"
Free Cash Flow Per Share,2.20,3.32,2.43,4.01,3.49,5.64,8.88,6.10,5.73,8.51
Dividend Per Share,1.440,1.480,1.520,1.560,1.640,1.720,1.800,1.920,2.040,2.200
Dividend Growth,2.86%,2.78%,2.70%,2.63%,5.13%,4.88%,4.65%,6.67%,6.25%,7.84%
Gross Margin,61.05%,59.35%,61.54%,60.55%,60.78%,66.35%,74.46%,72.65%,84.17%,83.22%
Operating Margin,8.60%,8.11%,10.70%,10.41%,11.09%,13.34%,16.94%,17.91%,21.02%,19.90%
Profit Margin,6.56%,6.62%,6.99%,7.70%,9.14%,9.30%,11.69%,11.05%,13.03%,9.63%
Free Cash Flow Margin,7.68%,10.89%,7.60%,11.60%,9.24%,14.63%,24.38%,15.39%,14.12%,18.25%
Effective Tax Rate,-13.46%,-36.60%,-32.22%,-48.46%,-44.97%,-15.49%,1.54%,2.17%,15.92%,18.43%
EBITDA,615.3,698.4,760.7,834.1,994.4,"1,233","1,590","1,719","2,182","2,182"
EBITDA Margin,13.30%,12.95%,13.39%,13.35%,14.34%,17.14%,22.71%,20.94%,25.52%,21.66%
Depreciation & Amortization,258.9,334.2,350.8,385.8,419,474.4,562.4,566.3,599.6,696.5
EBIT,356.4,364.2,409.9,448.3,575.4,758.9,"1,028","1,153","1,582","1,485"
EBIT Margin,7.70%,6.75%,7.22%,7.17%,8.30%,10.55%,14.68%,14.04%,18.50%,14.75%
