,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,303.4,356.8,396.8,481.3,633.5,668.8,818.8,906.8,"1,114",969.5
Depreciation & Amortization,258.9,334.2,350.8,385.8,419,474.4,562.4,566.3,599.6,696.5
Share-Based Compensation,33.5,33.9,43.2,50.8,55.3,61.2,74.5,82.3,109.8,136.5
Other Operating Activities,-159.2,-38.8,-141.2,-63.7,-342.7,-13.3,351.4,-163,-433.6,229.2
Operating Cash Flow,436.6,686.1,649.6,854.2,765.1,"1,191","1,807","1,392","1,390","2,032"
Operating Cash Flow Growth,17.21%,57.15%,-5.32%,31.50%,-10.43%,55.68%,51.72%,-22.95%,-0.17%,46.17%
Capital Expenditures,-81.5,-99,-217.8,-129.2,-124.4,-138.8,-99.3,-128.6,-182.7,-193.6
Acquisitions,"-1,910.1",-240.4,-235.6,-372.9,-770.3,"-1,185.8",-316.1,"-3,235.2",-753.9,"-3,032"
Change in Investments,-20.1,-29.5,-31.9,-8.9,-15.6,-123.9,-56,-67.9,-68.2,-67.4
Investing Cash Flow,"-2,011.7",-368.9,-485.3,-511,-910.3,"-1,448.5",-471.4,"-3,431.7","-1,004.8","-3,293"
Dividends Paid,-223.1,-257.5,-272.2,-282.7,-301.8,-321.1,-347.4,-392,-429.5,-473.6
Share Issuance / Repurchase,997,203.3,-55.4,42.7,70.6,101.2,111.9,"1,547",123.1,120.2
Debt Issued / Paid,817,78.9,396.8,260.6,507.9,999.2,-79.1,"1,759",-161.2,"1,861"
Other Financing Activities,-27.4,-56.4,-80.8,-68.4,-114.7,-140.9,-190.5,82.1,680.2,"1,367"
Financing Cash Flow,"1,564",-31.7,-11.6,-47.8,162,638.4,-505.1,"2,996",212.6,"2,874"
Exchange Rate Effect,27.9,-75,-107.6,72,-85,6.1,119.8,-64.5,-99.9,-33.5
Net Cash Flow,16.3,210.5,45.1,367.4,-68.2,387.1,950.4,892,497.9,"1,579"
Free Cash Flow,355.1,587.1,431.8,725,640.7,"1,052","1,708","1,264","1,207","1,838"
Free Cash Flow Growth,27.32%,65.33%,-26.45%,67.90%,-11.63%,64.24%,62.29%,-26.00%,-4.47%,52.25%
Free Cash Flow Margin,7.68%,10.89%,7.60%,11.60%,9.24%,14.63%,24.38%,15.39%,14.12%,18.25%
Free Cash Flow Per Share,2.20,3.32,2.43,4.01,3.49,5.64,8.88,6.10,5.73,8.51
