,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,597","7,234","9,246","11,441","13,535","17,763","23,792","35,169","39,752","48,552","51,863"
Market Cap Growth,23.07%,-4.79%,27.81%,23.74%,18.30%,31.23%,33.95%,47.82%,13.03%,22.14%,-
Enterprise Value,"8,308","7,795","10,156","12,269","14,909","20,086","25,083","37,295","45,428","55,897","59,209"
PE Ratio,25.04,20.27,23.30,23.77,21.37,26.56,29.06,38.78,35.68,50.08,54.12
PS Ratio,1.64,1.34,1.63,1.83,1.95,2.47,3.40,4.28,4.65,4.82,5.15
PB Ratio,2.35,1.99,2.57,2.70,3.01,3.45,3.85,4.13,4.35,4.51,4.81
P/FCF Ratio,21.40,12.32,21.41,15.78,21.13,16.88,13.93,27.83,32.93,26.41,28.22
P/OCF Ratio,17.40,10.54,14.23,13.39,17.69,14.91,13.17,25.26,28.60,23.90,25.53
EV/Sales Ratio,1.80,1.45,1.79,1.96,2.15,2.79,3.58,4.54,5.31,5.55,5.88
EV/EBITDA Ratio,13.50,11.16,13.35,14.71,14.99,16.29,15.77,21.69,20.82,25.62,27.14
EV/EBIT Ratio,23.31,21.40,24.78,27.37,25.91,26.47,24.40,32.35,28.71,37.63,39.86
EV/FCF Ratio,23.40,13.28,23.52,16.92,23.27,19.09,14.69,29.51,37.63,30.41,32.21
Debt / Equity Ratio,0.74,0.67,0.79,0.74,0.80,0.96,0.79,0.77,0.70,0.77,0.77
Debt / EBITDA Ratio,3.89,3.51,3.74,3.76,3.63,4.01,3.06,3.83,2.94,3.81,3.81
Debt / FCF Ratio,6.74,4.18,6.60,4.32,5.64,4.70,2.85,5.22,5.31,4.52,4.52
Quick Ratio,0.86,0.87,0.82,0.95,0.92,0.90,0.99,0.97,0.17,0.15,0.15
Current Ratio,1.05,1.01,0.96,1.08,1.06,1.02,1.10,1.06,1.04,1.03,1.03
Asset Turnover,0.50,0.52,0.51,0.48,0.43,0.38,0.33,0.29,0.21,0.20,0.20
Interest Coverage,4.00,3.54,3.73,3.61,4.16,4.22,5.23,5.10,6.16,5.01,5.01
Return on Equity (ROE),10.20%,10.10%,11.00%,12.10%,14.10%,13.50%,14.60%,11.30%,12.50%,9.40%,9.40%
Return on Assets (ROA),3.30%,3.40%,3.50%,3.70%,3.90%,3.50%,3.80%,3.20%,2.80%,1.90%,1.90%
Return on Capital (ROIC),8.03%,9.80%,12.47%,13.11%,13.75%,10.97%,10.57%,9.52%,9.71%,8.56%,8.56%
Earnings Yield,3.99%,4.93%,4.29%,4.21%,4.68%,3.77%,3.44%,2.58%,2.80%,2.00%,1.87%
FCF Yield,4.67%,8.12%,4.67%,6.34%,4.73%,5.92%,7.18%,3.59%,3.04%,3.79%,3.54%
Dividend Yield,3.10%,3.60%,2.90%,2.50%,2.20%,1.80%,1.50%,1.10%,1.10%,1.00%,1.00%
Payout Ratio,72.70%,71.50%,68.20%,58.40%,47.30%,47.80%,42.00%,43.00%,38.50%,48.80%,54.30%
Buyback Yield / Dilution,-22.68%,-9.49%,-0.71%,-1.61%,-1.58%,-1.56%,-3.11%,-7.78%,-1.72%,-2.40%,-2.40%
Total Shareholder Return,-19.58%,-5.89%,2.19%,0.89%,0.62%,0.24%,-1.61%,-6.68%,-0.62%,-1.40%,-1.40%
