,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,1443000000,566000000,921000000,1191000000,1391000000,1234000000,1267000000,2063000000,2066000000,2215000000,2884000000,3660000000,4847000000,5460000000,4234000000,5382000000,5777000000,4511000000,4533000000,4178000000
totalRevenue,7226000000,4541000000,6350000000,6303000000,7384000000,5985000000,6036000000,8771000000,10744000000,10389000000,11958000000,13757000000,17719000000,18756000000,16934000000,21454000000,24318000000,23329000000,24927000000,23350000000
costOfRevenue,5783000000,3975000000,5429000000,5112000000,5993000000,4751000000,4769000000,6708000000,8678000000,8174000000,9074000000,10097000000,12872000000,13296000000,12700000000,16072000000,18541000000,18818000000,20394000000,19172000000
costofGoodsAndServicesSold,25289000,80843000,34829000,51328000,26000000,45000000,43000000,41000000,149000000,75000000,36000000,35000000,149000000,197000000,82000000,97000000,143000000,126000000,57000000,11000000
operatingIncome,414000000,-522000000,-167000000,261000000,359000000,283000000,327000000,809000000,575000000,594000000,1312000000,2004000000,2613000000,3603000000,2464000000,3688000000,3901000000,2664000000,2399000000,1764000000
sellingGeneralAndAdministrative,668000000,704000000,647000000,596000000,699000000,627000000,661000000,888000000,969000000,1056000000,973000000,994000000,1494000000,992000000,961000000,961000000,1032000000,1076000000,1191000000,1253000000
researchAndDevelopment,356000000,340000000,324000000,334000000,345000000,324000000,279000000,366000000,522000000,666000000,576000000,611000000,740000000,865000000,667000000,733000000,810000000,771000000,943000000,1161000000
operatingExpenses,1029000000,1088000000,1088000000,930000000,1032000000,951000000,940000000,1254000000,1491000000,1621000000,1572000000,1656000000,2234000000,1857000000,1770000000,1694000000,1876000000,1847000000,2134000000,2414000000
investmentIncomeNet,7348000,8762000,10362000,15000000,10000000,10000000,8000000,6000000,6000000,10000000,11000000,10000000,25000000,28000000,26000000,86000000,157000000,213000000,238000000,282000000
netInterestIncome,-174723000,-157453000,-171979000,-185000000,-170000000,-169000000,-170000000,-163000000,-246000000,-99000000,-75000000,-126000000,-71000000,-61000000,-44000000,-53000000,-33000000,-29000000,-28000000,-38000000
interestIncome,277000,547000,21000,15000000,10000000,10000000,8000000,6000000,6000000,10000000,11000000,10000000,25000000,28000000,26000000,33000000,157000000,184000000,238000000,244000000
interestExpense,175000000,158000000,172000000,185000000,170000000,169000000,170000000,163000000,246000000,99000000,75000000,126000000,71000000,61000000,44000000,53000000,33000000,29000000,28000000,38000000
nonInterestIncome,7441796000,235829000,208362000,-353399000,-131000000,-26000000,-24000000,-161000000,-125000000,-2000000,1000000,-7000000,-47000000,-30000000,82000000,-53000000,-80000000,25000000,258000000,23350000000
otherNonOperatingIncome,-14000000,26000000,-41000000,85000000,-25000000,-54000000,-15000000,-97000000,44000000,28000000,45000000,-6000000,68000000,56000000,28000000,-85000000,-42000000,-48000000,328000000,37000000
depreciation,313000000,299000000,335000000,353000000,383000000,371000000,356000000,403000000,440000000,424000000,461000000,495000000,530000000,551000000,578000000,620000000,670000000,722000000,816000000,897000000
depreciationAndAmortization,496737000,467577000,578572000,78000000,133000000,553000000,567000000,584000000,618000000,621000000,681000000,761000000,848000000,880000000,922000000,956000000,989000000,1046000000,1154000000,1235000000
