,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"9,716","11,371","15,400","13,271","19,594","27,767","25,754","34,422","28,463","46,527","63,747"
Market Cap Growth,33.33%,17.03%,35.43%,-13.83%,47.64%,41.71%,-7.25%,33.65%,-17.31%,63.46%,-
Enterprise Value,"16,370","19,007","24,009","24,383","30,398","43,199","41,046","49,633","45,257","62,805","81,488"
PE Ratio,53.89,25.62,26.40,30.33,21.75,35.64,50.11,56.71,36.49,36.93,48.66
PS Ratio,4.10,4.20,4.86,3.79,5.14,5.32,5.05,7.17,5.24,7.07,9.14
PB Ratio,-6.24,-10.95,-23.64,-4.50,-10.83,-9.60,-6.48,-11.80,-7.54,-23.45,-15.93
P/FCF Ratio,19.16,24.40,24.09,18.49,20.65,30.41,23.24,42.60,34.33,37.64,42.78
P/OCF Ratio,17.95,21.83,22.54,16.83,19.17,27.36,21.23,37.70,30.02,33.84,39.01
EV/Sales Ratio,6.90,7.02,7.57,6.96,7.98,8.27,8.04,10.34,8.34,9.54,11.68
EV/EBITDA Ratio,21.37,16.59,17.52,15.74,17.14,19.66,19.56,24.50,18.43,19.96,24.27
EV/EBIT Ratio,24.45,18.06,19.22,17.31,18.49,21.92,22.62,27.99,20.54,21.81,26.44
EV/FCF Ratio,32.28,40.78,37.55,33.97,32.03,47.32,37.05,61.43,54.59,50.81,54.69
Debt / Equity Ratio,-4.80,-8.04,-15.65,-3.99,-7.12,-5.84,-5.04,-6.86,-5.25,-9.95,-6.23
Debt / EBITDA Ratio,9.76,7.29,7.44,7.59,7.26,7.69,9.54,9.87,8.06,6.28,6.51
Debt / FCF Ratio,14.74,17.92,15.95,16.39,13.57,18.51,18.06,24.75,23.88,15.98,14.68
Quick Ratio,2.00,1.76,2.87,1.48,3.08,1.65,3.36,3.35,2.78,2.98,2.90
Current Ratio,2.88,2.72,3.89,2.45,4.06,3.16,4.31,4.23,3.96,4.27,4.07
Asset Turnover,0.36,0.35,0.33,0.35,0.34,0.33,0.29,0.25,0.29,0.34,0.35
Interest Coverage,1.93,2.51,2.58,2.34,2.48,2.29,1.76,1.67,2.05,2.47,2.62
Return on Equity (ROE),-20.60%,-35.50%,-68.90%,-20.00%,-40.90%,-42.30%,-12.30%,-18.20%,-25.40%,-47.50%,-50.10%
Return on Assets (ROA),2.80%,5.80%,6.10%,4.30%,8.10%,4.90%,2.90%,3.20%,4.20%,6.50%,6.70%
Return on Capital (ROIC),8.78%,10.29%,10.13%,12.47%,14.59%,11.01%,9.71%,9.81%,10.66%,12.45%,12.96%
Earnings Yield,1.86%,3.90%,3.79%,3.30%,4.60%,2.81%,2.00%,1.76%,2.74%,2.71%,2.12%
FCF Yield,5.22%,4.10%,4.15%,5.41%,4.84%,3.29%,4.30%,2.35%,2.91%,2.66%,2.34%
Dividend Yield,13.60%,0.00%,0.00%,18.00%,0.00%,5.80%,6.80%,0.00%,3.50%,0.00%,3.05%
Payout Ratio,791.10%,0.00%,0.00%,583.80%,0.00%,216.80%,362.70%,0.00%,138.10%,0.00%,148.56%
Buyback Yield / Dilution,-3.47%,0.68%,0.79%,1.12%,-0.13%,-1.26%,-1.78%,-1.92%,0.34%,1.72%,-1.05%
Total Shareholder Return,10.13%,0.68%,0.79%,19.12%,-0.13%,4.54%,5.02%,-1.92%,3.84%,1.72%,2.00%
