,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,Upgrade,-,-,"6,103","5,899","7,921","10,830","11,871","16,258","24,208","18,991","22,849"
Market Cap Growth,Upgrade,-,-,-,-3.34%,34.27%,36.71%,9.62%,36.95%,48.90%,-21.55%,-
Enterprise Value,Upgrade,221,453,"7,422","7,095","9,036","11,792","12,836","17,840","27,139","22,057","26,162"
PE Ratio,Upgrade,-,-,55.10,53.65,27.23,35.66,29.12,40.91,99.26,177.44,40.57
PS Ratio,Upgrade,-,-,2.73,2.26,3.02,3.89,3.92,5.23,5.28,3.83,4.23
PB Ratio,Upgrade,-,-,2.02,2.11,2.47,3.41,3.49,4.19,3.71,3.13,3.56
P/FCF Ratio,Upgrade,-,-,47.27,23.04,26.92,30.48,31.22,36.05,60.67,46.37,37.84
P/OCF Ratio,Upgrade,-,-,23.96,13.91,17.31,20.07,20.10,23.57,35.35,25.09,24.46
EV/Sales Ratio,Upgrade,0.14,0.25,3.32,2.72,3.45,4.24,4.24,5.74,5.92,4.45,4.84
EV/EBITDA Ratio,Upgrade,0.78,1.42,20.76,17.03,15.49,18.46,17.44,23.04,28.32,26.92,18.78
EV/EBIT Ratio,Upgrade,1.07,1.99,34.72,31.05,22.32,28.55,23.82,32.13,66.99,82.75,31.90
EV/FCF Ratio,Upgrade,1.73,2.81,57.49,27.71,30.71,33.18,33.76,39.56,68.02,53.85,43.33
Debt / Equity Ratio,Upgrade,0.53,0.58,0.52,0.53,0.41,0.37,0.38,0.46,0.50,0.54,0.55
Debt / EBITDA Ratio,Upgrade,0.96,1.94,4.39,3.55,2.26,1.85,1.75,2.33,3.42,4.00,2.52
Debt / FCF Ratio,Upgrade,2.13,3.84,12.14,5.77,4.47,3.33,3.38,4.00,8.22,7.99,5.81
Quick Ratio,Upgrade,1.19,1.74,1.80,2.01,1.83,1.69,1.80,1.44,1.24,1.32,1.27
Current Ratio,Upgrade,1.35,2.54,2.43,2.67,2.48,2.27,2.43,2.10,2.04,2.33,2.43
Asset Turnover,Upgrade,1.65,1.21,0.60,0.51,0.51,0.55,0.57,0.52,0.39,0.46,0.49
Interest Coverage,Upgrade,11.04,11.88,5.01,5.13,8.00,9.18,13.38,14.93,4.52,2.47,5.91
Return on Equity (ROE),Upgrade,25.10%,17.00%,5.40%,3.80%,9.50%,9.70%,12.30%,10.70%,3.70%,1.80%,9.10%
Return on Assets (ROA),Upgrade,13.20%,8.80%,3.00%,2.20%,5.70%,6.00%,7.70%,6.60%,2.10%,1.00%,5.10%
Return on Capital (ROIC),Upgrade,18.03%,8.68%,3.00%,3.16%,7.26%,7.78%,9.36%,7.40%,3.35%,1.94%,6.84%
Earnings Yield,Upgrade,-,-,1.81%,1.86%,3.67%,2.80%,3.43%,2.44%,1.01%,0.56%,2.48%
FCF Yield,Upgrade,-,-,2.12%,4.34%,3.71%,3.28%,3.20%,2.77%,1.65%,2.16%,2.64%
Dividend Yield,Upgrade,-,-,0.40%,1.60%,1.30%,1.00%,1.00%,0.80%,0.70%,1.00%,0.90%
Payout Ratio,Upgrade,0.00%,0.00%,15.90%,84.50%,35.40%,37.00%,30.10%,33.70%,67.60%,172.00%,36.49%
Buyback Yield / Dilution,Upgrade,-,-,-,1.12%,0.10%,0.31%,-0.27%,-0.64%,-17.31%,0.84%,1.02%
Total Shareholder Return,Upgrade,-,-,0.40%,2.72%,1.40%,1.31%,0.73%,0.16%,-16.61%,1.84%,1.92%
