,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-9.98,-19.67,-21.95,-26.65,-25.51,5.42,-22.75,-46.24,-17.49,-14.16,0.82,25.08,20.72,38.83,33.62,51.9,49.85,42.78,32.54,70.59,57.27,60.24,69.11,74.48,92.4,110.82,79.18,100.57,120.24,137.86,131.82,0
Depreciation & Amortization,63.79,65.7,66.08,66.48,69.42,67.58,67.52,67.47,107.02,144.5,146.45,139.37,130.22,133.61,133.03,133.32,133.76,135.03,137.27,138.15,142.09,144.5,145.28,150.69,151.66,155.8,158.57,160.43,163.32,164.67,165.76,170.7
Share-Based Compensation,5.66,4.21,4.11,4.71,-2.81,44.24,8.22,12,16.74,9.5,8.02,6.07,5.92,5.61,3.62,4.63,4.31,4.1,2.11,6.09,4.8,5.81,9.21,6.05,6.1,6.65,7.99,7.93,6.4,6.5,6.07,8.93
Other Operating Activities,-58.09,27.09,30.56,47.04,-38.68,-46.38,43.38,66.81,-113.75,-9.76,24.97,32.23,-108.69,15.13,11.9,25.66,-116.65,-4.19,46.3,14.92,-133.12,30.03,5.92,80.99,-124.81,-38.22,71.28,82.96,-170.32,8.76,-22.69,241.18
Operating Cash Flow,1.39,77.33,78.79,91.58,2.42,70.86,96.37,100.04,-7.48,130.08,180.26,202.75,48.16,193.18,182.16,215.51,71.28,177.72,218.21,229.74,71.04,240.59,229.51,312.21,125.35,235.03,317.02,351.89,119.64,317.79,280.95,420.8
Operating Cash Flow Growth,-,-,-,-,74.51%,-8.37%,22.30%,9.23%,-,83.57%,87.05%,102.66%,-,48.51%,1.06%,6.29%,48.01%,-8.00%,19.79%,6.60%,-0.34%,35.37%,5.18%,35.90%,76.44%,-2.31%,38.13%,12.71%,-4.55%,35.21%,-11.38%,19.58%
Capital Expenditures,-9.99,-10.67,-13.15,-15.31,-10.67,-11.07,-11.56,-14.19,-25.72,-31.26,-31.49,-45.6,-37.37,-29.49,-40.67,-48.26,-45.82,-40.22,-43.81,-43.68,-44.58,-34.86,-37.21,-45.26,-45.51,-40.85,-50.42,-60.69,-56.11,-50.01,-52.79,-59.59
Acquisitions,0,0,0,0,0,0,0,0,42.75,-14.2,-8.88,0,211.09,0,0,0,0,0,0,0,-221.57,-5,-4,-16,-40,-34.7,-86.89,-45,-1.14,-0.25,52.79,-0.19
Change in Investments,-,-,-,-,-16.29,-,-,-,-91.63,-45.95,-176.99,-90.46,-122.39,-8.44,-27.25,-4.35,-9.93,-5.54,-1.25,-1.35,-93.7,2.41,-154.92,-476.32,-39.99,-2.93,-41.97,-0.23,-24.2,-31.29,-1.33,-0.62
Other Investing Activities,-154.54,-69.48,-113.15,-77.03,70.71,122.6,-25.48,-71.74,139.32,-10.59,129.97,184.4,152.69,92.96,52.08,-13.15,184.54,-34.98,36.29,-59.85,129.06,-85.11,35.81,92.15,-305.75,-210.74,-112.18,-69.48,23.13,11.71,-20.82,-617.21
Investing Cash Flow,-164.53,-80.15,-126.3,-92.34,43.75,111.53,-37.04,-85.93,64.71,-102,-87.38,48.34,204.03,55.03,-15.84,-65.76,128.8,-80.74,-8.76,-104.87,-230.78,-122.56,-160.32,-445.44,-431.25,-289.23,-291.46,-175.41,-58.32,-69.84,-22.14,-677.61
Dividends Paid,-51.13,0,0,0,-0.14,"-1,500",0,-25.09,-25.09,-57.43,-57.56,-57.56,-57.52,-67.97,-68.33,-70.47,-69.92,-81.77,-81.68,-84.2,-84.5,-97.23,-96.6,-98.28,-101.7,-134.83,-134.98,-134.57,-134.66,-160.29,-159.27,-159.29
Common Stock Issued,201.77,128,10,0,-138,"1,692",0,0,"-1,692.06",0,0,0,0,0,0,0,37.53,55.92,447.88,0,182.93,0,0,693.45,240.35,83.96,14.41,0,-98.37,0,0,0
Share Repurchases,4.2,0,0,0,138,-1.15,0,0,1.15,0,0,0,0,0,0,0,270,320,0,0,"2,500",0,0,739.57,998.46,0,0,0,0,0,0,0
Other Financing Activities,14.74,-130.52,67.58,-24.66,153.95,-381.28,-92.85,-13.52,"1,707",3.54,-16.15,-219.81,-218.32,-188.82,-129.95,-72.32,62.14,478.42,-295.83,-27.38,"2,164",-21.75,-15.27,730.64,"1,163",-30.65,-108.54,-5.62,109.74,-13.29,-8.3,776.46
Financing Cash Flow,161.17,-2.52,77.58,-24.66,-122.19,-188.06,-92.85,-38.61,-11.8,-53.9,-73.71,-277.37,-275.84,-256.78,-198.29,-142.79,-240.25,132.57,70.37,-111.57,-237.4,-118.98,-111.87,586.23,303.61,-81.52,-229.12,-140.18,-123.29,-173.58,-167.57,617.17
Net Cash Flow,-1.97,-5.34,30.07,-25.41,-76.02,-5.67,-33.52,-24.49,45.44,-25.81,19.17,-26.28,-23.65,-8.57,-31.96,6.96,-40.17,229.55,279.82,13.3,-397.14,-0.95,-42.68,453.01,-2.29,-135.71,-203.55,36.3,-61.97,74.37,91.24,360.36
Free Cash Flow,-8.6,66.66,65.65,76.28,-8.25,59.79,84.81,85.85,-33.2,98.82,148.77,157.15,10.79,163.69,141.49,167.24,25.46,137.5,174.41,186.06,26.46,205.73,192.31,266.95,79.84,194.18,266.6,291.2,63.53,267.78,228.16,361.21
