,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,216.69,224.5,230.5,233.04,234.55,238.75,242.22,243.54,329.95,423.67,432.43,434.25,432.62,435.5,441.58,443.33,444.28,449.79,449.76,459.18,464.1,475.58,491.64,509.73,518.12,529.99,554.6,567.83,576.1,585.74,598.34,612.79,0.12
Revenue Growth (YoY),-,-,-,-,8.25%,6.35%,5.08%,4.50%,40.67%,77.45%,78.53%,78.31%,31.11%,2.79%,2.12%,2.09%,2.70%,3.28%,1.85%,3.58%,4.46%,5.73%,9.31%,11.01%,11.64%,11.44%,12.80%,11.40%,11.19%,10.52%,7.89%,7.92%,-99.98%
Cost of Revenue,98.72,92.36,98.81,101.96,97.69,99.62,101.98,104.12,129.13,177.93,179.77,186.71,176.48,175.51,182.6,191.36,182.14,181.29,181.53,192.82,183.52,184.22,193.12,202.37,198.06,203.24,212.49,226.17,232.39,232.08,237.39,252.89,0
Gross Profit,117.96,132.14,131.69,131.08,136.86,139.13,140.24,139.42,200.83,245.74,252.66,247.54,256.14,259.99,258.99,251.96,262.14,268.5,268.22,266.36,280.58,291.36,298.53,307.36,320.06,326.75,342.11,341.65,343.72,353.65,360.95,359.91,0.12
General & Administrative,19.89,15.36,15.41,14.73,10.63,58.27,18.43,22.52,27.1,20.61,20.4,17.81,12.15,16.77,14.4,16.41,15.38,14.23,14.17,17.84,16.47,16.84,19.83,19.14,19.11,17.62,19.15,20.08,16.86,17.3,19.42,22.32,0
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.37,0.34,-1.49,-3.94,-2.53,0
Operating Expenses,86.9,71.84,80.83,84.66,86.63,112.95,77.35,105.13,173.04,171.02,169.62,148.93,133.91,144.84,123.88,128.91,121.17,133.47,138.98,145.79,114.07,150.23,157.07,158.5,166.07,159.36,155.76,185.77,164.44,155.02,144.05,140.95,0
Operating Income,34.28,51.08,50.2,49.87,56.82,13.29,54.3,49.43,66.71,80.63,85.81,90.35,113.77,109.61,111.55,102.24,113,119.25,116.79,110.38,122.03,130.02,133.42,137.53,149.29,153.34,164.38,161.15,163.54,171.68,175.78,166.89,0.12
Interest Expense,69.61,70.28,70.52,68.37,76.88,68.57,57.36,56.8,74.24,92.3,97.23,97.56,96.51,93.98,95.71,89.07,88.42,84.76,86.07,87.71,95.38,83.41,80.76,79.37,79.12,74.39,74.84,76.45,78.41,78.05,78.63,86.74,0
Other Expense / Income,3.21,-0.03,0.36,6.42,12,-15.45,1.68,19.14,44.85,11.63,6.92,3.46,-29.22,-5.44,-23.45,-20.72,-27.88,-15.69,-12.34,-10.09,-44.37,3.48,-7.94,-11.27,-4.64,-13.84,-21.82,5.27,-15.73,1.65,-113.79,-131.37,0.12
