,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,"1,285",898.99,"1,443","1,567","2,725","1,272","6,712","5,914","6,918","10,323"
Cash & Cash Equivalents,"1,285",898.99,"1,443","1,567","2,725","1,272","6,712","5,914","6,918","10,323"
Cash Growth,21.45%,-30.05%,60.51%,8.59%,73.90%,-53.32%,427.67%,-11.89%,16.98%,49.22%
"Property, Plant & Equipment",616.41,620.54,816,864,790,763,757,"1,164","1,156","1,109"
Goodwill and Intangibles,597.21,921.08,"2,621","2,577","2,524","2,465","2,418","5,960","6,283","6,233"
Total Assets,"66,298","71,018","99,714","104,185","108,781","109,002","123,038","174,064","182,906","189,368"
Total Liabilities,"59,970","64,424","89,406","93,371","97,679","97,207","110,045","154,746","165,137","169,970"
Total Debt,"6,733","7,657","12,002","14,262","10,642","12,455","8,535","7,442","11,713","13,014"
Debt Growth,39.97%,13.72%,56.75%,18.83%,-25.38%,17.04%,-31.47%,-12.81%,57.39%,11.11%
Common Stock,"7,603","7,415","10,936","10,754","10,350","9,963","10,923","17,324","17,410","17,707"
Retained Earnings,"-1,052.32",-594.07,-227,588,"1,361","2,088","1,878","2,202","3,419","4,322"
Comprehensive Income,-222.29,-226.16,-401,-528,-609,-256,192,-229,"-3,098","-2,676"
Shareholders' Equity,"6,328","6,595","10,308","10,814","11,102","11,795","12,993","19,297","17,731","19,353"
Net Cash / Debt,"-5,447.94","-6,757.65","-10,559","-12,695","-7,917","-11,183","-1,823","-1,528","-4,795","-2,691"
Net Cash Per Share,-6.54,-8.27,-11.49,-11.17,-7.16,-10.59,-1.77,-1.19,-3.27,-1.83
Book Value Per Share,7.72,8.21,11.40,9.97,10.27,11.35,12.77,15.29,12.30,13.38
