,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"8,568","8,811","14,341","15,739","12,653","15,574","12,849","22,304","20,343","18,420","18,637"
Market Cap Growth,6.91%,2.84%,62.76%,9.75%,-19.60%,23.08%,-17.50%,73.59%,-8.80%,-9.45%,-
Enterprise Value,"14,016","15,569","24,900","28,434","20,570","26,757","14,672","23,832","25,138","21,111","21,328"
PE Ratio,14.27,13.33,22.17,14.18,9.56,11.65,17.92,19.35,9.57,10.14,10.38
PS Ratio,3.13,3.05,4.31,3.83,2.96,3.56,3.41,3.74,2.92,2.65,2.68
PB Ratio,1.35,1.34,1.39,1.46,1.14,1.32,0.99,1.16,1.15,0.95,0.96
P/FCF Ratio,10.34,9.37,13.10,8.94,7.83,10.62,10.67,12.29,5.34,7.32,7.40
P/OCF Ratio,9.64,8.53,11.80,8.05,7.33,9.89,9.71,10.82,5.05,6.93,7.01
EV/Sales Ratio,5.12,5.39,7.48,6.92,4.81,6.11,3.89,3.99,3.61,3.03,3.07
EV/EBITDA Ratio,11.82,12.41,19.15,15.74,9.70,13.08,10.96,12.04,7.77,6.68,6.75
EV/EBIT Ratio,16.43,17.03,27.07,20.40,12.64,16.13,15.09,15.00,9.13,8.93,9.02
EV/FCF Ratio,16.91,16.56,22.74,16.16,12.73,18.24,12.19,13.13,6.59,8.39,8.47
Debt / Equity Ratio,1.06,1.16,1.16,1.32,0.96,1.06,0.66,0.39,0.66,0.67,0.67
Debt / EBITDA Ratio,5.68,6.10,9.23,7.89,5.02,6.09,6.37,3.76,3.62,4.12,4.12
Debt / FCF Ratio,8.12,8.15,10.96,8.10,6.59,8.49,7.09,4.10,3.07,5.17,5.17
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04
Return on Equity (ROE),9.60%,10.10%,7.30%,10.40%,11.80%,11.40%,5.70%,6.30%,11.90%,9.60%,9.60%
Return on Assets (ROA),0.90%,1.00%,0.70%,1.10%,1.20%,1.20%,0.60%,0.70%,1.20%,1.00%,1.00%
Return on Capital (ROIC),4.84%,4.86%,3.19%,4.73%,6.41%,5.82%,3.80%,4.85%,7.63%,6.08%,6.08%
Earnings Yield,7.01%,7.50%,4.51%,7.05%,10.46%,8.58%,5.58%,5.17%,10.45%,9.86%,9.75%
FCF Yield,9.68%,10.67%,7.64%,11.18%,12.77%,9.42%,9.37%,8.14%,18.74%,13.66%,13.51%
Dividend Yield,2.00%,2.30%,2.20%,2.40%,4.20%,3.80%,4.80%,3.90%,4.40%,4.90%,4.82%
Payout Ratio,28.80%,30.50%,40.30%,34.30%,41.00%,45.00%,84.50%,66.50%,42.20%,49.20%,50.00%
Buyback Yield / Dilution,1.29%,1.91%,-12.44%,-23.66%,2.66%,4.51%,2.22%,-24.60%,-13.87%,-0.19%,-0.19%
Total Shareholder Return,3.29%,4.21%,-10.24%,-21.26%,6.86%,8.31%,7.02%,-20.70%,-9.47%,4.71%,4.63%
