,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"15,149","13,608","15,831","22,875","23,096","19,283","25,592","34,116","24,831","32,835","32,054"
Market Cap Growth,2.16%,-10.18%,16.34%,44.50%,0.97%,-16.51%,32.72%,33.31%,-27.22%,32.23%,-
Enterprise Value,"14,555","12,959","15,367","22,183","23,962","20,521","27,161","37,749","28,440","35,015","35,266"
PE Ratio,18.32,16.44,21.70,27.70,43.13,27.71,25.01,25.12,26.64,23.67,26.61
PS Ratio,2.29,2.16,2.69,3.62,3.47,2.88,4.04,4.88,3.20,3.63,3.51
PB Ratio,5.70,6.03,7.96,8.59,14.28,47.71,24.90,14.28,9.11,9.22,8.88
P/FCF Ratio,16.97,12.75,19.05,25.60,19.66,18.30,25.05,29.91,36.41,27.04,28.20
P/OCF Ratio,14.66,11.46,16.71,22.12,17.77,16.31,22.84,27.05,30.17,23.89,23.90
EV/Sales Ratio,2.20,2.05,2.61,3.51,3.59,3.07,4.29,5.39,3.66,3.87,3.86
EV/EBITDA Ratio,10.81,9.57,12.95,17.30,15.28,17.82,19.23,20.69,19.63,16.65,18.46
EV/EBIT Ratio,12.20,10.88,15.15,19.92,17.07,20.54,21.91,23.09,23.51,18.89,21.49
EV/FCF Ratio,16.30,12.15,18.50,24.83,20.39,19.48,26.59,33.09,41.70,28.84,31.03
Debt / Equity Ratio,0.46,0.67,0.99,0.69,1.10,5.58,2.21,1.80,1.50,0.91,1.01
Debt / EBITDA Ratio,0.91,1.11,1.66,1.44,1.13,1.96,1.61,2.35,2.83,1.55,1.91
Debt / FCF Ratio,1.37,1.41,2.37,2.06,1.51,2.14,2.23,3.76,6.01,2.68,3.21
Quick Ratio,1.79,2.40,1.78,1.71,0.94,1.13,1.08,0.70,0.62,0.96,0.72
Current Ratio,2.33,2.94,2.12,2.06,1.26,1.54,1.48,1.02,1.01,1.46,1.25
Asset Turnover,1.08,1.00,0.87,0.89,1.03,1.10,0.89,0.78,0.72,0.79,0.80
Interest Coverage,20.13,18.70,14.23,14.61,19.23,10.18,11.98,17.28,9.82,13.70,12.20
Return on Equity (ROE),30.60%,33.30%,34.10%,36.30%,29.90%,66.70%,130.50%,67.60%,36.40%,42.80%,35.70%
Return on Assets (ROA),13.50%,13.10%,10.80%,11.60%,8.30%,11.40%,14.40%,15.20%,8.70%,12.20%,10.60%
Return on Capital (ROIC),22.22%,23.38%,19.72%,19.61%,15.58%,39.51%,29.61%,16.14%,16.76%,17.36%,14.42%
Earnings Yield,5.46%,6.08%,4.61%,3.61%,2.32%,3.61%,4.00%,3.98%,3.75%,4.23%,3.80%
FCF Yield,5.89%,7.84%,5.25%,3.91%,5.09%,5.46%,3.99%,3.34%,2.75%,3.70%,3.55%
Dividend Yield,2.10%,2.60%,2.40%,1.70%,1.90%,2.40%,1.80%,1.50%,2.10%,1.70%,1.79%
Payout Ratio,38.80%,42.30%,51.80%,47.40%,82.20%,66.00%,46.20%,36.60%,55.90%,39.20%,47.57%
Buyback Yield / Dilution,0.85%,2.86%,3.39%,0.92%,2.31%,5.99%,2.26%,-0.43%,0.34%,0.94%,0.26%
Total Shareholder Return,2.95%,5.46%,5.79%,2.62%,4.21%,8.39%,4.06%,1.07%,2.44%,2.64%,2.05%
