,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"105,918","66,792","85,444","105,559","101,846","125,504","140,313","161,960","127,307","149,729","150,365"
Market Cap Growth,36.89%,-36.94%,27.93%,23.54%,-3.52%,23.23%,11.80%,15.43%,-21.40%,17.61%,-
Enterprise Value,"115,745","79,602","99,114","121,138","122,904","151,284","166,466","192,112","160,914","182,482","183,118"
PE Ratio,20.45,14.00,20.18,9.85,17.07,21.20,26.23,24.83,18.19,23.47,23.60
PS Ratio,4.42,3.06,4.29,4.97,4.46,5.78,7.18,7.43,5.12,6.21,6.23
PB Ratio,5.00,3.23,4.29,4.25,4.99,6.92,8.27,11.44,10.47,10.13,10.17
P/FCF Ratio,34.85,24.79,21.25,26.44,19.40,24.34,25.00,26.57,22.17,31.37,31.50
P/OCF Ratio,14.34,9.09,11.35,14.60,11.73,14.58,16.43,17.93,13.60,17.87,17.95
EV/Sales Ratio,4.83,3.65,4.97,5.70,5.38,6.97,8.52,8.81,6.47,7.57,7.59
EV/EBITDA Ratio,10.71,7.74,10.43,11.59,11.38,13.74,16.11,16.22,12.78,15.35,15.40
EV/EBIT Ratio,13.00,9.62,13.28,14.51,14.27,17.20,20.50,19.94,15.56,19.06,19.13
EV/FCF Ratio,38.09,29.55,24.66,30.35,23.41,29.34,29.66,31.51,28.02,38.23,38.37
Debt / Equity Ratio,0.54,0.69,0.75,0.68,1.10,1.47,1.65,2.20,2.85,2.29,2.29
Debt / EBITDA Ratio,1.06,1.38,1.58,1.62,2.07,2.42,2.71,2.63,2.75,2.84,2.84
Debt / FCF Ratio,3.76,5.27,3.73,4.24,4.27,5.17,4.99,5.11,6.03,7.09,7.09
Quick Ratio,0.85,0.86,0.71,0.73,0.67,0.57,0.81,0.47,0.53,0.62,0.62
Current Ratio,1.17,1.29,0.99,1.02,0.90,0.80,1.01,0.62,0.72,0.81,0.81
Asset Turnover,0.46,0.41,0.36,0.37,0.39,0.35,0.31,0.35,0.38,0.36,0.36
Interest Coverage,15.87,13.31,10.69,11.61,9.90,8.38,7.12,8.33,8.14,7.14,7.14
Return on Equity (ROE),24.20%,22.90%,20.90%,51.40%,28.00%,32.90%,32.10%,44.50%,57.70%,46.90%,46.90%
Return on Assets (ROA),10.00%,8.80%,7.60%,18.80%,10.20%,9.60%,8.50%,10.40%,10.80%,9.60%,9.60%
Return on Capital (ROIC),16.67%,14.38%,12.97%,27.22%,15.33%,14.59%,13.35%,15.85%,16.35%,14.48%,14.48%
Earnings Yield,4.89%,7.14%,4.95%,10.15%,5.86%,4.72%,3.81%,4.03%,5.50%,4.26%,4.24%
FCF Yield,2.87%,4.03%,4.70%,3.78%,5.15%,4.11%,4.00%,3.76%,4.51%,3.19%,3.17%
Dividend Yield,1.60%,2.80%,2.20%,1.80%,2.20%,2.00%,1.90%,1.70%,2.50%,2.10%,2.11%
Payout Ratio,33.10%,39.90%,44.30%,18.50%,38.50%,44.00%,49.10%,43.00%,45.20%,49.70%,49.76%
Buyback Yield / Dilution,3.26%,3.52%,3.91%,4.03%,5.91%,6.39%,3.82%,3.49%,4.79%,2.21%,2.21%
Total Shareholder Return,4.86%,6.32%,6.11%,5.83%,8.11%,8.39%,5.72%,5.19%,7.29%,4.31%,4.32%
