,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,981,"1,284","1,350","1,568","1,872","2,188","1,991","2,040","8,353","1,770"
Short-Term Investments,"1,200",29,23,0,0,0,0,0,0,680
Cash & Cash Equivalents,"2,181","1,313","1,373","1,568","1,872","2,188","1,991","2,040","8,353","2,450"
Cash Growth,66.23%,-39.80%,4.57%,14.20%,19.39%,16.88%,-9.00%,2.46%,309.46%,-70.67%
Receivables,508,700,777,903,953,988,"1,230","1,208","1,169","1,366"
Other Current Assets,"47,543","51,300","54,983","51,091","63,867","64,803","83,998","151,052","147,425","81,157"
Total Current Assets,"50,232","53,313","57,133","53,562","66,692","67,979","87,219","154,300","156,947","84,973"
"Property, Plant & Equipment",874,"1,037","1,129","1,246","1,241","1,536","1,713","1,699","1,767","1,923"
Long-Term Investments,676,562,432,0,0,0,0,0,0,0
Goodwill and Intangibles,"16,315","22,837","22,711","22,485","23,547","23,600","35,699","34,859","34,201","47,870"
Other Long-Term Assets,157,238,598,971,"1,311","1,378","1,569","2,644","1,423","1,318"
Total Long-Term Assets,"18,022","24,674","24,870","24,702","26,099","26,514","38,981","39,202","37,391","51,111"
Total Assets,"68,254","77,987","82,003","78,264","92,791","94,493","126,200","193,502","194,338","136,084"
Accounts Payable,409,398,388,462,521,505,639,703,866,"1,003"
Deferred Revenue,69,98,114,125,135,129,158,194,170,200
Current Debt,"2,042","2,591","2,493","1,833",951,"2,569","2,411","1,521",4,"1,954"
Other Current Liabilities,"47,916","51,656","55,622","51,755","64,501","65,613","84,791","150,993","148,131","81,469"
Total Current Liabilities,"50,436","54,743","58,617","54,175","66,108","68,816","87,999","153,411","149,171","84,626"
Long-Term Debt,"2,235","4,717","3,871","4,267","6,490","5,531","14,446","12,649","18,372","20,958"
Other Long-Term Liabilities,"3,026","3,652","3,725","2,837","2,891","2,782","4,128","4,694","4,034","4,714"
Total Long-Term Liabilities,"5,261","8,369","7,596","7,104","9,381","8,313","18,574","17,343","22,406","25,672"
Total Liabilities,"55,697","63,112","66,213","61,279","75,489","77,129","106,573","170,754","171,577","110,298"
Total Debt,"4,277","7,308","6,364","6,100","7,441","8,100","16,857","14,170","18,376","22,912"
Debt Growth,-15.44%,70.87%,-12.92%,-4.15%,21.98%,8.86%,108.11%,-15.94%,29.68%,24.68%
Common Stock,"9,196","10,848","11,272","10,322","9,199","7,869","8,651","8,555","8,094","9,655"
Retained Earnings,"3,210","4,148","4,789","6,858","8,317","9,629","11,039","14,350","14,943","16,356"
Comprehensive Income,-46,-188,-344,-223,-315,-243,-192,-196,-331,-294
Shareholders' Equity,"12,360","14,808","15,717","16,957","17,201","17,255","19,498","22,709","22,706","25,717"
Net Cash / Debt,"-2,096","-5,995","-4,991","-4,532","-5,569","-5,912","-14,866","-12,130","-10,023","-20,462"
Net Cash Per Share,-3.66,-10.72,-8.33,-7.63,-9.62,-10.46,-26.79,-21.47,-17.87,-36.22
Working Capital,-204,"-1,430","-1,484",-613,584,-837,-780,889,"7,776",347
Book Value Per Share,21.68,26.63,26.41,28.79,29.91,30.76,35.32,40.41,40.62,45.60
