,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,981,"1,274","1,430","2,526","1,988","1,933","2,089","4,058","1,446","2,368"
Depreciation & Amortization,333,374,610,535,586,662,751,"1,009","1,031","1,215"
Share-Based Compensation,97,111,124,135,130,139,139,188,155,257
Other Operating Activities,103,-448,-15,"-1,111",-171,-75,-98,"-2,132",922,-298
Operating Cash Flow,"1,514","1,311","2,149","2,085","2,533","2,659","2,881","3,123","3,554","3,542"
Operating Cash Flow Growth,105.99%,-13.41%,63.92%,-2.98%,21.49%,4.97%,8.35%,8.40%,13.80%,-0.34%
Capital Expenditures,-250,-277,-365,-357,-280,-305,-410,-452,-482,-489
Acquisitions,"1,697","-3,751",-425,776,"-1,246",-352,"-9,446",-66,-59,"-10,198"
Change in Investments,"-1,411","1,029",-70,-327,-229,"-1,077",-527,-268,"1,218","1,890"
Other Investing Activities,-504,-5,-,-,-,-6,22,-,-,-
Investing Cash Flow,-468,"-3,004",-860,92,"-1,755","-1,740","-10,361",-786,677,"-8,797"
Dividends Paid,-299,-331,-409,-476,-555,-621,-669,-747,-853,-955
Share Issuance / Repurchase,-690,-705,-104,"-1,037","-1,278","-1,525","-1,321",-320,-705,-78
Debt Issued / Paid,-552,"3,130",-949,-275,"1,330",370,"8,696","-2,639","4,174","2,068"
Other Financing Activities,-132,-118,-,-183,40,"1,352","19,294","65,732","-4,457","-65,380"
Financing Cash Flow,"-1,673","1,976","-1,462","-1,971",-463,-424,"26,000","62,026","-1,841","-64,345"
Exchange Rate Effect,-21,-14,-24,12,-11,4,8,-6,-23,7
Net Cash Flow,-309,269,-197,218,304,499,"18,528","64,357","2,367","-69,593"
Free Cash Flow,"1,264","1,034","1,784","1,728","2,253","2,354","2,471","2,671","3,072","3,053"
Free Cash Flow Growth,127.34%,-18.20%,72.53%,-3.14%,30.38%,4.48%,4.97%,8.09%,15.01%,-0.62%
Free Cash Flow Margin,29.04%,22.08%,29.88%,29.57%,35.90%,35.96%,29.97%,29.13%,31.88%,30.83%
Free Cash Flow Per Share,2.22,1.86,3.00,2.93,3.92,4.20,4.48,4.75,5.50,5.41
