,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"22,782","22,736","19,571","23,009","14,339","16,192","16,830","17,337","21,325","21,543","23,055","21,018","22,207","17,905","16,847","16,482","18,202","17,158","15,265","14,325","6,584"
Market Cap Growth,-,-,-,-,-37.06%,-28.78%,-14.00%,-24.65%,48.71%,33.05%,36.98%,21.23%,4.14%,-16.89%,-26.93%,-21.58%,-18.03%,-4.17%,-9.39%,-13.09%,-
Enterprise Value,"26,714","26,253","22,983","27,771","17,897","19,493","19,716","20,784","23,510","23,608","25,597","24,717","24,778","19,911","19,104","19,632","21,266","20,096","18,648","18,648","10,907"
PE Ratio,14.13,14.26,13.14,12.91,10.77,16.21,10.48,11.33,10.56,10.02,13.21,14.64,19.28,14.86,15.19,10.94,15.56,13.85,14.66,17.11,16.64
PS Ratio,2.02,2.00,1.70,1.97,1.16,1.32,1.36,1.37,1.72,1.67,1.74,1.55,1.61,1.28,1.19,1.15,1.22,1.15,1.02,0.98,0.45
PB Ratio,2.65,2.29,1.90,2.23,1.42,1.60,1.56,1.59,1.92,1.94,2.02,1.86,1.98,1.58,1.46,1.42,1.79,1.65,1.47,1.40,0.64
P/FCF Ratio,11.73,9.93,8.71,11.65,7.30,8.07,8.44,7.32,8.94,10.00,11.64,15.20,16.07,11.35,9.38,8.50,9.65,11.89,12.97,12.22,5.62
P/OCF Ratio,10.57,9.01,7.89,10.31,6.39,6.85,6.93,6.07,7.39,8.16,9.60,12.04,12.88,9.50,7.93,7.23,8.13,9.53,9.97,9.39,4.31
Debt / Equity Ratio,0.78,0.68,0.65,0.65,0.67,0.79,0.74,0.73,0.72,0.71,0.70,0.71,0.64,0.64,0.63,0.62,0.71,0.69,0.69,0.82,0.82
Quick Ratio,3.68,3.04,2.88,2.60,-,3.43,-,-,2.65,2.64,2.65,2.51,3.29,3.19,3.06,2.78,1.56,1.71,1.74,1.92,1.92
Current Ratio,4.60,3.78,3.73,3.52,-,3.93,-,-,2.91,2.91,3.09,2.97,3.73,3.61,3.60,3.37,1.75,1.93,2.02,2.29,2.29
Interest Coverage,9.59,8.09,8.62,5.50,2.49,3.72,15.98,4.07,8.79,4.45,10.74,-0.10,5.21,6.17,13.31,8.15,0,15.60,14.17,2.74,6.56
Return on Capital (ROIC),,11.17%,10.11%,10.19%,9.85%,9.88%,7.55%,8.47%,8.54%,9.00%,10.72%,10.19%,10.48%,10.53%,10.39%,10.22%,10.69%,12.68%,12.09%,11.24%,10.08%
Dividend Yield,0.00%,0.60%,1.50%,1.20%,2.90%,1.70%,1.70%,1.60%,1.30%,1.20%,1.20%,1.30%,1.20%,1.50%,1.60%,1.60%,1.50%,1.50%,1.60%,1.70%,1.86%
Payout Ratio,0.00%,31.50%,28.70%,0.00%,176.90%,0.00%,12.60%,0.00%,24.00%,0.00%,19.70%,0.00%,48.00%,0.00%,22.70%,0.00%,-250.00%,0.00%,31.30%,0.00%,30.95%
Buyback Yield / Dilution,-,0.01%,-0.48%,0.16%,1.45%,2.71%,3.04%,3.55%,3.10%,3.89%,4.46%,4.18%,4.38%,4.04%,4.50%,5.24%,8.11%,9.36%,10.51%,11.23%,11.09%
Total Shareholder Return,-,0.61%,1.02%,1.36%,4.35%,4.41%,4.74%,5.15%,4.40%,5.09%,5.66%,5.48%,5.58%,5.54%,6.10%,6.84%,9.61%,10.86%,12.11%,12.93%,12.95%
