,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"105,299","92,751","107,404","140,188","110,949","101,450","100,823","102,360","66,285","60,379","50,434"
Market Cap Growth,11.52%,-11.92%,15.80%,30.52%,-20.86%,-8.56%,-0.62%,1.52%,-35.24%,-8.91%,-
Enterprise Value,"108,774","101,632","116,376","150,008","122,338","120,166","115,445","115,812","79,172","71,187","61,242"
PE Ratio,21.25,19.19,21.27,28.86,20.74,22.46,18.50,17.29,11.47,-8.63,-8.63
PS Ratio,3.31,3.06,3.57,4.43,3.39,3.16,3.13,2.90,1.94,1.85,1.54
PB Ratio,8.03,8.12,10.43,12.12,11.33,10.08,7.84,6.80,4.50,12.56,10.49
P/FCF Ratio,19.99,18.58,20.26,28.52,21.65,18.47,14.96,17.34,16.40,11.65,9.73
P/OCF Ratio,15.89,14.45,16.12,22.47,17.23,14.35,12.43,13.73,11.86,9.04,7.55
EV/Sales Ratio,3.42,3.36,3.87,4.74,3.73,3.74,3.59,3.28,2.31,2.18,1.87
EV/EBITDA Ratio,12.75,12.10,13.35,15.95,13.86,15.66,12.51,12.70,9.63,-9.25,-9.25
EV/EBIT Ratio,15.26,14.59,16.07,19.09,16.68,19.77,15.78,16.07,12.39,-7.35,-7.35
EV/FCF Ratio,20.65,20.36,21.96,30.51,23.88,21.87,17.13,19.62,19.59,13.73,11.81
Debt / Equity Ratio,0.52,0.94,1.13,1.21,1.49,2.10,1.53,1.21,1.14,3.49,3.49
Debt / EBITDA Ratio,0.80,1.29,1.34,1.48,1.66,2.76,2.13,2.00,2.04,-2.18,-2.18
Debt / FCF Ratio,1.29,2.16,2.20,2.84,2.85,3.85,2.92,3.09,4.15,3.24,3.24
Quick Ratio,1.27,0.85,1.14,1.18,1.14,0.79,1.23,1.04,0.88,0.70,0.70
Current Ratio,2.06,1.54,1.89,1.86,1.89,1.41,1.89,1.71,1.54,1.07,1.07
Asset Turnover,0.97,0.95,0.90,0.90,0.88,0.78,0.70,0.74,0.74,0.67,0.67
Interest Coverage,50.18,46.74,36.40,24.41,20.96,13.57,13.83,-,-,-,-
Return on Equity (ROE),30.90%,38.20%,44.00%,42.00%,51.70%,44.60%,47.60%,41.00%,40.20%,-85.90%,-85.90%
Return on Assets (ROA),15.10%,15.10%,15.20%,13.80%,14.30%,10.90%,11.80%,12.40%,12.60%,-14.30%,-14.30%
Return on Capital (ROIC),25.42%,22.16%,22.95%,19.43%,22.60%,15.86%,17.68%,18.20%,18.77%,-42.26%,-42.26%
Earnings Yield,4.71%,5.21%,4.70%,3.47%,4.82%,4.45%,5.40%,5.78%,8.72%,-11.59%,-13.87%
FCF Yield,5.00%,5.38%,4.93%,3.51%,4.62%,5.42%,6.69%,5.77%,6.10%,8.59%,10.28%
Dividend Yield,2.10%,2.70%,2.50%,2.00%,2.90%,3.30%,3.40%,3.30%,5.00%,5.50%,6.62%
Payout Ratio,44.80%,53.10%,53.20%,57.80%,59.80%,73.60%,62.40%,57.90%,58.40%,-47.50%,-47.50%
Buyback Yield / Dilution,4.56%,3.75%,2.90%,0.97%,1.75%,2.81%,0.50%,-0.53%,3.02%,2.41%,2.41%
Total Shareholder Return,6.66%,6.45%,5.40%,2.97%,4.65%,6.11%,3.90%,2.77%,8.02%,7.91%,9.03%
