,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"34,310","23,594","16,810","24,082","16,083","9,963","9,623","5,356","9,768","15,008","9,567"
Market Cap Growth,11.70%,-31.23%,-28.75%,43.26%,-33.22%,-38.05%,-3.42%,-44.34%,82.37%,53.64%,-
Enterprise Value,"42,428","34,070","24,059","31,249","22,899","17,493","17,942","13,866","16,976","20,216","15,056"
PE Ratio,15.68,-2.82,-1.62,-17.14,12.33,249.08,-2.71,-1.10,10.04,4.09,6.30
PS Ratio,2.32,1.84,2.58,4.49,2.73,1.28,1.47,1.24,1.23,1.24,1.10
PB Ratio,1.03,0.91,2.13,3.86,2.17,1.40,2.96,-3.27,-6.12,35.48,8.88
P/FCF Ratio,58.55,-20.05,-8.98,39.16,37.75,-78.45,-102.37,46.99,4.09,5.90,27.81
P/OCF Ratio,3.49,2.97,6.30,9.91,6.62,2.64,3.36,3.86,2.79,3.04,2.72
EV/Sales Ratio,2.87,2.66,3.70,5.82,3.89,2.25,2.74,3.22,2.14,1.67,1.73
EV/EBITDA Ratio,4.14,-8.65,-3.19,26.30,6.74,4.87,59.61,-5.17,4.73,2.94,3.29
EV/EBIT Ratio,9.67,-4.02,-2.22,-21.85,20.52,14.70,-7.54,-3.11,7.62,3.59,4.86
EV/FCF Ratio,72.40,-28.95,-12.85,50.81,53.75,-137.74,-190.87,121.64,7.12,7.94,43.77
Debt / Equity Ratio,0.30,0.43,1.10,1.37,1.14,1.16,2.63,-5.35,-4.71,12.89,5.18
Debt / EBITDA Ratio,0.98,-2.85,-1.15,7.19,2.50,2.29,28.46,-3.27,2.09,0.79,1.22
Debt / FCF Ratio,17.11,-9.55,-4.65,13.89,19.92,-64.91,-91.13,76.95,3.15,2.14,16.23
Quick Ratio,1.03,0.76,1.48,1.36,1.18,0.87,0.71,0.89,0.80,0.59,0.70
Current Ratio,1.35,1.75,2.04,1.76,1.45,1.22,1.06,1.41,1.12,0.93,1.06
Asset Turnover,0.24,0.21,0.19,0.25,0.27,0.36,0.32,0.33,0.60,0.93,0.65
Interest Coverage,19.17,-20.50,-21.23,-3.43,2.81,2.49,-5.15,-16.68,4.33,14.87,9.96
Return on Equity (ROE),6.70%,-27.30%,-76.00%,-25.70%,18.80%,0.50%,-61.50%,315.50%,-79.20%,924.90%,229.80%
Return on Assets (ROA),3.50%,-14.00%,-30.20%,-6.40%,5.90%,0.20%,-17.10%,-37.40%,7.30%,28.20%,11.50%
Return on Capital (ROIC),5.52%,-13.70%,-72.49%,-8.47%,8.89%,0.52%,-21.54%,-64.11%,26.94%,71.33%,28.38%
Earnings Yield,6.38%,-35.43%,-61.58%,-5.83%,8.11%,0.40%,-36.92%,-90.73%,9.96%,24.48%,15.94%
FCF Yield,1.71%,-4.99%,-11.14%,2.55%,2.65%,-1.27%,-0.98%,2.13%,24.43%,16.96%,3.60%
Dividend Yield,0.90%,1.50%,2.20%,1.60%,2.40%,3.80%,3.90%,2.30%,0.50%,1.30%,3.17%
Payout Ratio,13.90%,-4.40%,-3.60%,-27.00%,29.20%,909.10%,-10.60%,-2.50%,5.30%,5.70%,19.96%
Buyback Yield / Dilution,-3.84%,5.42%,1.56%,-0.26%,-1.06%,-0.26%,1.82%,-0.27%,0.79%,11.20%,6.67%
Total Shareholder Return,-2.94%,6.92%,3.76%,1.34%,1.34%,3.54%,5.72%,2.03%,1.29%,12.50%,9.83%
