,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"67,892","66,137","56,573","99,507","126,984","153,091","193,932","248,277","194,463","193,230","197,928"
Market Cap Growth,14.41%,-2.58%,-14.46%,75.89%,27.61%,20.56%,26.68%,28.02%,-21.67%,-0.63%,-
Enterprise Value,"71,674","70,137","59,959","118,024","142,706","168,125","206,743","257,484","202,297","200,277","190,881"
PE Ratio,29.72,14.95,40.41,208.61,53.62,41.52,43.14,35.11,28.05,33.76,34.97
PS Ratio,3.35,3.24,2.71,3.63,4.15,4.80,5.60,5.76,4.45,4.82,4.93
PB Ratio,3.15,3.12,2.75,3.22,4.16,4.92,5.92,6.93,5.30,5.13,5.25
P/FCF Ratio,26.13,35.63,27.17,22.44,25.88,34.04,33.88,28.71,24.92,-,71.30
P/OCF Ratio,18.47,22.30,17.66,17.86,20.16,24.95,24.55,23.57,20.30,-,46.87
EV/Sales Ratio,3.54,3.44,2.88,4.31,4.67,5.27,5.97,5.98,4.63,4.99,4.76
EV/EBITDA Ratio,22.83,18.71,21.49,23.83,23.92,25.25,27.23,23.95,18.91,20.16,18.71
EV/EBIT Ratio,45.02,30.80,41.73,61.12,53.07,46.12,48.47,35.71,27.23,-,24.55
EV/FCF Ratio,27.59,37.79,28.80,26.61,29.09,37.38,36.12,29.77,25.92,-,68.76
Debt / Equity Ratio,0.36,0.42,1.07,0.90,0.64,0.61,0.60,0.53,0.48,0,0
Debt / EBITDA Ratio,2.50,2.40,7.89,5.64,3.28,2.84,2.59,1.77,1.66,-,-
Debt / FCF Ratio,3.02,4.85,10.57,6.30,3.99,4.20,3.43,2.20,2.27,-,-
Quick Ratio,0.76,1.04,3.31,1.67,1.03,0.88,1.14,1.28,1.23,0,0
Current Ratio,1.45,1.54,4.02,2.26,1.62,1.44,1.72,1.85,1.63,0,0
Asset Turnover,0.49,0.49,0.40,0.36,0.46,0.47,0.48,0.57,0.59,0,0.41
Interest Coverage,35.60,49.43,9.59,2.21,5.06,7.87,10.71,17.19,22.30,0,0
Return on Equity (ROE),10.61%,20.85%,6.82%,1.54%,7.76%,11.86%,13.71%,19.75%,18.90%,15.18%,15.18%
Return on Assets (ROA),5.53%,10.72%,2.66%,0.63%,3.53%,5.43%,6.20%,9.40%,9.31%,-,-
Return on Capital (ROIC),6.05%,7.77%,5.63%,0.46%,5.92%,8.20%,9.19%,13.24%,12.83%,15.25%,15.83%
Earnings Yield,3.36%,6.69%,2.47%,0.48%,1.86%,2.41%,2.32%,2.85%,3.57%,2.96%,2.89%
FCF Yield,3.83%,2.81%,3.68%,4.46%,3.86%,2.94%,2.95%,3.48%,4.01%,0.00%,1.40%
Dividend Yield,1.98%,2.18%,2.72%,1.86%,1.55%,1.48%,1.32%,1.29%,1.70%,0.00%,1.93%
Payout Ratio,58.76%,32.62%,109.93%,387.63%,83.36%,61.57%,56.95%,45.28%,47.73%,0.00%,67.48%
Buyback Yield / Dilution,2.99%,1.38%,1.53%,-17.94%,-1.20%,-0.62%,-0.28%,-0.17%,0.17%,2.07%,0.34%
Total Shareholder Return,4.96%,3.56%,4.25%,-16.08%,0.35%,0.86%,1.04%,1.12%,1.87%,2.07%,2.27%
