,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"28,019","22,070","13,870","19,722","15,084","11,998","20,357","16,211","22,929","43,724","45,592"
Market Cap Growth,54.90%,-21.23%,-37.15%,42.19%,-23.52%,-20.46%,69.67%,-20.37%,41.44%,90.69%,-
Enterprise Value,"32,003","25,613","17,746","23,796","17,214","15,976","26,744","23,547","29,357","50,388","52,877"
PE Ratio,5.55,9.53,-4.54,-3.19,-3.66,-36.58,-49.41,-5.24,41.02,20.86,31.12
PS Ratio,2.00,1.93,2.11,4.08,2.80,1.86,3.13,3.37,3.02,3.78,4.28
PB Ratio,1.13,0.99,0.72,1.36,1.37,1.25,2.33,3.02,3.64,5.57,5.28
P/FCF Ratio,-33.40,-29.15,-5.93,-13.55,-15.21,-75.94,-17.15,-18.76,20.06,35.87,116.01
P/OCF Ratio,5.50,4.95,7.00,24.81,15.96,6.19,12.40,12.16,7.93,11.09,11.84
EV/Sales Ratio,2.28,2.24,2.70,4.92,3.19,2.47,4.11,4.90,3.87,4.36,4.96
EV/EBITDA Ratio,3.67,3.88,-300.78,-72.55,-6.37,6.84,10.47,-41.90,9.27,9.35,11.05
EV/EBIT Ratio,5.31,7.57,-4.42,-6.66,-3.08,35.35,61.77,-8.93,17.90,13.66,18.92
EV/FCF Ratio,-38.14,-33.83,-7.58,-16.34,-17.35,-101.12,-22.53,-27.25,25.68,41.34,134.55
Debt / Equity Ratio,0.23,0.27,0.34,0.47,0.63,0.69,0.91,1.69,1.45,1.16,1.08
Debt / EBITDA Ratio,0.67,0.91,-111.73,-20.75,-2.58,2.86,3.10,-16.15,2.89,1.70,1.94
Debt / FCF Ratio,-6.91,-7.91,-2.82,-4.67,-7.03,-42.23,-6.68,-10.50,8.00,7.51,23.67
Quick Ratio,0.75,0.84,1.36,1.63,2.41,1.68,1.08,1.60,1.28,1.52,1.16
Current Ratio,1.31,1.30,1.68,1.90,2.53,2.02,1.26,1.90,1.42,1.64,1.31
Asset Turnover,0.33,0.28,0.18,0.15,0.20,0.30,0.30,0.25,0.39,0.55,0.48
Interest Coverage,14.83,10.48,-11.77,-10.57,-17.19,1.13,1.14,-5.63,3.41,7.48,5.75
Return on Equity (ROE),21.30%,9.80%,-14.60%,-32.90%,-31.60%,-3.30%,-4.50%,-49.70%,9.70%,29.10%,17.80%
Return on Assets (ROA),12.00%,5.70%,-8.60%,-18.70%,-15.60%,-1.50%,-1.90%,-15.90%,2.90%,9.90%,6.60%
Return on Capital (ROIC),14.76%,7.41%,-15.08%,-15.78%,-30.25%,-21.93%,-27.76%,-16.49%,6.16%,15.58%,11.14%
Earnings Yield,18.03%,10.50%,-22.03%,-31.30%,-27.31%,-2.73%,-2.02%,-19.08%,2.44%,4.79%,3.22%
FCF Yield,-2.99%,-3.43%,-16.87%,-7.38%,-6.58%,-1.32%,-5.83%,-5.33%,4.98%,2.79%,0.86%
Dividend Yield,0.80%,1.40%,2.10%,1.60%,2.10%,2.50%,1.50%,1.90%,1.40%,1.10%,1.18%
Payout Ratio,4.70%,13.10%,-9.30%,-5.00%,-7.60%,-90.90%,-73.00%,-9.90%,54.90%,22.10%,36.69%
Buyback Yield / Dilution,-0.18%,9.74%,7.83%,-9.27%,-1.36%,5.06%,-1.01%,-1.20%,-1.48%,-0.10%,0.39%
Total Shareholder Return,0.62%,11.14%,9.93%,-7.67%,0.74%,7.56%,0.49%,0.70%,-0.08%,1.00%,1.57%
