,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"5,198","5,563","5,292","6,390","7,062","6,301","6,122","6,551","6,669","7,647","8,481","8,825","9,823","10,972","11,139","12,500","12,644","12,993","13,303","12,391","16,071","15,934","17,471","18,606","16,817","20,475","20,178","24,050","22,459","26,837","29,112","34,551","32,189","23,671","22,875","23,903","21,738","19,635","17,320","22,030","21,829"
Market Cap Growth,14.90%,32.59%,16.01%,40.22%,35.86%,13.26%,15.70%,2.52%,-5.56%,21.38%,38.53%,34.72%,47.28%,43.47%,31.33%,41.64%,28.72%,18.43%,19.43%,-0.87%,27.10%,22.63%,31.33%,50.15%,4.65%,28.50%,15.50%,29.26%,33.55%,31.07%,44.27%,43.66%,43.32%,-11.79%,-21.43%,-30.82%,-32.47%,-17.05%,-24.28%,-7.84%,-
Enterprise Value,"8,345","8,811","8,701","9,956","10,819","10,281","10,323","10,333","10,600","11,495","12,636","12,848","14,084","15,602","15,809","16,987","17,596","18,286","18,753","17,597","21,598","22,052","23,756","25,141","23,634","27,757","27,516","31,015","30,465","35,320","38,008","42,927","41,622","33,425","32,534","33,204","31,977","29,858","27,955","32,684","32,484"
PE Ratio,43.68,45.80,42.50,88.61,123.49,104.06,93.35,56.06,70.01,-120.10,-93.32,-58.39,-80.74,291.67,133.50,85.97,50.15,47.68,30.93,34.04,45.34,42.07,145.52,53.01,68.93,51.93,38.56,31.61,30.00,29.73,31.49,61.33,79.88,81.15,43.01,46.57,29.47,35.33,73.34,238.30,220.89
PS Ratio,7.91,8.18,7.48,8.79,9.45,8.13,7.58,7.77,7.73,8.64,9.46,9.57,10.06,10.72,10.33,11.08,10.74,10.57,10.35,9.34,11.76,11.26,11.94,12.15,10.43,12.22,11.03,12.75,11.66,13.43,14.55,16.34,14.31,9.93,9.17,9.23,8.13,7.15,6.19,7.63,7.56
PB Ratio,1.33,1.42,1.37,1.67,1.87,1.65,1.63,1.65,1.73,1.90,2.17,1.80,1.98,2.13,2.06,2.10,2.04,2.01,1.94,1.69,2.12,2.09,2.24,2.10,1.80,2.17,1.89,2.05,1.73,1.89,1.98,2.13,1.90,1.38,1.30,1.26,1.15,1.05,0.93,1.19,1.18
P/FCF Ratio,-16.37,-16.27,-19.48,-30.46,-46.10,-34.34,-14.75,-19.23,-17.82,-19.37,-27.05,-8.45,-7.48,-7.03,-6.97,-11.33,-10.92,-10.19,-9.48,-9.02,-10.60,-10.65,-9.29,-6.66,-5.73,-7.20,-5.85,-10.08,-5.88,-5.56,-6.46,-5.46,-4.87,-4.30,-4.78,-6.13,-9.61,-10.28,-9.34,-25.68,-25.68
P/OCF Ratio,15.35,17.77,15.96,19.11,19.20,18.46,18.80,19.12,19.76,21.05,21.86,22.43,24.60,24.65,24.27,27.72,26.78,26.77,26.20,21.73,27.80,25.68,26.40,27.21,22.78,26.62,22.74,27.25,24.86,28.53,31.16,34.20,32.54,21.75,20.02,18.47,15.43,12.68,10.80,13.51,13.39
Debt / Equity Ratio,0.83,0.85,0.90,0.96,1.03,1.07,1.15,0.99,1.06,1.02,1.11,0.85,0.89,0.93,0.89,0.80,0.84,0.87,0.83,0.75,0.77,0.83,0.86,0.76,0.78,0.80,0.73,0.65,0.66,0.62,0.63,0.54,0.61,0.60,0.60,0.54,0.61,0.59,0.60,0.61,0.61
Interest Coverage,3.07,3.00,2.68,0.67,2.06,2.43,2.43,2.49,1.24,-3.46,1.95,1.49,2.40,2.08,2.73,2.09,4.67,2.44,6.06,0.39,4.30,2.84,-0.02,5.45,1.41,6.10,2.87,12.76,1.22,11.95,3.89,3.15,-4.08,12.22,16.00,4.10,6.66,6.27,3.13,-1.77,2.40
Return on Capital (ROIC),Upgrade,3.04%,3.05%,3.09%,2.38%,2.16%,2.25%,2.32%,3.01%,2.83%,0.96%,0.83%,0.63%,1.05%,2.56%,2.68%,2.90%,2.85%,2.79%,2.87%,2.90%,2.82%,2.87%,2.83%,2.69%,2.55%,2.45%,2.65%,3.27%,3.03%,2.98%,2.47%,2.38%,2.28%,3.16%,4.31%,3.77%,3.71%,3.27%,2.35%,1.85%
Dividend Yield,3.70%,3.60%,3.80%,3.20%,3.00%,3.40%,3.60%,3.40%,3.40%,3.00%,2.90%,2.90%,2.90%,2.80%,2.80%,2.60%,2.80%,2.80%,2.90%,3.20%,2.70%,2.70%,2.60%,2.50%,3.00%,2.50%,2.60%,2.40%,2.60%,2.40%,2.30%,2.00%,2.30%,3.20%,3.30%,3.20%,3.80%,4.30%,4.90%,3.90%,4.26%
Payout Ratio,152.20%,184.60%,184.60%,-321.70%,296.00%,175.00%,167.40%,157.10%,-1600.00%,-46.50%,1142.90%,-276.70%,286.20%,245.70%,156.40%,230.80%,67.70%,182.40%,46.30%,-293.90%,87.40%,147.10%,-227.30%,57.90%,735.70%,58.20%,165.60%,32.00%,2725.00%,42.90%,167.20%,261.40%,-119.80%,70.70%,55.90%,403.30%,275.00%,243.10%,953.80%,-235.20%,940.74%
Buyback Yield / Dilution,-12.39%,-12.24%,-0.43%,-0.53%,-0.55%,-0.55%,-0.78%,-0.68%,-1.87%,-2.55%,-7.84%,-9.54%,-21.12%,-23.28%,-20.07%,-20.53%,-13.91%,-13.08%,-12.96%,-12.34%,-11.35%,-9.66%,-7.24%,-7.09%,-8.85%,-11.74%,-11.19%,-17.19%,-11.40%,-16.89%,-20.81%,-14.84%,-17.01%,-10.65%,-7.09%,-5.89%,-8.22%,-6.00%,-6.04%,-5.90%,-5.90%
Total Shareholder Return,-8.69%,-8.64%,3.37%,2.67%,2.45%,2.85%,2.82%,2.72%,1.53%,0.45%,-4.94%,-6.64%,-18.22%,-20.48%,-17.27%,-17.93%,-11.11%,-10.28%,-10.06%,-9.14%,-8.65%,-6.96%,-4.64%,-4.59%,-5.85%,-9.24%,-8.59%,-14.79%,-8.80%,-14.49%,-18.51%,-12.84%,-14.71%,-7.45%,-3.79%,-2.69%,-4.42%,-1.70%,-1.14%,-2.00%,-1.65%
