,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"7,368","9,995","11,355","11,139","10,160","9,827","10,827","10,706","9,630","9,435","10,363","10,594","9,751","9,820","11,227","10,965","10,611","10,401","11,643","11,559","10,938","10,584","11,960","11,911","11,313","8,515","1,622","3,173","4,028","4,008","7,478","8,969","9,427","8,899","13,422","13,462","13,188","12,189","14,055","13,482"
Revenue Growth (YoY),-,63.91%,76.07%,63.14%,37.89%,-1.68%,-4.65%,-3.89%,-5.22%,-3.99%,-4.29%,-1.05%,1.26%,4.08%,8.34%,3.50%,8.82%,5.92%,3.71%,5.42%,3.08%,1.76%,2.72%,3.05%,3.43%,-19.55%,-86.44%,-73.36%,-64.39%,-52.93%,361.04%,182.67%,134.04%,122.03%,79.49%,50.09%,39.90%,36.97%,4.72%,0.15%
Cost of Revenue,"3,926","5,534","5,754","5,763","5,085","4,225","4,600","4,307","3,948","3,608","4,045","4,174","4,098","4,202","4,371","4,486","4,578","4,706","5,207","5,413","5,076","4,880","5,325","5,397","4,158","4,498","1,835","2,285","2,678","2,956","3,747","4,439","4,878","5,202","6,778","6,763","6,243","6,073","5,790","6,334"
Gross Profit,"3,442","4,461","5,601","5,376","5,075","5,602","6,227","6,399","5,682","5,827","6,318","6,420","5,653","5,618","6,856","6,479","6,033","5,695","6,436","6,146","5,862","5,704","6,635","6,514","7,155","4,017",-213,888,"1,350","1,052","3,731","4,530","4,549","3,697","6,644","6,699","6,945","6,116","8,265","7,148"
"Selling, General & Admin","1,830","2,520","2,565","2,530","2,437","2,709","2,714","2,770","2,726","2,960","3,004","3,119","3,206","3,177","3,413","3,430","3,409","3,373","3,480","3,526","3,392","3,460","3,601","3,643","4,196","3,604","2,667","2,860","2,763","2,881","3,139","3,336","3,559","3,486","3,739","3,879","3,683","3,719","4,124","4,404"
Other Operating Expenses,"1,497","1,211","1,637","1,586","1,778","1,677","1,592","1,630","1,888","1,532","1,563","1,870","1,904","1,704","1,844","1,793","1,985","1,926","1,952","1,935","1,899","1,869","1,881","2,063","2,230","2,962",-394,899,"1,102",-514,151,599,"1,770","1,934","1,888","1,890","1,880","1,959","1,978","2,967"
Operating Expenses,"3,327","3,731","4,202","4,116","4,215","4,386","4,306","4,400","4,614","4,492","4,567","4,989","5,110","4,881","5,257","5,223","5,394","5,299","5,432","5,461","5,291","5,329","5,482","5,706","6,426","6,566","2,273","3,759","3,865","2,367","3,290","3,935","5,329","5,420","5,627","5,769","5,563","5,678","6,102","7,371"
Operating Income,115,730,"1,399","1,260",860,"1,216","1,921","1,999","1,068","1,335","1,751","1,431",543,737,"1,599","1,256",639,396,"1,004",685,571,375,"1,153",808,729,"-2,549","-2,486","-2,871","-2,515","-1,315",441,595,-780,"-1,723","1,017",930,"1,382",438,"2,163",-223
Interest Expense / Income,214,243,214,210,220,210,223,219,229,239,249,250,253,257,263,266,266,262,263,262,268,271,275,284,265,257,254,340,376,371,486,476,468,463,468,499,532,540,548,537
Other Expense / Income,"2,226",-6,-19,101,73,63,-21,71,594,-21,9,-8,-63,-55,-53,-73,-35,-104,-15,-73,-92,-141,-4,-33,-107,84,-81,-116,-82,-113,-54,-87,-57,-100,-54,-227,-160,-119,-148,-70
Pretax Income,"-2,325",493,"1,204",949,567,943,"1,719","1,709",245,"1,117","1,493","1,189",353,535,"1,389","1,063",408,238,756,496,395,245,882,557,571,"-2,890","-2,659","-3,095","-2,809","-1,573",9,206,"-1,191","-2,086",603,658,"1,010",17,"1,763",-690
