,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"16,955","16,199","17,502","20,021","20,610","27,542","29,658","31,279","29,202","21,560","20,565"
Market Cap Growth,26.94%,-4.46%,8.04%,14.39%,2.94%,33.63%,7.68%,5.47%,-6.64%,-26.17%,-
Enterprise Value,"26,687","26,370","28,223","33,396","35,134","43,098","47,520","51,432","51,768","48,261","47,265"
PE Ratio,20.69,18.44,18.57,20.26,19.95,30.30,24.61,25.63,20.79,-48.75,-48.75
PS Ratio,2.19,2.04,2.29,2.58,2.44,3.23,3.33,3.17,2.38,1.81,1.73
PB Ratio,1.70,1.57,1.63,1.81,1.79,2.18,2.11,2.14,1.89,1.52,1.45
P/FCF Ratio,351.53,-55.78,75.64,-56.89,-37.78,-30.54,-23.53,-25.80,-28.06,-8.01,-8.01
P/OCF Ratio,10.26,11.30,7.93,10.03,11.26,13.71,17.63,15.94,12.16,13.10,12.49
EV/Sales Ratio,3.45,3.32,3.69,4.31,4.16,5.05,5.34,5.21,4.21,4.05,3.97
EV/EBITDA Ratio,11.78,10.73,10.80,12.09,13.30,16.57,15.47,15.82,13.88,25.69,25.16
EV/EBIT Ratio,16.17,14.72,14.87,16.79,19.30,25.12,22.74,23.95,20.41,84.24,82.50
EV/FCF Ratio,553.31,-90.81,121.98,-94.90,-64.41,-47.78,-37.70,-42.42,-49.75,-17.94,-17.94
Debt / Equity Ratio,0.98,0.98,1.00,1.21,1.27,1.23,1.28,1.38,1.48,1.89,1.89
Debt / EBITDA Ratio,4.31,4.15,4.11,4.86,5.54,5.99,5.85,6.22,6.15,14.24,14.24
Debt / FCF Ratio,202.58,-35.11,46.47,-38.12,-26.82,-17.26,-14.26,-16.68,-22.05,-9.94,-9.94
Quick Ratio,0.35,0.34,0.29,0.32,0.31,0.33,0.31,0.26,0.31,0.27,0.27
Current Ratio,0.86,0.88,0.68,0.69,0.56,0.67,0.64,0.56,0.62,0.67,0.67
Asset Turnover,0.27,0.26,0.25,0.23,0.23,0.22,0.21,0.21,0.24,0.22,0.22
Interest Coverage,4.56,4.81,4.73,4.72,3.65,3.22,3.88,3.69,3.74,0.67,0.67
Return on Equity (ROE),8.30%,8.60%,8.90%,9.00%,9.10%,7.50%,8.80%,8.50%,9.30%,-2.90%,-2.90%
Return on Assets (ROA),2.90%,2.90%,3.00%,2.90%,2.80%,2.30%,2.80%,2.60%,2.80%,-0.80%,-0.80%
Return on Capital (ROIC),5.26%,5.32%,5.40%,4.86%,5.09%,4.34%,4.82%,4.47%,4.33%,5.86%,5.86%
Earnings Yield,4.83%,5.42%,5.38%,4.93%,5.01%,3.30%,4.06%,3.90%,4.81%,-2.05%,-2.15%
FCF Yield,0.28%,-1.79%,1.32%,-1.76%,-2.65%,-3.27%,-4.25%,-3.88%,-3.56%,-12.48%,-13.08%
Dividend Yield,2.90%,3.30%,3.20%,3.00%,3.10%,2.50%,2.60%,2.60%,3.00%,4.40%,4.86%
Payout Ratio,60.70%,60.30%,59.90%,61.10%,62.20%,75.60%,63.80%,67.90%,63.00%,-212.60%,-212.60%
Buyback Yield / Dilution,-0.38%,-0.32%,-0.01%,0.13%,0.01%,-1.56%,-5.23%,-1.41%,-0.76%,-0.75%,-0.75%
Total Shareholder Return,2.52%,2.98%,3.19%,3.13%,3.11%,0.94%,-2.63%,1.19%,2.24%,3.65%,4.11%
