,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"30,785","31,965","30,571","35,687","34,940","36,165","35,434","34,901","40,017","44,814","43,573","44,863","49,089","51,871","53,124","57,947","60,287","63,105","66,451","58,654","73,609","76,848","80,919","78,595","62,363","67,639","78,265","92,084","91,635","97,853","99,448","100,882","100,937","75,226","76,625","92,522","108,145","115,815","103,782","113,763","132,712"
Market Cap Growth,24.01%,30.72%,19.61%,25.51%,13.50%,13.14%,15.91%,-2.20%,14.53%,23.92%,22.97%,28.54%,22.67%,15.75%,21.92%,29.16%,22.81%,21.66%,25.08%,1.22%,22.10%,21.78%,21.77%,34.00%,-15.28%,-11.98%,-3.28%,17.16%,46.94%,44.67%,27.07%,9.55%,10.15%,-23.12%,-22.95%,-8.29%,7.14%,53.96%,35.44%,22.96%,-
Enterprise Value,"29,802","31,087","29,856","34,660","34,159","35,357","35,544","34,820","40,010","48,802","47,399","48,393","53,029","55,490","57,660","62,376","65,736","68,387","71,444","64,814","80,322","83,522","87,298","85,260","68,822","73,941","84,231","103,051","102,397","108,268","109,460","110,342","113,506","87,480","87,887","103,642","119,449","127,284","114,536","123,705","142,654"
PE Ratio,39.88,46.53,47.69,69.30,52.23,38.76,30.11,24.25,24.75,27.92,26.26,27.24,29.06,30.51,29.86,56.81,59.16,58.43,53.76,16.51,20.90,21.65,23.62,37.73,28.82,42.25,44.57,57.59,65.08,46.98,52.34,50.59,50.09,36.18,31.19,39.24,41.17,42.75,40.15,35.94,42.34
PS Ratio,3.37,3.44,3.21,3.69,3.58,3.68,3.60,3.51,3.98,4.28,4.00,3.96,4.17,4.34,4.38,4.66,4.74,4.84,5.01,4.31,5.31,5.41,5.56,5.28,4.17,4.81,5.50,6.42,6.23,6.02,5.97,5.90,5.79,4.27,4.27,5.01,5.71,5.95,5.22,5.55,6.47
PB Ratio,3.40,3.55,3.55,4.15,4.20,4.25,4.18,4.10,4.54,4.93,4.67,4.70,5.06,5.17,5.10,5.81,6.54,6.67,6.74,5.00,6.30,6.44,6.57,6.14,4.76,5.30,6.03,7.04,6.79,7.08,7.01,6.78,6.71,4.80,4.65,5.57,6.40,6.67,5.80,6.12,7.14
P/FCF Ratio,18.74,19.37,19.76,23.04,20.03,21.06,54.10,49.09,76.37,72.99,27.51,31.48,38.05,36.27,54.04,60.30,53.59,57.47,40.54,28.78,35.85,40.23,42.63,50.97,34.68,34.51,34.72,33.00,33.79,32.91,32.97,36.84,41.15,36.39,38.03,45.44,47.70,47.92,40.41,36.28,42.32
P/OCF Ratio,16.56,17.07,17.22,20.03,17.89,18.64,39.07,35.58,46.37,44.86,21.68,23.43,27.21,26.45,34.54,37.17,35.36,37.03,29.63,22.47,28.03,30.85,32.34,35.87,25.26,26.27,28.20,28.10,29.20,28.81,28.41,30.92,33.49,28.23,29.24,35.26,37.73,38.29,32.57,30.66,35.76
Debt / Equity Ratio,0.34,0.43,0.46,0.46,0.42,0.41,0.41,0.47,0.85,0.84,0.73,0.72,0.74,0.73,0.69,0.72,0.86,0.76,0.73,0.84,0.72,0.71,0.68,0.87,0.80,1.01,1.01,1.07,0.97,0.92,0.89,0.84,0.94,0.85,0.78,0.79,0.77,0.75,0.71,0.70,0.70
Quick Ratio,1.54,1.68,1.47,1.47,1.57,1.55,1.37,1.64,2.85,1.50,1.59,1.70,2.02,1.59,1.43,1.43,0.95,0.99,1.03,1.25,1.09,1.08,1.14,1.66,1.61,2.00,2.04,1.14,1.25,1.19,1.23,1.33,1.03,0.97,1.01,0.87,0.85,0.72,0.70,0.86,0.86
Current Ratio,2.37,2.53,2.22,1.95,2.36,2.40,2.26,2.27,3.56,2.17,2.43,2.50,3.09,2.39,2.37,2.29,1.64,1.83,1.91,2.03,2.12,2.07,2.19,2.51,2.58,2.91,2.89,1.93,2.27,2.12,2.13,2.20,1.98,2.00,2.04,1.63,1.73,1.54,1.48,1.58,1.58
Return on Capital (ROIC),Upgrade,6.71%,5.71%,5.42%,4.46%,6.07%,8.23%,10.48%,12.34%,10.66%,10.48%,11.35%,11.33%,11.38%,11.09%,11.34%,6.67%,6.63%,7.08%,7.81%,17.62%,18.72%,18.61%,17.73%,9.24%,9.68%,6.80%,7.37%,6.75%,6.31%,8.85%,8.10%,8.25%,7.73%,7.92%,8.90%,8.39%,9.19%,9.38%,9.08%,10.59%
Dividend Yield,1.40%,1.40%,1.50%,1.30%,1.40%,1.40%,1.50%,1.50%,1.40%,1.20%,1.30%,1.30%,1.20%,1.20%,1.20%,1.10%,1.10%,1.10%,1.10%,1.20%,1.00%,1.00%,1.00%,1.00%,1.30%,1.20%,1.10%,1.00%,1.00%,0.90%,1.00%,1.00%,1.00%,1.40%,1.40%,1.20%,1.00%,1.00%,1.10%,1.00%,0.92%
Payout Ratio,160.50%,89.70%,190.60%,50.70%,58.50%,33.20%,43.10%,27.30%,35.20%,37.30%,40.00%,31.20%,35.70%,40.90%,36.60%,-71.20%,39.80%,38.80%,29.70%,9.40%,47.30%,40.30%,41.90%,29.60%,43.60%,-261.40%,34.60%,41.70%,78.70%,40.10%,53.80%,39.70%,80.80%,40.20%,32.20%,50.70%,48.10%,38.50%,41.20%,26.60%,38.79%
Buyback Yield / Dilution,0.10%,-0.45%,-0.21%,-0.03%,-0.24%,0.42%,0.47%,1.28%,1.59%,0.68%,0.45%,-0.24%,-0.50%,-0.34%,-0.32%,-0.50%,-0.37%,-0.08%,0.03%,0.26%,0.37%,0.16%,-0.03%,-0.05%,-0.11%,1.05%,0.03%,-0.26%,-0.53%,-1.81%,-0.66%,-0.29%,-0.26%,0.03%,0.24%,0.03%,-0.13%,-0.44%,-0.58%,-0.39%,-0.39%
Total Shareholder Return,1.50%,0.95%,1.29%,1.27%,1.16%,1.82%,1.97%,2.78%,2.99%,1.88%,1.75%,1.06%,0.70%,0.86%,0.88%,0.60%,0.73%,1.02%,1.13%,1.46%,1.37%,1.16%,0.97%,0.95%,1.19%,2.25%,1.13%,0.74%,0.47%,-0.91%,0.34%,0.71%,0.74%,1.43%,1.64%,1.23%,0.87%,0.56%,0.52%,0.61%,0.52%
