,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"39,722","20,869","24,117","35,218","35,026","42,693","40,988","42,980","25,695","19,613","20,933"
Market Cap Growth,5.24%,-47.46%,15.57%,46.03%,-0.55%,21.89%,-3.99%,4.86%,-40.22%,-23.67%,-
Enterprise Value,"45,826","20,015","24,098","35,336","36,673","45,218","43,951","58,211","41,060","30,655","31,975"
PE Ratio,15.91,21.56,4.86,58.50,22.66,42.65,37.19,33.47,-10.56,7.38,7.85
PS Ratio,3.71,2.09,2.37,3.33,3.16,3.76,3.51,3.54,1.77,1.32,1.41
PB Ratio,4.89,2.36,2.91,3.86,4.47,5.42,4.72,4.74,4.41,2.33,2.49
P/FCF Ratio,17.35,24.27,25.79,32.07,25.79,30.32,35.37,28.07,43.48,18.97,20.24
P/OCF Ratio,12.36,11.78,14.58,20.55,17.37,20.29,21.94,19.34,21.22,11.36,12.13
EV/Sales Ratio,4.28,2.01,2.37,3.34,3.30,3.98,3.77,4.79,2.83,2.07,2.16
EV/EBITDA Ratio,13.22,10.60,4.14,18.62,15.11,24.84,19.61,23.98,-62.78,7.08,7.39
EV/EBIT Ratio,17.13,17.73,4.80,30.78,22.15,43.86,31.00,37.31,-20.19,10.00,10.44
EV/FCF Ratio,20.01,23.27,25.77,32.18,27.00,32.11,37.92,38.02,69.48,29.65,30.92
Debt / Equity Ratio,1.11,0.74,0.34,0.38,0.44,0.74,0.77,2.00,2.93,1.69,1.69
Debt / EBITDA Ratio,2.60,3.45,0.48,1.85,1.44,3.22,2.99,7.49,-26.12,3.29,3.29
Debt / FCF Ratio,3.94,7.57,2.98,3.20,2.57,4.16,5.77,11.88,28.91,13.77,13.77
Quick Ratio,0.80,1.58,1.64,1.84,1.31,1.62,1.72,1.32,0.90,0.90,0.90
Current Ratio,1.68,2.05,2.40,2.58,2.12,2.32,2.52,2.09,1.69,1.48,1.48
Asset Turnover,0.42,0.42,0.63,0.63,0.67,0.66,0.59,0.53,0.48,0.52,0.52
Interest Coverage,18.45,8.96,76.05,20.87,36.80,14.52,10.58,8.08,-5.15,6.93,6.93
Return on Equity (ROE),29.50%,12.10%,57.60%,6.60%,17.70%,12.90%,13.30%,14.80%,-33.20%,38.00%,38.00%
Return on Assets (ROA),9.70%,4.00%,30.70%,3.60%,9.40%,5.80%,5.60%,5.60%,-8.10%,9.20%,9.20%
Return on Capital (ROIC),3.78%,2.82%,6.74%,5.61%,13.42%,13.45%,9.02%,4.65%,-9.79%,1.75%,1.75%
Earnings Yield,6.29%,4.64%,20.59%,1.71%,4.41%,2.34%,2.69%,2.99%,-9.47%,13.54%,12.69%
FCF Yield,5.77%,4.12%,3.88%,3.12%,3.88%,3.30%,2.83%,3.56%,2.30%,5.27%,4.94%
Dividend Yield,2.80%,3.30%,1.10%,0.90%,1.10%,1.00%,1.20%,1.30%,2.30%,3.00%,2.81%
Payout Ratio,44.50%,71.30%,5.60%,55.00%,25.20%,43.10%,44.00%,42.40%,-23.80%,22.10%,22.10%
Buyback Yield / Dilution,0.36%,-0.37%,-0.36%,-0.73%,1.62%,4.95%,0.39%,1.74%,0.79%,-0.40%,-0.40%
Total Shareholder Return,3.16%,2.93%,0.74%,0.17%,2.72%,5.95%,1.59%,3.04%,3.09%,2.60%,2.42%
