,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"27,613","25,290","27,629","26,575","32,225","40,767","39,122","26,911","39,391","54,547","64,552"
Market Cap Growth,29.22%,-8.41%,9.25%,-3.81%,21.26%,26.51%,-4.04%,-31.21%,46.38%,38.48%,-
Enterprise Value,"28,717","30,398","38,427","36,260","42,160","66,604","68,267","59,591","55,456","70,686","80,079"
PE Ratio,13.07,10.02,9.69,22.64,9.39,14.66,14.84,-2.74,4.05,3.76,6.35
PS Ratio,0.28,0.26,0.38,0.42,0.43,0.47,0.35,0.39,0.33,0.30,0.42
PB Ratio,2.53,2.35,2.09,1.96,2.30,1.16,1.16,1.21,1.50,1.97,2.50
P/FCF Ratio,12.47,15.26,13.18,21.68,8.14,13.58,8.36,-123.44,12.92,3.89,4.21
P/OCF Ratio,8.11,8.13,6.78,6.62,4.87,6.62,4.14,11.12,9.03,3.33,3.72
EV/Sales Ratio,0.29,0.31,0.53,0.57,0.56,0.77,0.61,0.86,0.46,0.39,0.52
EV/EBITDA Ratio,6.21,5.69,6.22,8.34,7.32,9.93,8.67,-7.93,3.73,3.04,4.25
EV/EBIT Ratio,8.44,7.56,8.22,15.45,11.56,14.68,14.68,-5.47,4.83,3.53,5.15
EV/FCF Ratio,12.96,18.35,18.33,29.58,10.65,22.19,14.59,-273.35,18.19,5.04,5.22
Debt / Equity Ratio,0.31,0.61,0.90,0.78,0.92,0.78,0.91,1.49,1.03,1.01,1.11
Debt / EBITDA Ratio,0.73,1.23,1.93,2.43,2.25,4.10,3.88,-4.40,1.81,1.20,1.52
Debt / FCF Ratio,1.53,3.98,5.69,8.62,3.27,9.17,6.53,-151.81,8.82,1.99,1.86
Quick Ratio,0.80,0.65,0.64,0.63,0.74,0.57,0.51,0.39,1.22,1.26,1.17
Current Ratio,1.30,1.32,1.49,1.46,1.28,1.36,1.80,1.81,1.70,1.76,1.67
Asset Turnover,3.40,3.25,2.15,1.46,1.61,1.40,1.15,0.81,1.36,1.96,1.74
Interest Coverage,19.02,18.61,14.70,4.16,5.41,4.57,3.78,-7.98,7.74,20.01,25.91
Return on Equity (ROE),18.50%,23.70%,23.50%,8.80%,26.10%,13.90%,7.80%,-42.50%,37.10%,55.70%,43.50%
Return on Assets (ROA),7.20%,8.40%,8.50%,2.70%,7.30%,4.50%,2.70%,-11.60%,11.00%,15.80%,13.10%
Return on Capital (ROIC),15.67%,15.49%,12.20%,6.51%,17.20%,5.87%,5.35%,-22.15%,7.88%,29.48%,23.93%
Earnings Yield,7.65%,9.98%,10.32%,4.42%,10.65%,6.82%,6.74%,-36.51%,24.72%,26.61%,17.89%
FCF Yield,8.02%,6.55%,7.59%,4.61%,12.29%,7.36%,11.96%,-0.81%,7.74%,25.72%,23.76%
Dividend Yield,1.70%,2.00%,2.20%,2.70%,2.30%,3.10%,3.50%,5.60%,3.60%,2.10%,1.94%
Payout Ratio,23.10%,20.80%,21.60%,61.30%,22.50%,34.30%,53.00%,-15.30%,15.10%,8.80%,12.33%
Buyback Yield / Dilution,7.31%,9.46%,5.57%,2.21%,3.40%,-2.73%,-26.24%,2.26%,1.69%,19.12%,19.84%
Total Shareholder Return,9.01%,11.46%,7.77%,4.91%,5.70%,0.37%,-22.74%,7.86%,5.29%,21.22%,21.78%
