,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"33,066","33,470","37,370","33,024","24,312","31,622","38,211","38,343","42,089","49,444","36,402"
Market Cap Growth,4.72%,1.22%,11.65%,-11.63%,-26.38%,30.07%,20.84%,0.34%,9.77%,17.47%,-
Enterprise Value,"40,984","42,328","45,037","41,740","39,731","45,662","50,073","49,450","53,140","60,564","48,459"
PE Ratio,18.12,27.41,22.02,19.92,11.41,18.04,17.52,16.39,15.55,19.06,15.60
PS Ratio,1.85,1.90,2.26,2.11,1.55,1.88,2.17,2.12,2.22,2.46,1.80
PB Ratio,5.06,6.70,7.58,7.63,3.96,4.48,4.74,4.05,3.99,4.73,3.88
P/FCF Ratio,17.55,18.18,18.32,19.03,10.95,13.85,11.88,15.62,15.30,23.65,15.70
P/OCF Ratio,13.01,13.16,13.52,13.67,8.56,11.27,10.39,12.85,12.69,17.79,11.84
EV/Sales Ratio,2.29,2.40,2.72,2.67,2.52,2.71,2.84,2.73,2.80,3.01,2.40
EV/EBITDA Ratio,11.40,15.61,13.39,13.00,12.49,14.00,13.45,12.39,12.52,14.65,12.20
EV/EBIT Ratio,13.62,19.93,16.34,16.01,15.51,17.28,16.01,14.59,14.47,16.88,14.12
EV/FCF Ratio,21.75,22.99,22.08,24.06,17.90,19.99,15.56,20.14,19.32,28.97,20.91
Debt / Equity Ratio,1.34,1.84,1.71,2.19,2.58,2.05,1.68,1.33,1.10,1.12,1.35
Debt / EBITDA Ratio,2.44,3.39,2.51,2.95,4.97,4.44,3.64,3.16,2.74,2.83,3.19
Debt / FCF Ratio,4.66,4.99,4.13,5.46,7.13,6.34,4.21,5.14,4.22,5.60,5.46
Quick Ratio,0.43,0.35,0.42,0.41,0.28,0.30,0.44,0.38,0.28,0.30,0.30
Current Ratio,0.81,0.75,0.79,0.76,0.56,0.59,0.68,0.70,0.64,0.69,0.64
Asset Turnover,0.78,0.76,0.76,0.72,0.65,0.56,0.58,0.57,0.60,0.64,0.65
Interest Coverage,9.95,6.73,9.07,8.84,6.86,5.06,6.71,8.06,9.68,9.39,7.84
Return on Equity (ROE),27.70%,21.90%,34.70%,37.90%,44.30%,26.10%,28.40%,26.50%,27.40%,25.10%,24.20%
Return on Assets (ROA),7.90%,5.30%,7.80%,7.60%,8.80%,5.80%,7.20%,7.30%,8.50%,8.30%,7.80%
Return on Capital (ROIC),13.01%,9.89%,13.26%,12.97%,10.73%,9.77%,11.21%,11.22%,12.89%,12.54%,12.15%
Earnings Yield,5.52%,3.65%,4.54%,5.02%,8.77%,5.54%,5.71%,6.10%,6.43%,5.25%,6.69%
FCF Yield,5.70%,5.50%,5.46%,5.25%,9.13%,7.22%,8.42%,6.40%,6.54%,4.23%,6.37%
Dividend Yield,2.90%,3.00%,2.80%,3.30%,4.60%,3.70%,3.10%,3.20%,2.90%,2.60%,3.68%
Payout Ratio,53.40%,82.70%,62.90%,68.10%,53.10%,67.10%,54.60%,53.00%,45.70%,49.50%,57.42%
Buyback Yield / Dilution,4.68%,2.99%,0.28%,3.07%,1.04%,-5.02%,-1.23%,-0.63%,1.27%,2.47%,2.06%
Total Shareholder Return,7.58%,5.99%,3.08%,6.37%,5.64%,-1.32%,1.87%,2.57%,4.17%,5.07%,5.75%
