,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"16,362","14,418","15,013","14,952","15,903","16,019","16,328","17,953","18,589","20,533","19,530","18,330","20,618","22,756","25,612","28,134","32,758","35,478","34,448","41,382","35,181","42,093","46,678","45,164","42,321","43,215","46,888","55,420","57,904","56,003","57,468","52,893","60,057","66,667","68,004","67,973","75,889","83,739","77,485","81,537","110,674"
Market Cap Growth,28.23%,-5.53%,-2.08%,-8.54%,-2.81%,11.11%,8.76%,20.07%,16.89%,28.18%,19.61%,2.10%,10.92%,10.82%,31.14%,53.49%,58.88%,55.91%,34.50%,47.09%,7.40%,18.65%,35.50%,9.14%,20.30%,2.67%,0.45%,22.71%,36.82%,29.59%,22.56%,-4.56%,3.72%,19.04%,18.33%,28.51%,26.36%,25.61%,13.94%,19.95%,-
Enterprise Value,"18,148","16,182","17,095","17,026","17,959","18,478","18,804","20,473","21,072","23,025","22,060","21,319","23,540","25,653","28,834","31,190","35,789","39,141","38,149","45,119","39,511","46,340","50,991","49,524","46,501","48,239","52,174","60,724","63,224","61,277","62,751","57,506","64,753","72,765","74,150","73,995","82,057","89,839","84,192","88,286","117,424"
PE Ratio,14.04,12.24,13.09,12.35,12.41,12.76,12.32,13.73,14.66,16.69,18.46,18.74,20.00,19.01,18.64,20.11,20.57,18.82,15.56,14.21,13.56,14.28,14.48,14.40,10.73,12.15,10.73,10.96,10.20,8.67,10.53,13.07,18.07,30.89,82.44,81.85,109.26,101.13,45.22,30.12,41.11
PS Ratio,0.90,0.78,0.81,0.79,0.82,0.82,0.81,0.87,0.89,0.95,0.89,0.81,0.88,0.94,1.02,1.09,1.22,1.27,1.17,1.33,1.10,1.24,1.32,1.24,1.09,1.11,1.16,1.32,1.36,1.25,1.26,1.13,1.26,1.39,1.43,1.40,1.53,1.61,1.39,1.39,1.89
PB Ratio,2.64,2.24,2.21,2.16,2.30,2.22,2.22,2.41,2.55,2.72,2.49,2.26,2.59,2.67,2.85,3.03,3.53,3.44,3.13,3.49,3.25,3.48,3.50,3.20,3.10,3.01,2.81,3.06,3.40,3.14,3.08,2.85,3.29,3.91,4.35,4.60,4.78,4.96,4.64,4.69,6.36
P/FCF Ratio,9.28,8.41,8.87,8.76,9.80,9.28,8.13,8.48,8.56,9.38,8.66,8.30,8.17,8.02,8.48,7.96,9.06,8.35,6.83,7.48,5.84,6.88,8.00,7.69,7.11,7.56,7.18,8.86,8.64,7.27,7.38,6.08,7.92,8.95,10.46,11.16,11.51,12.75,10.32,9.09,12.33
P/OCF Ratio,8.61,7.84,8.32,8.26,9.22,8.72,7.72,8.06,8.11,8.77,8.02,7.61,7.54,7.54,8.04,7.65,8.72,8.06,6.60,7.22,5.60,6.57,7.56,7.26,6.76,7.18,6.93,8.54,8.39,7.09,7.21,5.97,7.74,8.72,10.13,10.67,11.08,12.32,10.01,8.93,12.11
Debt / Equity Ratio,0.30,0.29,0.33,0.31,0.31,0.36,0.37,0.36,0.37,0.36,0.34,0.39,0.40,0.37,0.38,0.36,0.36,0.37,0.35,0.33,0.41,0.36,0.33,0.31,0.32,0.38,0.32,0.30,0.32,0.30,0.29,0.26,0.27,0.37,0.41,0.43,0.40,0.38,0.41,0.40,0.40
Interest Coverage,16.88,19.04,15.78,15.39,19.27,14.64,15.90,13.20,15.50,12.31,9.26,8.13,15.09,18.27,13.66,7.97,20.36,25.43,22.18,27.87,6.37,33.98,27.24,22.23,29.17,19.09,41.23,35.10,38.48,34.12,18.72,3.56,24.33,8.19,-9.09,3.26,17.25,9.76,7.63,21.23,14.08
Return on Capital (ROIC),Upgrade,15.47%,15.13%,13.60%,14.15%,14.95%,13.70%,14.02%,13.81%,13.82%,13.11%,11.15%,9.75%,10.37%,11.37%,12.17%,12.08%,13.59%,14.20%,15.81%,19.50%,18.16%,18.90%,19.19%,17.93%,22.82%,18.98%,20.69%,22.39%,26.19%,28.69%,23.53%,18.13%,15.25%,10.07%,4.32%,4.57%,3.77%,4.22%,8.28%,12.15%
