,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30,Current
Market Capitalization,"21,002","21,899","20,757","21,825","22,127","20,929","22,408","23,955","25,662","26,817","25,459","24,293","23,931","22,762","20,203","22,032","21,120","22,767","22,815","18,601","18,427","17,102","20,525","22,145","19,097","20,566","20,316","20,100","20,339","20,498","20,450","20,627","20,947","22,849","22,305","22,876","21,502","21,708","19,111","19,121","19,000"
Market Cap Growth,-4.37%,-0.25%,3.46%,5.00%,5.36%,-4.43%,7.96%,9.76%,15.97%,28.13%,13.61%,1.41%,-6.74%,-15.12%,-20.64%,-9.31%,-11.75%,0.02%,12.93%,-15.57%,-12.75%,-24.88%,-10.04%,19.05%,3.64%,20.26%,-1.02%,-9.23%,6.50%,-0.33%,0.66%,2.62%,2.99%,11.47%,9.07%,10.90%,2.65%,-4.99%,-14.32%,-16.42%,-
Enterprise Value,"28,383","29,103","27,980","28,752","29,508","28,128","30,058","31,463","33,590","34,487","33,001","31,780","31,609","30,686","28,134","30,366","29,508","31,578","31,429","27,173","27,899","26,524","28,417","30,217","27,113","28,612","28,163","27,777","28,258","28,344","28,174","28,070","28,588","30,162","29,208","29,748","28,542","28,730","25,686","25,373","25,252"
PE Ratio,12.93,18.56,23.17,-18.62,24.37,23.46,27.33,-146.06,36.66,23.94,21.80,-114.59,22.84,20.18,17.01,12.87,11.89,9.55,15.01,-55.36,16.34,14.95,20.77,38.18,13.76,14.65,14.59,24.51,13.82,13.49,16.65,11.91,12.41,17.52,17.99,-55.53,18.04,15.20,17.76,177.05,20.18
PS Ratio,1.43,1.50,1.42,1.50,1.54,1.47,1.61,1.77,1.92,2.04,1.95,1.87,1.86,1.78,1.58,1.70,1.62,1.72,1.70,1.37,1.35,1.24,1.50,1.63,1.42,1.53,1.50,1.46,1.46,1.46,1.44,1.45,1.47,1.57,1.50,1.49,1.37,1.37,1.20,1.26,1.25
PB Ratio,5.98,5.84,6.14,7.83,8.69,7.89,8.41,11.26,12.63,13.48,11.65,12.71,11.93,12.41,10.48,9.96,8.32,8.02,7.49,7.15,7.27,6.45,7.53,8.06,7.14,7.17,6.67,6.46,6.48,6.10,5.87,5.54,5.52,5.60,5.21,5.80,5.31,5.48,4.73,6.02,5.98
P/FCF Ratio,19.01,19.36,21.49,18.02,21.03,18.92,23.13,21.05,26.00,22.09,21.16,21.67,17.85,20.54,16.52,19.24,18.21,24.32,24.40,19.42,23.50,16.98,22.55,37.53,20.17,18.41,14.85,13.57,16.09,18.40,21.50,17.97,16.43,17.58,17.97,19.67,20.54,23.34,15.58,-,21.25
P/OCF Ratio,12.09,12.47,13.01,12.17,13.66,12.46,14.38,14.17,16.03,14.91,14.38,14.92,13.05,13.93,11.69,13.38,12.70,15.82,15.72,12.11,13.37,10.63,13.37,18.83,12.76,12.64,11.02,10.12,11.11,12.04,13.30,12.13,11.68,12.56,12.85,13.86,13.44,14.57,10.21,-,13.57
Debt / Equity Ratio,2.18,2.00,2.26,2.64,3.04,2.83,2.98,3.65,4.06,4.12,3.61,4.06,3.98,4.50,4.25,3.89,3.45,3.20,2.93,3.42,3.85,3.68,3.06,3.08,3.38,3.17,3.01,2.61,2.65,2.45,2.34,2.08,2.10,1.87,1.70,1.82,1.82,1.85,1.90,2.06,2.06
Quick Ratio,0.37,0.43,0.43,0.39,0.46,0.38,0.35,0.28,0.35,0.38,0.37,0.34,0.37,0.38,0.38,0.37,0.44,0.45,0.48,0.37,0.38,0.40,0.48,0.41,0.49,0.50,0.53,0.45,0.38,0.42,0.42,0.33,0.34,0.36,0.39,0.32,0.36,0.35,0.46,0.36,0.36
