,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"6,205","5,909","6,827","10,060","9,648","13,003","15,079","17,960","17,285","16,414","17,203"
Market Cap Growth,3.07%,-4.78%,15.54%,47.36%,-4.10%,34.78%,15.97%,19.10%,-3.76%,-5.04%,-
Enterprise Value,"6,560","6,421","7,606","10,543","10,030","13,220","15,098","18,295","18,345",-,"17,994"
PE Ratio,22.21,20.89,25.18,29.83,23.50,30.56,39.92,39.97,29.45,27.53,29.01
PS Ratio,2.89,2.92,3.23,4.40,3.88,5.21,6.41,6.50,5.43,5.01,5.25
PB Ratio,4.17,4.09,4.42,5.33,4.84,5.75,5.94,6.41,5.69,0,4.86
P/FCF Ratio,19.39,18.67,18.88,25.87,23.01,27.25,29.13,36.46,35.32,26.19,26.53
P/OCF Ratio,16.86,16.40,17.07,23.25,20.13,24.62,26.49,31.77,31.01,22.90,24.00
EV/Sales Ratio,3.05,3.18,3.60,4.61,4.04,5.30,6.42,6.62,5.77,-,5.50
EV/EBITDA Ratio,12.50,12.71,14.43,18.07,15.14,19.58,24.74,24.96,20.43,-,21.23
EV/EBIT Ratio,14.64,15.03,17.28,21.11,17.14,22.10,28.66,29.04,23.58,-,24.48
EV/FCF Ratio,20.50,20.29,21.03,27.11,23.92,27.71,29.16,37.14,37.48,-,27.75
Debt / Equity Ratio,0.58,0.58,0.66,0.46,0.43,0.38,0.41,0.43,0.49,0,0.37
Debt / EBITDA Ratio,1.47,1.71,1.60,1.74,1.30,1.26,1.39,1.42,1.33,2.03,1.56
Debt / FCF Ratio,2.42,2.73,2.32,2.61,2.05,1.78,1.64,2.12,2.43,2.38,2.04
Quick Ratio,1.86,1.90,1.65,1.86,2.14,2.60,3.31,2.52,1.61,0,1.92
Current Ratio,2.61,2.79,2.66,2.78,3.00,3.52,4.15,3.50,2.57,0,2.89
Asset Turnover,0.74,0.72,0.67,0.67,0.72,0.65,0.53,0.56,0.58,0,0.57
Interest Coverage,10.29,10.37,8.90,11.20,12.89,13.06,11.64,15.54,18.46,14.17,13.84
Return on Equity (ROE),17.76%,19.03%,18.78%,21.84%,21.76%,21.35%,16.69%,17.69%,20.94%,19.61%,16.83%
Return on Assets (ROA),9.68%,9.72%,9.66%,10.69%,12.08%,12.26%,9.91%,10.18%,11.94%,10.81%,10.16%
Return on Capital (ROIC),13.08%,13.24%,13.07%,14.55%,16.09%,16.27%,13.44%,13.77%,14.73%,12.67%,11.79%
Earnings Yield,4.50%,4.79%,3.97%,3.35%,4.26%,3.27%,2.51%,2.50%,3.40%,3.63%,3.47%
FCF Yield,5.16%,5.36%,5.30%,3.87%,4.35%,3.67%,3.43%,2.74%,2.83%,3.82%,3.77%
Dividend Yield,1.38%,1.63%,1.50%,1.11%,1.32%,1.13%,1.01%,0.90%,1.03%,1.16%,1.13%
Payout Ratio,30.68%,34.01%,37.86%,32.96%,31.05%,34.59%,40.19%,35.85%,30.23%,31.99%,32.65%
Buyback Yield / Dilution,2.13%,3.41%,1.56%,-0.75%,-0.30%,1.37%,0.13%,-0.40%,0.52%,0.13%,0.13%
Total Shareholder Return,3.52%,5.04%,3.06%,0.36%,1.02%,2.50%,1.14%,0.50%,1.55%,1.29%,1.26%
