,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"5,315","7,406","7,415","11,397","12,979","21,870","37,015","50,514","37,194","44,738","44,983"
Market Cap Growth,2.67%,39.35%,0.12%,53.70%,13.87%,68.50%,69.25%,36.47%,-26.37%,20.28%,-
Enterprise Value,"5,594","8,208","8,698","12,586","14,650","23,599","39,234","53,404","40,844","48,904","49,149"
PE Ratio,18.71,33.12,28.43,37.49,25.55,38.80,61.51,69.58,42.72,38.95,39.52
PS Ratio,5.33,6.89,6.44,8.95,9.05,14.04,21.83,24.72,16.54,17.69,17.79
PB Ratio,3.71,8.22,23.35,28.42,-77.95,-285.08,-83.51,-309.02,-36.90,-60.48,-60.48
P/FCF Ratio,20.86,27.21,18.55,32.07,23.02,33.35,48.70,57.19,36.38,39.07,39.28
P/OCF Ratio,17.39,23.05,16.76,28.20,21.18,30.82,45.64,53.96,33.96,36.19,36.39
EV/Sales Ratio,5.61,7.63,7.56,9.88,10.22,15.15,23.14,26.13,18.16,19.34,19.43
EV/EBITDA Ratio,11.19,16.98,15.29,18.98,17.26,27.66,41.15,46.36,30.08,28.52,28.66
EV/EBIT Ratio,13.15,20.24,17.84,21.59,19.20,31.41,46.57,52.47,33.61,31.43,31.59
EV/FCF Ratio,21.95,30.16,21.76,35.42,25.98,35.99,51.61,60.46,39.95,42.70,42.92
Debt / Equity Ratio,0.55,1.75,6.53,5.18,-15.47,-42.18,-7.94,-26.38,-4.61,-6.26,-6.26
Debt / EBITDA Ratio,1.58,3.27,3.65,3.13,3.04,3.79,3.69,3.74,3.42,2.70,2.70
Debt / FCF Ratio,3.09,5.80,5.19,5.85,4.57,4.93,4.63,4.88,4.54,4.04,4.04
Quick Ratio,1.45,1.98,1.89,2.00,1.70,2.23,1.82,1.67,1.32,0.86,0.86
Current Ratio,1.63,2.13,1.97,2.09,1.77,2.31,1.89,1.71,1.40,0.94,0.94
Asset Turnover,0.33,0.35,0.38,0.41,0.40,0.43,0.41,0.41,0.47,0.50,0.50
Interest Coverage,13.37,6.50,4.80,5.02,5.73,5.08,5.39,6.38,7.08,8.33,8.33
Return on Equity (ROE),18.80%,18.20%,51.70%,90.20%,207.40%,-291.70%,-161.00%,-224.60%,-87.30%,-118.30%,-118.30%
Return on Assets (ROA),9.50%,7.30%,8.70%,9.70%,14.20%,15.70%,14.70%,14.50%,18.00%,22.70%,22.70%
Return on Capital (ROIC),10.96%,10.61%,13.79%,15.23%,22.99%,22.35%,25.23%,21.88%,27.70%,29.88%,29.88%
Earnings Yield,5.35%,3.02%,3.52%,2.67%,3.91%,2.58%,1.63%,1.44%,2.34%,2.57%,2.55%
FCF Yield,4.79%,3.67%,5.39%,3.12%,4.34%,3.00%,2.05%,1.75%,2.75%,2.56%,2.55%
Dividend Yield,0.40%,1.10%,1.30%,1.00%,1.30%,1.00%,0.70%,0.60%,1.00%,1.00%,1.13%
Payout Ratio,7.30%,39.00%,36.80%,39.30%,32.90%,37.80%,40.60%,41.40%,42.50%,38.20%,44.48%
Buyback Yield / Dilution,3.61%,5.81%,12.18%,4.79%,2.41%,4.64%,1.19%,1.23%,2.71%,1.69%,1.69%
Total Shareholder Return,4.01%,6.91%,13.48%,5.79%,3.71%,5.64%,1.89%,1.83%,3.71%,2.69%,2.81%
