,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"66,962","48,480","24,791","35,994","38,199","25,741","24,668","34,956","27,784","26,021","28,320"
Market Cap Growth,42.97%,-27.60%,-48.86%,45.19%,6.13%,-32.61%,-4.17%,41.71%,-20.52%,-6.35%,-
Enterprise Value,"68,408","49,767","25,316","36,816","39,020","26,341","26,021","38,149","35,653","32,273","34,572"
PE Ratio,13.36,10.65,9.93,14.25,7.17,8.17,8.76,5.34,8.87,7.98,8.77
PS Ratio,1.18,0.94,0.51,0.69,0.65,0.44,0.44,0.55,0.44,0.48,0.53
PB Ratio,2.51,1.75,-6.37,-10.56,-59.78,-21.58,-11.07,-21.26,-9.18,-24.34,-24.34
P/FCF Ratio,7.18,12.60,8.78,10.76,9.20,6.46,6.60,6.00,7.51,8.74,9.51
P/OCF Ratio,5.43,6.90,7.62,9.79,8.44,5.53,5.72,5.45,6.23,7.29,7.93
EV/Sales Ratio,1.21,0.97,0.52,0.71,0.67,0.45,0.46,0.60,0.57,0.60,0.64
EV/EBITDA Ratio,6.41,5.64,6.82,9.89,8.95,5.70,6.15,6.21,6.68,7.49,8.03
EV/EBIT Ratio,10.78,10.46,7.49,10.93,10.19,6.79,7.56,7.12,7.82,9.34,10.00
EV/FCF Ratio,7.34,12.94,8.96,11.01,9.39,6.61,6.96,6.55,9.64,10.84,11.61
Debt / Equity Ratio,0.73,0.32,-1.75,-2.29,-9.37,-4.31,-2.79,-4.56,-3.64,-8.87,-8.87
Debt / EBITDA Ratio,1.83,1.01,1.84,2.10,1.37,1.11,1.47,1.22,2.06,2.20,2.20
Debt / FCF Ratio,2.09,2.31,2.41,2.34,1.44,1.29,1.66,1.29,2.98,3.18,3.18
Quick Ratio,0.73,0.29,0.55,0.51,0.41,0.42,0.39,0.34,0.29,0.31,0.31
Current Ratio,1.15,1.23,0.98,1.00,0.85,0.80,0.79,0.76,0.75,0.73,0.73
Asset Turnover,0.55,0.50,1.80,1.71,1.72,1.80,1.69,1.77,1.61,1.47,1.47
Interest Coverage,16.15,12.26,-,36.61,4.68,2.86,14.90,-,19.40,6.66,6.66
Return on Equity (ROE),18.00%,16.90%,-57.00%,-63.00%,-303.90%,-223.20%,-170.80%,-214.80%,-130.90%,-137.00%,-137.00%
Return on Assets (ROA),4.80%,4.40%,9.30%,8.30%,15.60%,9.70%,8.40%,18.20%,8.00%,8.90%,8.90%
Return on Capital (ROIC),7.75%,11.15%,84.36%,58.87%,126.65%,122.81%,75.65%,79.20%,41.33%,45.63%,45.63%
Earnings Yield,7.49%,9.39%,10.07%,7.02%,13.95%,12.25%,11.41%,18.71%,11.27%,12.54%,11.52%
FCF Yield,13.92%,7.94%,11.40%,9.29%,10.87%,15.47%,15.16%,16.67%,13.31%,11.44%,10.52%
Dividend Yield,1.70%,2.50%,3.40%,2.50%,2.30%,3.70%,3.90%,2.60%,3.60%,4.00%,3.86%
Payout Ratio,22.90%,26.80%,34.40%,35.50%,16.90%,30.80%,35.40%,14.30%,33.10%,31.90%,33.82%
Buyback Yield / Dilution,1.95%,3.97%,5.07%,2.35%,4.00%,6.73%,6.82%,14.08%,13.93%,4.76%,4.76%
Total Shareholder Return,3.65%,6.47%,8.47%,4.85%,6.30%,10.43%,10.72%,16.68%,17.53%,8.76%,8.62%
