,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"15,722","13,607","15,780","16,842","14,302","15,613","12,375","14,653","13,849","15,536","16,518"
Market Cap Growth,-15.82%,-13.45%,15.97%,6.73%,-15.08%,9.16%,-20.74%,18.41%,-5.48%,12.18%,-
Enterprise Value,"26,026","23,727","26,231","27,903","25,273","26,810","22,006","23,111","22,336","24,140","25,122"
PE Ratio,26.60,52.33,24.13,14.47,22.49,16.75,-13.29,9.38,16.85,10.83,11.82
PS Ratio,1.10,1.01,1.20,1.23,1.02,1.05,0.98,1.00,0.99,0.98,1.04
PB Ratio,0.82,0.78,0.87,0.88,0.77,0.82,0.69,0.82,0.97,0.99,1.05
P/FCF Ratio,66.34,6.83,19.65,10.80,4.43,22.30,11.96,6.84,5.22,4.82,5.13
P/OCF Ratio,5.26,3.84,7.00,6.50,3.39,8.97,7.09,5.59,4.18,3.98,4.23
EV/Sales Ratio,1.82,1.77,2.00,2.03,1.80,1.80,1.75,1.58,1.59,1.52,1.58
EV/EBITDA Ratio,10.64,14.02,11.65,9.78,11.23,9.88,151.76,7.77,11.56,8.62,8.98
EV/EBIT Ratio,16.83,32.19,18.60,14.09,18.89,15.14,-37.36,9.39,15.70,10.68,11.11
EV/FCF Ratio,109.81,11.91,32.67,17.90,7.83,38.30,21.26,10.79,8.42,7.49,7.80
Debt / Equity Ratio,0.55,0.60,0.59,0.60,0.61,0.60,0.57,0.51,0.63,0.57,0.57
Debt / EBITDA Ratio,4.36,6.24,4.79,4.04,5.06,4.25,69.72,3.05,4.67,3.22,3.22
Debt / FCF Ratio,45.01,5.30,13.42,7.40,3.53,16.48,9.77,4.24,3.40,2.80,2.80
Asset Turnover,0.18,0.17,0.17,0.17,0.18,0.18,0.16,0.18,0.18,0.21,0.21
Interest Coverage,3.10,1.42,2.63,3.07,2.33,3.00,-1.14,5.80,3.76,6.01,6.01
Return on Equity (ROE),3.00%,1.40%,3.60%,6.20%,3.40%,4.80%,-5.40%,8.80%,5.50%,9.70%,9.70%
Return on Assets (ROA),0.70%,0.30%,0.80%,1.50%,0.80%,1.10%,-1.20%,1.90%,1.10%,1.90%,1.90%
Return on Capital (ROIC),4.35%,3.26%,3.81%,6.32%,3.92%,4.41%,-3.13%,7.29%,4.55%,6.93%,6.93%
Earnings Yield,3.76%,1.91%,4.14%,6.91%,4.45%,5.97%,-7.52%,10.66%,5.94%,9.23%,8.68%
FCF Yield,1.51%,14.64%,5.09%,9.26%,22.56%,4.48%,8.36%,14.61%,19.16%,20.73%,19.50%
Dividend Yield,0.60%,0.70%,0.50%,0.50%,0.60%,0.50%,0.60%,0.40%,0.40%,0.40%,0.34%
Payout Ratio,16.20%,34.90%,13.00%,7.30%,12.60%,8.10%,-7.50%,4.20%,7.40%,4.00%,3.97%
Buyback Yield / Dilution,1.79%,5.19%,6.72%,0.24%,5.21%,5.18%,7.59%,7.18%,6.50%,6.36%,6.36%
Total Shareholder Return,2.39%,5.89%,7.22%,0.74%,5.81%,5.68%,8.19%,7.58%,6.90%,6.76%,6.70%
