,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,364,440,327,472,405,336,478,621,532,399
Cash & Cash Equivalents,364,440,327,472,405,336,478,621,532,399
Cash Growth,23.81%,20.88%,-25.68%,44.34%,-14.19%,-17.04%,42.26%,29.92%,-14.33%,-25.00%
Receivables,"7,770","8,041","7,644","7,613","7,960","7,675","7,833","9,273","9,403","9,660"
"Property, Plant & Equipment","15,611","15,477","15,230","15,427","15,511","15,568","10,451","9,888","10,027","10,718"
Goodwill and Intangibles,374,351,346,659,665,767,785,349,346,347
Total Assets,"78,367","76,006","76,594","79,586","78,316","82,243","80,236","81,626","75,567","79,197"
Accounts Payable,673,567,150,60,42,108,92,90,133,79
Deferred Revenue,"3,592","3,671","3,762","5,001","7,585","8,362","9,142","10,264","11,088","11,627"
Total Liabilities,"53,717","53,196","53,233","55,020","56,930","60,313","61,055","62,451","60,366","62,672"
Total Debt,"10,668","10,560","10,778","11,533","11,376","11,533","10,109","9,079","9,019","9,003"
Debt Growth,3.13%,-1.01%,2.06%,7.01%,-1.36%,1.38%,-12.35%,-10.19%,-0.66%,-0.18%
Common Stock,"3,485","3,187","3,190","3,134","3,625","3,364","3,129","2,884","2,738","2,584"
Retained Earnings,"15,515","14,731","15,196","16,096","15,773","15,823","14,150","14,776","14,931","15,617"
Comprehensive Income,280,-357,-223,-26,-880,-68,581,186,"-3,320","-2,497"
Shareholders' Equity,"19,280","17,561","18,163","19,204","18,518","19,119","17,860","17,846","14,349","15,704"
Net Cash / Debt,"-10,304","-10,120","-10,451","-11,061","-10,971","-11,197","-9,631","-8,458","-8,487","-8,604"
Net Cash Per Share,-26.94,-27.90,-30.89,-32.77,-34.29,-36.91,-34.36,-32.51,-34.89,-37.77
Book Value Per Share,50.48,48.45,53.74,57.05,58.04,63.16,63.71,68.73,59.09,69.03
