,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"56,587","60,296","55,556","53,500","52,014","45,872","26,329","52,498","38,606","46,666","48,923"
Market Cap Growth,27.42%,6.55%,-7.86%,-3.70%,-2.78%,-11.81%,-42.60%,99.39%,-26.46%,20.88%,-
Enterprise Value,"76,828","82,097","77,973","76,650","74,805","69,883","52,556","77,792","63,443",-,"72,787"
PE Ratio,40.17,32.99,30.21,27.46,21.32,21.83,23.67,23.34,18.04,6685667.59,31.97
PS Ratio,11.62,11.45,10.22,9.66,9.19,7.97,5.71,10.26,7.30,8.25,8.65
PB Ratio,11.11,13.48,12.89,14.51,15.78,18.16,8.66,15.62,12.30,0,16.18
P/FCF Ratio,30.43,31.18,27.73,20.78,18.18,15.45,8.98,28.49,12.42,14.97,21.28
P/OCF Ratio,20.95,22.08,18.37,15.86,14.47,12.23,6.91,22.56,10.61,12.39,16.79
EV/Sales Ratio,15.77,15.59,14.35,13.84,13.22,12.14,11.41,15.20,11.99,-,12.86
EV/EBITDA Ratio,20.46,19.87,18.02,17.12,16.02,14.89,14.97,17.45,14.23,-,17.02
EV/EBIT Ratio,31.71,28.85,25.25,24.33,22.59,20.90,24.84,25.06,20.25,-,22.18
EV/FCF Ratio,41.31,42.46,38.91,29.78,26.14,23.54,17.93,42.22,20.40,-,31.66
Debt / Equity Ratio,4.17,5.23,5.55,6.95,7.30,10.29,9.17,7.83,8.27,0,8.61
Debt / EBITDA Ratio,6.28,5.05,5.20,5.13,5.28,4.97,7.03,6.11,5.79,6.26,6.09
Debt / FCF Ratio,12.68,10.78,11.23,8.93,8.61,7.85,8.42,14.78,8.31,8.17,11.32
Quick Ratio,0.83,0.63,0.62,0.96,0.55,0.51,0.67,0.48,0.57,0,0
Current Ratio,0.49,0.49,0.48,0.83,0.45,0.51,0.67,0.60,0.45,0,0
Asset Turnover,0.16,0.17,0.17,0.17,0.18,0.18,0.13,0.15,0.16,0,0.17
Interest Coverage,2.40,2.89,3.17,3.46,3.57,3.68,2.51,3.03,3.39,-3.28,-3.52
Return on Equity (ROE),24.08%,35.89%,41.13%,45.19%,66.19%,63.75%,44.04%,74.01%,63.55%,0.00%,50.69%
Return on Assets (ROA),4.23%,6.19%,6.00%,6.26%,7.56%,6.85%,3.56%,6.47%,6.32%,0.00%,4.47%
Return on Capital (ROIC),7.97%,10.19%,9.95%,10.16%,10.15%,10.80%,7.27%,7.51%,8.56%,9.82%,9.44%
Earnings Yield,2.49%,3.03%,3.31%,3.64%,4.69%,4.58%,4.23%,4.29%,5.54%,0.00%,3.13%
FCF Yield,3.42%,3.32%,4.63%,5.35%,5.71%,6.39%,7.00%,5.92%,8.07%,-,4.70%
Dividend Yield,3.32%,3.64%,4.24%,4.81%,5.42%,6.43%,6.32%,5.13%,6.72%,-,5.20%
Payout Ratio,133.27%,120.15%,128.11%,132.02%,115.64%,140.34%,149.58%,119.61%,121.17%,-,166.31%
Buyback Yield / Dilution,-0.15%,0.20%,-0.83%,0.38%,0.61%,0.54%,-0.26%,-6.43%,-0.01%,0.44%,-0.06%
Total Shareholder Return,3.16%,3.84%,3.41%,5.18%,6.03%,6.97%,6.06%,-1.30%,6.71%,0.44%,5.14%
