,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"8,696","8,417","7,393","11,733","15,098","11,107","10,343","7,769","11,410","8,754","6,638"
Market Cap Growth,50.57%,-3.21%,-12.16%,58.71%,28.68%,-26.43%,-6.88%,-24.88%,46.86%,-23.28%,-
Enterprise Value,"6,041","5,137","4,327","9,700","13,885","13,053","11,865","-2,270","-8,473","8,707","9,387"
PE Ratio,16.31,14.36,14.36,24.81,20.46,9.05,8.65,16.12,10.01,7.80,5.70
PS Ratio,3.47,3.39,2.87,4.51,4.88,3.34,3.16,3.27,3.41,2.52,1.78
PB Ratio,1.22,1.14,0.98,1.51,1.90,1.48,1.41,0.97,1.45,1.69,1.34
P/FCF Ratio,11.85,14.79,9.91,30.01,14.86,7.28,10.30,9.15,20.23,15.74,10.90
P/OCF Ratio,10.40,13.17,8.55,24.14,13.91,6.87,9.49,8.37,18.00,13.72,9.14
EV/Sales Ratio,2.41,2.07,1.68,3.73,4.49,3.92,3.62,-0.96,-2.53,2.51,2.52
EV/EBITDA Ratio,6.65,5.17,4.98,12.26,10.25,7.89,7.18,-3.11,-5.33,5.55,5.78
EV/EBIT Ratio,7.69,5.90,5.77,14.48,11.25,8.50,7.71,-3.65,-5.69,5.90,6.10
EV/FCF Ratio,8.23,9.03,5.80,24.81,13.67,8.55,11.82,-2.67,-15.02,15.66,15.41
Debt / Equity Ratio,0.53,0.38,0.41,0.67,0.58,0.87,1.00,0.71,0.35,1.20,2.18
Debt / EBITDA Ratio,4.18,2.81,3.55,6.55,3.42,3.93,4.44,7.86,1.76,3.98,6.69
Debt / FCF Ratio,5.17,4.91,4.13,13.26,4.56,4.26,7.31,6.75,4.96,11.21,17.83
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.03,0.04,0.04,0.04
Return on Equity (ROE),7.60%,7.90%,6.80%,6.10%,9.30%,15.60%,16.30%,6.20%,14.30%,18.90%,21.50%
Return on Assets (ROA),0.80%,0.90%,0.70%,0.70%,1.00%,1.70%,1.70%,0.60%,1.30%,1.30%,1.30%
Return on Capital (ROIC),4.94%,5.60%,4.90%,3.67%,5.90%,8.81%,8.20%,3.61%,10.92%,10.08%,7.57%
Earnings Yield,6.13%,6.96%,6.97%,4.03%,4.89%,11.05%,11.55%,6.20%,9.99%,12.82%,17.61%
FCF Yield,8.44%,6.76%,10.09%,3.33%,6.73%,13.74%,9.71%,10.93%,4.94%,6.35%,9.17%
Dividend Yield,1.40%,1.70%,2.00%,1.30%,1.30%,2.70%,3.70%,4.90%,3.10%,4.10%,5.64%
Payout Ratio,23.30%,24.10%,28.30%,32.50%,25.80%,25.20%,33.60%,78.80%,32.20%,31.80%,32.16%
Buyback Yield / Dilution,3.91%,1.76%,1.64%,2.53%,-0.96%,7.02%,10.85%,3.51%,5.71%,0.15%,-0.73%
Total Shareholder Return,5.31%,3.46%,3.64%,3.83%,0.34%,9.72%,14.55%,8.41%,8.81%,4.25%,4.91%
