,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"40,633","52,669","35,945","31,439","29,067","22,455","23,932","31,044","45,858","48,757","67,157"
Market Cap Growth,61.61%,29.62%,-31.75%,-12.54%,-7.54%,-22.75%,6.58%,29.72%,47.72%,6.32%,-
Enterprise Value,"47,034","57,172","40,011","37,201","34,275","27,069","29,318","34,171","49,868","51,374","72,783"
PE Ratio,32.17,35.68,15.92,6.20,433.84,660.44,26.59,-6.84,41.17,13.70,23.14
PS Ratio,0.30,0.29,0.19,0.16,0.14,0.11,0.10,0.13,0.17,0.18,0.22
PB Ratio,4.77,6.58,4.03,2.83,2.97,2.77,4.70,-1478.29,-20.18,-26.26,-30.01
P/FCF Ratio,14.96,20.52,12.00,7.52,7.72,6.45,6.19,7.96,11.76,10.60,23.22
P/OCF Ratio,12.96,16.92,9.79,6.63,6.69,5.56,5.47,6.83,10.34,9.45,19.23
EV/Sales Ratio,0.34,0.32,0.21,0.19,0.16,0.13,0.13,0.14,0.19,0.19,0.24
EV/EBITDA Ratio,15.40,15.53,9.09,4.71,27.46,16.89,11.94,-9.00,17.03,9.22,16.06
EV/EBIT Ratio,20.27,21.45,11.37,5.32,115.40,41.39,25.12,-6.81,25.87,10.90,19.97
EV/FCF Ratio,17.31,22.27,13.36,8.90,9.10,7.78,7.58,8.76,12.79,11.17,25.17
Debt / Equity Ratio,1.24,1.23,0.91,0.77,0.80,0.94,1.85,-447.86,-3.32,-3.93,-3.71
Debt / EBITDA Ratio,3.47,2.67,1.84,1.08,6.31,4.74,3.83,-2.48,2.57,1.31,1.68
Debt / FCF Ratio,3.90,3.83,2.71,2.04,2.09,2.18,2.43,2.41,1.93,1.59,2.63
Quick Ratio,0.61,0.63,0.63,0.59,0.56,0.56,0.56,0.58,0.46,0.50,0.48
Current Ratio,1.11,1.10,1.10,1.04,1.01,1.02,0.99,1.03,0.95,0.92,0.92
Asset Turnover,3.44,3.34,3.42,3.38,3.33,3.52,3.81,3.87,4.17,4.42,4.66
Interest Coverage,7.73,7.13,9.97,22.70,1.05,2.48,4.69,-23.12,10.83,19.00,14.52
Return on Equity (ROE),15.80%,16.90%,25.50%,54.10%,0.60%,0.40%,14.10%,-167.50%,-95.90%,-176.20%,-163.40%
Return on Assets (ROA),3.20%,2.80%,4.00%,8.60%,0.10%,0.10%,1.50%,-7.40%,1.80%,5.70%,4.60%
Return on Capital (ROIC),7.98%,10.72%,14.41%,12.26%,16.67%,0.49%,16.84%,-53.71%,24.62%,64.23%,58.42%
Earnings Yield,3.11%,2.80%,6.28%,16.13%,0.23%,0.15%,3.76%,-14.62%,2.43%,7.30%,4.46%
FCF Yield,6.69%,4.87%,8.33%,13.30%,12.95%,15.49%,16.16%,12.57%,8.50%,9.44%,4.31%
Dividend Yield,0.50%,0.40%,0.70%,0.80%,0.90%,1.30%,1.20%,0.90%,0.60%,0.60%,0.49%
Payout Ratio,16.70%,15.10%,11.00%,4.90%,406.20%,888.20%,32.50%,-5.90%,25.00%,8.30%,11.23%
Buyback Yield / Dilution,2.51%,-0.86%,0.85%,4.29%,6.28%,5.60%,7.96%,11.56%,4.05%,7.72%,5.46%
Total Shareholder Return,3.01%,-0.46%,1.55%,5.09%,7.18%,6.90%,9.16%,12.46%,4.65%,8.32%,5.95%
