,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"14,499","15,139","15,661","16,652","18,280","17,908","15,754","16,100","17,811","17,653","20,042","20,730","21,896","22,561","25,853","26,809","26,311","26,270","28,239","24,414","28,151","28,660","28,704","32,089","21,726","28,350","32,305","39,120","39,526","40,883","43,805","52,304","45,130","38,444","39,830","45,310","48,591","50,572","50,096","59,310","63,297"
Market Cap Growth,21.62%,21.53%,27.16%,17.97%,26.08%,18.29%,0.60%,-3.31%,-2.57%,-1.42%,27.22%,28.75%,22.94%,27.80%,28.99%,29.33%,20.16%,16.44%,9.23%,-8.93%,6.99%,9.10%,1.65%,31.44%,-22.83%,-1.08%,12.55%,21.91%,81.93%,44.21%,35.60%,33.70%,14.18%,-5.97%,-9.08%,-13.37%,7.67%,31.55%,25.78%,30.90%,-
Enterprise Value,"15,423","16,038","17,040","17,979","19,687","19,271","17,010","17,154","19,964","19,664","21,998","22,567","23,854","24,597","27,924","28,598","28,526","28,716","30,478","26,693","30,725","31,636","31,666","34,787","24,434","30,802","34,664","41,249","41,802","44,877","47,751","55,862","48,763","41,972","43,331","48,454","51,656","53,389","52,654","61,988","65,974"
PE Ratio,22.61,22.86,22.91,23.48,25.03,24.38,20.82,21.09,24.06,22.99,25.45,25.19,24.57,24.10,26.13,41.21,38.07,36.26,36.98,20.26,23.32,23.68,24.44,27.78,19.24,25.80,27.73,32.51,30.62,29.14,29.54,32.88,26.75,21.48,21.42,23.82,25.36,26.56,26.08,30.76,33.93
PS Ratio,3.03,3.05,3.03,3.12,3.37,3.28,2.83,2.89,3.13,3.00,3.30,3.30,3.42,3.46,3.85,3.82,3.60,3.44,3.57,2.98,3.39,3.44,3.46,3.90,2.67,3.50,3.88,4.55,4.34,4.18,4.26,4.81,3.94,3.22,3.21,3.59,3.84,4.03,4.02,4.72,5.04
PB Ratio,5.04,5.09,5.26,5.73,6.20,5.84,5.01,4.97,5.26,4.99,5.41,5.64,5.91,5.82,6.36,6.72,6.72,6.99,7.04,6.08,6.83,6.91,6.91,7.08,4.95,5.98,6.41,7.27,7.24,7.15,7.37,8.30,7.02,5.95,6.06,6.46,6.65,6.73,6.38,7.11,7.58
P/FCF Ratio,23.69,25.36,25.79,24.58,27.00,24.25,19.34,18.57,20.37,20.08,22.79,23.19,23.61,23.49,30.06,29.09,32.55,34.31,31.76,30.25,28.03,26.89,25.19,26.42,17.16,21.49,24.67,29.46,31.70,33.27,37.49,44.20,37.16,27.79,25.38,25.22,24.82,25.98,24.63,27.46,29.31
P/OCF Ratio,18.32,19.12,19.13,18.90,21.10,19.46,16.05,15.62,17.19,16.89,19.07,19.24,19.53,19.48,24.27,23.43,25.38,25.72,24.30,21.94,21.23,20.72,19.71,21.36,14.08,17.84,20.51,24.57,25.86,26.41,29.00,33.96,28.75,22.29,20.53,20.84,20.62,21.52,20.94,23.45,25.03
Debt / Equity Ratio,0.77,0.79,0.88,0.91,0.94,0.90,0.91,0.87,0.85,0.80,0.80,0.82,0.87,0.88,0.88,0.89,0.83,0.91,0.81,0.89,0.86,0.96,0.95,0.80,1.16,0.79,0.76,0.72,0.85,0.92,0.88,0.76,0.77,0.75,0.72,0.65,0.62,0.57,0.55,0.52,0.52
Quick Ratio,1.46,1.45,1.50,2.35,2.64,2.53,2.55,2.84,1.79,1.89,1.54,1.54,1.64,1.61,2.14,2.12,1.16,1.12,1.08,1.26,1.61,1.31,1.26,1.24,1.81,1.66,1.51,1.60,1.68,1.11,1.22,1.51,1.55,1.51,1.47,1.52,1.61,1.46,1.48,1.36,1.36
Current Ratio,2.06,2.02,2.17,3.30,3.82,3.65,3.57,3.82,2.80,2.87,2.25,2.20,2.35,2.33,3.04,2.95,1.80,1.72,1.68,1.87,2.50,2.06,1.99,1.98,2.54,2.59,2.27,2.38,2.43,2.17,2.40,2.44,2.55,2.44,2.38,2.42,2.64,2.33,2.33,2.17,2.17
Interest Coverage,12.30,12.87,12.82,14.00,15.43,15.40,17.42,16.89,13.18,16.66,18.00,18.46,16.34,14.47,15.46,16.02,15.37,15.59,17.80,17.24,12.69,13.24,13.53,15.26,11.00,11.78,16.93,17.15,16.16,16.39,19.86,20.84,20.93,21.23,20.73,17.95,16.50,17.89,19.72,19.88,18.47
