,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"5,947","6,414","7,205","11,768","9,943","10,572","7,736","12,901","10,695","12,367","11,224"
Market Cap Growth,39.12%,7.86%,12.32%,63.34%,-15.51%,6.32%,-26.83%,66.77%,-17.10%,15.63%,-
Enterprise Value,"7,847","8,238","8,829","15,314","13,613","14,599","11,501","16,741","14,567","16,676","15,533"
PE Ratio,35.76,49.73,50.08,73.58,39.91,44.15,172.33,35.70,22.15,34.40,29.81
PS Ratio,11.06,11.26,11.73,11.96,8.87,9.33,7.61,11.06,8.74,9.35,8.49
PB Ratio,3.12,3.12,2.78,1.76,1.55,1.70,1.29,2.14,1.75,1.76,1.60
P/FCF Ratio,37.57,34.30,36.23,51.61,15.67,18.92,15.24,18.75,17.72,24.84,22.54
P/OCF Ratio,21.41,22.46,24.24,25.05,16.29,17.02,15.50,19.56,16.31,17.19,15.60
EV/Sales Ratio,14.59,14.46,14.37,15.56,12.14,12.88,11.32,14.36,11.90,12.61,11.75
EV/EBITDA Ratio,17.65,20.62,21.12,24.19,17.98,19.08,21.01,20.67,15.35,19.14,17.83
EV/EBIT Ratio,26.43,32.60,34.54,51.22,34.24,37.37,57.06,33.05,23.16,32.14,29.94
EV/FCF Ratio,49.57,44.05,44.39,67.16,21.45,26.12,22.65,24.33,24.14,33.49,31.20
Debt / Equity Ratio,1.06,0.91,0.63,0.54,0.58,0.67,0.69,0.65,0.65,0.63,0.63
Debt / EBITDA Ratio,4.55,4.67,3.93,5.68,4.91,5.42,7.57,4.86,4.15,5.05,5.05
Debt / FCF Ratio,12.77,9.97,8.26,15.77,5.85,7.41,8.16,5.72,6.53,8.84,8.84
Asset Turnover,0.13,0.14,0.14,0.09,0.10,0.10,0.09,0.11,0.11,0.11,0.11
Interest Coverage,2.71,2.46,2.82,2.25,2.68,2.58,1.29,3.49,4.30,3.36,3.36
Return on Equity (ROE),9.10%,6.70%,6.10%,2.40%,3.80%,3.80%,0.70%,6.00%,7.90%,5.50%,5.50%
Return on Assets (ROA),4.10%,3.10%,3.30%,1.40%,2.20%,2.20%,0.40%,3.40%,4.40%,3.10%,3.10%
Return on Capital (ROIC),4.70%,5.22%,4.99%,2.47%,3.76%,3.57%,2.66%,4.53%,4.71%,4.09%,4.09%
Earnings Yield,2.80%,2.01%,2.00%,1.36%,2.51%,2.26%,0.58%,2.80%,4.51%,2.91%,3.20%
FCF Yield,2.66%,2.92%,2.76%,1.94%,6.38%,5.29%,6.56%,5.33%,5.64%,4.03%,4.44%
Dividend Yield,2.90%,2.80%,2.90%,3.00%,3.80%,3.70%,5.20%,3.20%,4.00%,3.90%,4.41%
Payout Ratio,104.40%,141.60%,139.90%,210.00%,151.00%,163.60%,881.50%,113.70%,89.50%,128.40%,131.37%
Buyback Yield / Dilution,-0.99%,-0.98%,-10.97%,-62.80%,0.39%,1.11%,-1.26%,-0.90%,0.05%,-7.86%,-7.86%
Total Shareholder Return,1.91%,1.82%,-8.07%,-59.80%,4.19%,4.81%,3.94%,2.30%,4.05%,-3.96%,-3.46%
