,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,617,653,607,677,671,678,732,"1,091",913,887
Cash & Cash Equivalents,617,653,607,677,671,678,732,"1,091",913,887
Cash Growth,5.65%,5.83%,-7.04%,11.53%,-0.89%,1.04%,7.96%,49.04%,-16.32%,-2.85%
"Property, Plant & Equipment","1,190","1,171","1,119","1,518","1,751",882,814,753,681,636
Goodwill and Intangibles,"1,106","1,158","1,125","2,830","2,954","2,832","2,917","2,852","2,823","2,846"
Total Assets,"92,934","93,821","95,131","136,453","137,698","139,613","144,988","170,336","186,346","189,813"
Total Liabilities,"82,614","83,279","84,372","121,213","122,673","124,017","127,950","152,355","168,923","176,359"
Total Debt,"9,527","8,873","11,089","14,694","15,344","14,595","13,540","14,688","12,803","28,770"
Debt Growth,8.97%,-6.86%,24.97%,32.51%,4.42%,-4.88%,-7.23%,8.48%,-12.83%,124.71%
Common Stock,"3,049","2,613","2,229","6,403","5,467","4,857","4,543","4,492","3,456","4,133"
Retained Earnings,"7,606","8,273","8,922","9,378","10,335","11,556","12,469","12,751","14,553","15,616"
Comprehensive Income,-352,-356,-405,-541,-779,-818,26,738,-586,"-6,295"
Shareholders' Equity,"10,303","10,530","10,746","15,240","15,023","15,595","17,038","17,981","17,423","13,454"
Net Cash / Debt,"-8,910","-8,220","-10,482","-14,017","-14,673","-13,917","-12,808","-13,597","-11,890","-27,883"
Net Cash Per Share,-9.76,-9.36,-12.41,-14.93,-13.48,-13.20,-12.78,-13.95,-12.42,-29.88
Book Value Per Share,11.37,12.08,12.84,16.43,14.01,14.98,17.17,18.58,18.40,14.55
