,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"12,033","12,042","11,018","19,745","21,691","15,290","19,936","16,024","21,535","16,252","13,173"
Market Cap Growth,53.07%,0.07%,-8.50%,79.20%,9.86%,-29.51%,30.38%,-19.62%,34.40%,-24.53%,-
Enterprise Value,"20,943","20,262","21,500","33,762","36,364","29,207","32,744","29,621","33,425","44,135","37,223"
PE Ratio,13.57,13.72,12.34,26.19,17.69,8.49,12.31,12.95,8.55,9.03,11.35
PS Ratio,3.04,2.99,2.71,4.18,3.60,2.48,3.37,2.83,2.80,2.41,2.16
PB Ratio,1.17,1.14,1.02,1.30,1.44,0.98,1.17,0.89,1.24,1.21,0.99
P/FCF Ratio,8.27,9.84,10.42,12.79,12.74,6.35,7.02,9.95,19.74,3.70,3.96
P/OCF Ratio,7.78,9.12,9.74,11.69,11.95,6.10,6.86,9.58,18.68,3.64,3.82
EV/Sales Ratio,5.30,5.02,5.29,7.15,6.03,4.73,5.53,5.23,4.35,6.55,6.11
EV/EBITDA Ratio,14.94,13.76,14.67,26.29,15.54,11.27,14.41,17.62,10.13,17.83,21.65
EV/EBIT Ratio,17.73,16.53,17.64,34.81,18.81,13.22,16.12,18.87,10.23,18.87,23.62
EV/FCF Ratio,14.39,16.55,20.34,21.87,21.35,12.12,11.53,18.40,30.64,10.06,11.19
Debt / Equity Ratio,0.92,0.84,1.03,0.96,1.02,0.94,0.79,0.82,0.73,2.14,1.86
Debt / EBITDA Ratio,6.80,6.03,7.56,11.44,6.56,5.63,5.96,8.74,3.88,11.62,14.44
Debt / FCF Ratio,6.55,7.25,10.49,9.52,9.01,6.06,4.77,9.12,11.74,6.56,7.46
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.03
Return on Equity (ROE),8.60%,8.40%,8.40%,5.70%,8.10%,11.80%,9.70%,7.00%,14.30%,12.70%,8.40%
Return on Assets (ROA),1.00%,1.00%,0.90%,0.60%,0.90%,1.30%,1.10%,0.70%,1.40%,1.00%,0.60%
Return on Capital (ROIC),4.43%,4.81%,4.21%,2.64%,4.26%,6.16%,5.59%,4.07%,8.65%,4.53%,3.39%
Earnings Yield,7.37%,7.29%,8.10%,3.82%,5.65%,11.77%,8.13%,7.72%,11.70%,11.07%,8.73%
FCF Yield,12.09%,10.16%,9.59%,7.82%,7.85%,15.76%,14.24%,10.05%,5.07%,27.01%,25.24%
Dividend Yield,1.60%,1.80%,2.20%,1.80%,1.90%,3.80%,3.50%,4.50%,3.20%,4.50%,5.83%
Payout Ratio,21.90%,24.80%,27.40%,40.70%,33.30%,32.70%,43.60%,57.80%,28.30%,40.70%,66.13%
Buyback Yield / Dilution,3.25%,3.77%,3.84%,-11.14%,-15.99%,3.12%,4.97%,2.74%,1.78%,2.54%,0.08%
Total Shareholder Return,4.85%,5.57%,6.04%,-9.34%,-14.09%,6.92%,8.47%,7.24%,4.98%,7.04%,5.90%
