,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"21,813","33,905","67,288","103,178","91,277","117,649","141,426","218,844","191,525","346,021","583,060"
Market Cap Growth,97.08%,55.44%,98.46%,53.34%,-11.53%,28.89%,20.21%,54.74%,-12.48%,80.67%,-
Enterprise Value,"25,718","35,955","77,833","109,522","104,478","145,392","174,870","246,411","218,624","371,061","608,100"
PE Ratio,82.94,24.86,-38.69,60.98,7.45,43.65,53.11,34.00,17.07,24.57,37.76
PS Ratio,5.11,4.97,5.08,5.85,4.38,5.21,5.92,7.97,5.77,9.66,16.28
PB Ratio,6.73,7.19,3.56,5.09,3.42,4.72,5.92,8.77,8.43,14.43,24.31
P/FCF Ratio,28.48,18.48,24.99,17.42,10.76,12.58,12.19,16.43,11.74,19.62,33.07
P/OCF Ratio,18.56,14.63,19.73,15.75,10.28,12.13,11.73,15.90,11.44,19.13,32.24
EV/Sales Ratio,6.02,5.27,5.88,6.21,5.01,6.43,7.32,8.98,6.58,10.36,16.98
EV/EBITDA Ratio,24.94,13.87,30.76,15.83,11.76,15.36,15.72,16.77,11.41,18.05,29.59
EV/EBIT Ratio,63.34,22.04,-152.02,50.22,21.75,39.75,41.45,28.49,15.43,22.19,36.37
EV/FCF Ratio,33.57,19.59,28.90,18.49,12.31,15.54,15.08,18.50,13.40,21.04,34.49
Debt / Equity Ratio,1.70,0.82,0.72,0.87,0.66,1.32,1.72,1.59,1.74,1.64,1.64
Debt / EBITDA Ratio,5.34,1.49,5.39,2.54,1.97,3.46,3.69,2.70,2.06,1.91,1.91
Debt / FCF Ratio,7.19,2.11,5.07,2.96,2.06,3.51,3.54,2.98,2.42,2.22,2.22
Quick Ratio,2.35,2.54,1.71,5.40,3.26,1.21,1.56,2.27,2.18,2.34,2.34
Current Ratio,3.78,3.36,2.32,6.26,3.90,1.44,1.87,2.64,2.62,2.82,2.82
Asset Turnover,0.61,0.65,0.33,0.35,0.40,0.32,0.30,0.36,0.46,0.50,0.50
Interest Coverage,3.69,8.54,-0.88,4.80,7.65,2.53,2.37,4.59,8.16,10.31,10.31
Return on Equity (ROE),8.40%,32.70%,-11.00%,8.60%,43.80%,11.70%,11.10%,26.50%,51.30%,61.60%,61.60%
Return on Assets (ROA),3.80%,13.10%,-4.30%,3.30%,23.40%,3.80%,3.40%,8.50%,15.50%,19.50%,19.50%
Return on Capital (ROIC),4.45%,18.00%,-1.26%,6.14%,34.15%,7.34%,7.49%,13.11%,21.13%,23.91%,23.91%
Earnings Yield,1.21%,4.02%,-2.58%,1.64%,13.43%,2.29%,1.88%,2.94%,5.86%,4.07%,2.42%
FCF Yield,3.51%,5.41%,4.00%,5.74%,9.29%,7.95%,8.20%,6.09%,8.52%,5.10%,3.02%
Dividend Yield,1.30%,1.30%,1.10%,1.60%,3.20%,3.60%,3.70%,2.70%,3.50%,2.20%,1.69%
Payout Ratio,107.60%,30.00%,-40.80%,97.60%,23.90%,156.60%,196.40%,91.70%,59.80%,54.20%,63.67%
Buyback Yield / Dilution,-5.95%,-5.24%,-36.30%,-9.92%,-2.38%,2.78%,-0.48%,-1.90%,1.40%,-0.95%,-0.95%
Total Shareholder Return,-4.65%,-3.94%,-35.20%,-8.32%,0.82%,6.38%,3.22%,0.80%,4.90%,1.25%,0.74%
