,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"15,591","18,858","19,534","33,535","32,402","40,402","43,757","63,882","74,518","80,014","93,337"
Market Cap Growth,1.01%,20.95%,3.58%,71.68%,-3.38%,24.69%,8.30%,45.99%,16.65%,7.38%,-
Enterprise Value,"13,598","16,699","17,210","40,338","37,918","45,246","47,847","68,673","79,596","86,005","99,328"
PE Ratio,24.78,27.06,22.67,41.64,21.50,29.64,35.84,45.94,27.11,24.14,28.74
PS Ratio,5.44,5.49,5.71,6.39,5.21,6.74,7.81,8.73,6.20,6.50,7.58
PB Ratio,3.28,3.72,3.78,3.30,2.88,3.45,3.65,1.68,2.04,2.25,2.62
P/FCF Ratio,22.48,25.02,16.78,35.29,14.81,20.43,23.75,26.71,19.73,22.50,26.25
P/OCF Ratio,17.89,20.77,15.13,29.05,13.27,17.93,21.79,23.36,16.65,16.61,19.37
EV/Sales Ratio,4.75,4.86,5.03,7.69,6.09,7.55,8.54,9.38,6.63,6.99,8.07
EV/EBITDA Ratio,15.01,15.76,13.71,22.79,14.00,17.91,23.25,26.53,14.22,13.95,16.11
EV/EBIT Ratio,17.79,19.95,16.46,34.02,19.86,26.39,31.79,45.37,24.13,22.21,25.65
EV/FCF Ratio,19.60,22.15,14.79,42.45,17.33,22.88,25.96,28.72,21.08,24.18,27.93
Debt / Equity Ratio,0.18,0.17,0.34,0.77,0.56,0.47,0.43,0.18,0.18,0.20,0.20
Debt / EBITDA Ratio,0.96,0.82,1.38,4.44,2.34,2.17,2.50,2.62,1.17,1.13,1.13
Debt / FCF Ratio,1.26,1.15,1.49,8.26,2.89,2.78,2.79,2.83,1.73,1.95,1.95
Quick Ratio,4.60,3.14,5.79,1.09,1.38,0.85,1.31,1.24,1.34,0.76,0.76
Current Ratio,5.38,3.66,6.35,1.47,2.01,1.32,1.84,1.94,2.02,1.37,1.37
Asset Turnover,0.40,0.49,0.44,0.27,0.30,0.28,0.26,0.25,0.24,0.25,0.25
Interest Coverage,21.97,30.97,11.78,4.73,7.53,7.49,7.79,8.19,16.46,14.63,14.63
Return on Equity (ROE),12.90%,14.00%,17.20%,9.10%,14.00%,11.60%,10.40%,7.50%,7.40%,9.20%,9.20%
Return on Assets (ROA),8.70%,9.90%,11.20%,4.10%,7.30%,6.30%,5.70%,4.80%,5.40%,6.70%,6.70%
Return on Capital (ROIC),11.53%,12.03%,13.42%,5.56%,9.83%,9.12%,8.13%,3.96%,6.76%,8.26%,8.26%
Earnings Yield,4.04%,3.70%,4.41%,2.40%,4.65%,3.37%,2.79%,2.18%,3.69%,4.14%,3.55%
FCF Yield,4.45%,4.00%,5.96%,2.83%,6.75%,4.90%,4.21%,3.74%,5.07%,4.44%,3.81%
Dividend Yield,2.90%,2.60%,2.60%,1.90%,2.20%,1.90%,2.00%,1.60%,2.00%,2.10%,1.83%
Payout Ratio,72.10%,70.40%,59.50%,76.30%,46.70%,57.10%,72.50%,76.90%,56.10%,50.60%,52.52%
Buyback Yield / Dilution,-1.27%,0.36%,1.44%,-12.22%,-6.98%,0.55%,0.24%,-7.88%,-30.37%,3.29%,3.29%
Total Shareholder Return,1.63%,2.96%,4.04%,-10.32%,-4.78%,2.45%,2.24%,-6.28%,-28.37%,5.39%,5.12%
