,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"2,591","3,372","3,083","4,378","7,251","8,508","12,612","18,576","19,285","21,064","23,420"
Market Cap Growth,62.92%,30.17%,-8.57%,42.00%,65.62%,17.33%,48.24%,47.29%,3.82%,9.23%,-
Enterprise Value,920,477,-116,146,"3,726","5,578","8,935","13,328","14,171","14,342","16,698"
PE Ratio,41.79,23.58,59.29,-8.55,10.26,11.54,18.74,28.19,24.35,19.31,21.40
PS Ratio,0.27,0.24,0.17,0.22,0.38,0.51,0.65,0.67,0.60,0.62,0.69
PB Ratio,2.57,2.17,1.87,3.27,4.40,4.34,6.02,7.06,6.51,5.00,5.56
P/FCF Ratio,2.74,3.40,6.20,6.10,-21.08,22.57,6.91,9.10,28.28,13.35,14.84
P/OCF Ratio,2.44,3.00,4.58,5.45,-23.09,19.60,6.64,8.77,24.95,12.67,14.09
EV/Sales Ratio,0.10,0.03,-0.01,0.01,0.20,0.33,0.46,0.48,0.44,0.42,0.49
EV/EBITDA Ratio,2.82,0.93,-0.24,-0.46,3.00,4.86,7.76,11.84,10.50,8.22,9.57
EV/EBIT Ratio,4.79,1.23,-0.38,-0.30,3.34,5.27,8.41,13.39,12.08,9.12,10.62
EV/FCF Ratio,0.97,0.48,-0.23,0.20,-10.83,14.80,4.90,6.53,20.78,9.09,10.58
Debt / Equity Ratio,0.88,1.03,1.00,1.62,0.89,0.75,1.12,0.91,0.81,0.57,0.57
Debt / EBITDA Ratio,2.72,3.13,3.37,-6.86,1.17,1.28,2.04,2.12,1.77,1.37,1.37
Debt / FCF Ratio,0.94,1.62,3.31,3.02,-4.24,3.89,1.29,1.17,3.51,1.51,1.51
Quick Ratio,1.45,1.33,1.27,1.31,1.49,1.78,1.55,1.39,1.43,1.49,1.49
Current Ratio,1.47,1.39,1.31,1.35,1.52,1.83,1.59,1.43,1.47,1.54,1.54
Asset Turnover,2.54,2.42,2.42,2.34,2.28,2.42,2.40,2.54,2.56,2.40,2.40
Interest Coverage,3.37,5.88,3.03,-4.19,9.69,12.17,10.42,8.29,10.66,14.43,14.43
Return on Equity (ROE),6.50%,10.30%,3.20%,-34.10%,44.10%,40.00%,33.90%,27.20%,27.20%,29.10%,29.10%
Return on Assets (ROA),1.60%,2.40%,0.70%,-6.00%,8.50%,10.60%,8.30%,6.00%,6.30%,7.70%,7.70%
Return on Capital (ROIC),4.67%,5.43%,2.36%,-15.83%,25.78%,23.09%,16.97%,15.30%,16.32%,17.76%,17.76%
Earnings Yield,2.39%,4.24%,1.69%,-11.69%,9.75%,8.66%,5.34%,3.55%,4.11%,5.18%,4.66%
FCF Yield,36.48%,29.45%,16.12%,16.40%,-4.74%,4.43%,14.46%,10.99%,3.54%,7.49%,6.74%
Buyback Yield / Dilution,-2.13%,-16.67%,-5.77%,-1.82%,-19.64%,4.18%,6.70%,2.17%,0.17%,0.68%,0.68%
Total Shareholder Return,-2.13%,-16.67%,-5.77%,-1.82%,-19.64%,4.18%,6.70%,2.17%,0.17%,0.68%,0.68%
