,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"14,099","11,825","13,579","15,717","15,010","21,192","28,031","36,845","27,103","37,010","40,194"
Market Cap Growth,0.00%,-16.12%,14.83%,15.75%,-4.50%,41.18%,32.27%,31.44%,-26.44%,36.55%,-
Enterprise Value,"14,074","12,061","13,856","16,015","15,343","21,608","28,435","37,246","27,675","37,324","40,507"
PE Ratio,28.53,22.90,27.19,27.16,19.96,26.80,32.63,39.83,24.94,32.04,34.77
PS Ratio,3.78,3.06,3.43,3.58,3.02,3.97,4.96,6.13,3.88,5.04,5.47
PB Ratio,7.36,6.57,7.02,7.50,6.52,7.95,10.26,12.11,8.57,11.05,12.00
P/FCF Ratio,44.65,29.20,40.30,33.25,29.58,35.15,29.68,59.25,34.81,29.09,31.60
P/OCF Ratio,28.23,21.49,26.12,26.86,22.26,25.15,25.44,47.84,28.80,25.83,28.05
EV/Sales Ratio,3.77,3.12,3.50,3.65,3.09,4.05,5.04,6.20,3.96,5.08,5.51
EV/EBITDA Ratio,16.36,13.17,15.39,15.86,13.48,17.91,21.79,26.83,16.97,21.83,23.69
EV/EBIT Ratio,17.85,14.55,17.40,18.15,15.35,20.43,24.89,30.59,19.03,24.35,26.43
EV/FCF Ratio,44.58,29.78,41.13,33.88,30.24,35.84,30.11,59.89,35.54,29.34,31.84
Debt / Equity Ratio,0.05,0.20,0.20,0.20,0.22,0.22,0.24,0.21,0.25,0.16,0.16
Debt / EBITDA Ratio,0.10,0.40,0.43,0.41,0.44,0.49,0.50,0.46,0.49,0.31,0.31
Debt / FCF Ratio,0.29,0.90,1.16,0.88,0.99,0.98,0.69,1.02,1.03,0.42,0.42
Quick Ratio,1.54,1.60,2.22,2.06,2.02,1.68,1.66,1.67,1.57,1.98,1.98
Current Ratio,4.22,4.46,6.24,5.52,5.30,4.51,4.08,4.19,3.96,4.57,4.57
Asset Turnover,1.63,1.56,1.48,1.53,1.57,1.42,1.40,1.43,1.53,1.61,1.61
Interest Coverage,861.58,267.48,122.49,96.95,79.33,76.09,117.77,125.52,101.70,141.93,141.93
Return on Equity (ROE),26.40%,28.60%,26.50%,28.60%,33.40%,31.20%,31.10%,31.70%,34.40%,34.30%,34.30%
Return on Assets (ROA),21.50%,20.80%,18.60%,20.20%,23.80%,21.10%,21.40%,22.10%,23.80%,25.40%,25.40%
Return on Capital (ROIC),24.65%,23.92%,21.66%,23.26%,27.16%,24.60%,25.60%,25.34%,27.67%,29.87%,29.87%
Earnings Yield,3.50%,4.37%,3.68%,3.68%,5.01%,3.73%,3.06%,2.51%,4.01%,3.12%,2.87%
FCF Yield,2.24%,3.42%,2.48%,3.01%,3.38%,2.84%,3.37%,1.69%,2.87%,3.44%,3.16%
Dividend Yield,2.10%,2.70%,2.60%,2.30%,2.90%,2.40%,2.90%,1.70%,2.60%,2.70%,2.22%
Payout Ratio,59.90%,63.30%,69.40%,64.00%,58.80%,63.00%,93.30%,69.60%,65.60%,88.10%,77.23%
Buyback Yield / Dilution,0.12%,1.79%,0.96%,0.29%,0.42%,-0.02%,-0.23%,-0.24%,0.26%,0.45%,0.45%
Total Shareholder Return,2.22%,4.49%,3.56%,2.59%,3.32%,2.38%,2.67%,1.46%,2.86%,3.15%,2.67%
