,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"17,345","20,537","17,346","18,131","19,952","17,151","19,785","24,820","28,048","36,385","46,224"
Market Cap Growth,22.94%,18.41%,-15.54%,4.53%,10.04%,-14.04%,15.36%,25.45%,13.01%,29.72%,-
Enterprise Value,"17,532","22,109","19,067","19,490","22,122","18,271","19,307","28,957","30,363","38,581","48,130"
PE Ratio,63.25,-148.64,12.15,49.75,12.03,20.05,-5.80,16.12,16.51,20.85,25.21
PS Ratio,0.14,0.15,0.12,0.12,0.12,0.10,0.10,0.12,0.12,0.14,0.17
PB Ratio,8.86,33.32,8.15,8.78,6.80,5.96,-19.42,111.13,-132.58,69.70,50.70
P/FCF Ratio,14.45,5.56,6.39,17.47,18.42,8.43,10.56,11.14,12.71,10.54,12.74
P/OCF Ratio,11.84,5.24,5.46,12.05,14.14,7.32,8.96,9.31,10.38,9.30,11.31
EV/Sales Ratio,0.15,0.16,0.13,0.13,0.13,0.10,0.10,0.14,0.13,0.15,0.18
EV/EBITDA Ratio,19.24,38.70,10.81,14.70,12.91,12.62,-3.96,10.65,10.78,13.67,15.99
EV/EBIT Ratio,23.50,58.49,12.46,18.33,15.86,16.22,-3.74,12.11,12.52,16.06,18.64
EV/FCF Ratio,14.61,5.99,7.03,18.78,20.43,8.98,10.30,12.99,13.76,11.17,13.26
Debt / Equity Ratio,1.02,6.07,2.10,1.84,1.59,1.56,-4.04,29.93,-26.96,9.17,5.24
Debt / EBITDA Ratio,2.19,6.55,2.53,2.86,2.72,3.10,-0.85,2.46,2.02,1.70,1.59
Debt / FCF Ratio,1.66,1.01,1.64,3.66,4.30,2.21,2.20,3.00,2.58,1.39,1.32
Quick Ratio,0.47,0.48,0.47,0.47,0.50,0.53,0.54,0.50,0.50,0.48,0.48
Current Ratio,0.97,0.94,0.90,0.91,0.93,0.95,0.98,0.94,0.91,0.88,0.88
Asset Turnover,5.81,5.07,4.56,4.43,4.46,4.61,4.55,4.15,4.17,4.36,4.39
Interest Coverage,8.92,3.47,10.94,7.32,7.98,7.14,-37.46,13.74,11.52,10.49,11.55
Return on Equity (ROE),13.20%,-9.40%,76.20%,15.70%,54.90%,28.90%,-145.30%,-858.30%,844.60%,532.30%,311.00%
Return on Assets (ROA),1.30%,-0.50%,4.40%,1.10%,4.40%,2.20%,-8.20%,3.00%,3.00%,2.90%,3.00%
Return on Capital (ROIC),8.19%,-4.98%,23.76%,7.19%,25.84%,13.32%,-165.62%,23.67%,33.05%,35.40%,35.20%
Earnings Yield,1.58%,-0.67%,8.23%,2.01%,8.31%,4.99%,-17.23%,6.20%,6.06%,4.80%,4.04%
FCF Yield,6.92%,17.97%,15.65%,5.72%,5.43%,11.87%,9.47%,8.98%,7.87%,9.49%,7.85%
Dividend Yield,1.20%,1.20%,1.70%,1.80%,1.60%,1.90%,1.70%,1.50%,1.40%,1.10%,0.88%
Payout Ratio,77.70%,-184.10%,20.20%,87.40%,20.00%,39.30%,-10.00%,23.50%,22.60%,22.50%,22.20%
Buyback Yield / Dilution,-0.03%,7.48%,-3.75%,1.93%,0.57%,3.86%,3.33%,-1.80%,-1.32%,3.13%,2.18%
Total Shareholder Return,1.17%,8.68%,-2.05%,3.73%,2.17%,5.76%,5.03%,-0.30%,0.08%,4.23%,3.06%
