,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"7,059","6,980","8,427","9,778","11,321","10,264","13,353","12,764","13,508","8,040","7,046"
Market Cap Growth,53.86%,-1.11%,20.72%,16.04%,15.77%,-9.34%,30.10%,-4.40%,5.82%,-40.48%,-
Enterprise Value,"7,773","7,886","9,162","10,217","11,588","10,786","12,819","16,414","16,514","11,493","10,576"
PE Ratio,24.66,16.78,18.65,17.73,28.54,46.56,25.65,57.37,31.51,39.51,-16.47
PS Ratio,1.73,1.63,1.90,1.95,2.17,2.24,2.83,2.34,2.10,1.37,1.31
PB Ratio,4.20,4.76,5.07,5.25,6.19,5.85,4.46,4.35,4.41,2.81,3.17
P/FCF Ratio,24.42,20.47,19.63,14.76,19.20,20.30,25.70,15.01,19.71,40.46,29.15
P/OCF Ratio,17.60,15.36,14.75,11.96,15.63,15.89,20.44,13.07,16.52,21.56,15.81
EV/Sales Ratio,1.90,1.84,2.06,2.04,2.22,2.36,2.72,3.00,2.57,1.96,1.96
EV/EBITDA Ratio,12.13,9.94,10.64,10.61,10.97,18.82,13.32,14.00,9.93,9.41,37.58
EV/EBIT Ratio,16.91,12.40,12.98,12.64,13.10,29.86,18.41,31.55,21.87,26.54,-28.63
EV/FCF Ratio,26.89,23.12,21.34,15.42,19.66,21.33,24.68,19.30,24.10,57.84,43.75
Debt / Equity Ratio,0.83,1.23,1.03,0.92,1.01,0.97,1.35,1.74,1.31,1.39,1.67
Debt / EBITDA Ratio,2.18,2.27,1.99,1.79,1.75,2.97,4.20,4.35,2.42,3.25,13.20
Debt / FCF Ratio,4.83,5.27,3.99,2.60,3.14,3.37,7.79,6.00,5.87,19.96,15.37
Quick Ratio,1.30,1.85,2.06,1.61,2.39,1.86,4.77,1.18,1.03,0.75,0.64
Current Ratio,1.82,2.47,2.69,2.00,2.90,2.42,5.37,1.60,1.52,1.37,1.60
Asset Turnover,0.95,1.00,1.00,1.07,1.02,0.89,0.77,0.52,0.63,0.62,0.61
Interest Coverage,4.35,6.83,7.27,8.30,9.00,3.98,6.83,2.59,4.20,2.53,-2.39
Return on Equity (ROE),18.70%,27.70%,29.70%,32.30%,21.20%,12.60%,25.40%,8.00%,14.30%,6.80%,-21.60%
Return on Assets (ROA),6.60%,9.70%,10.20%,11.80%,7.80%,4.30%,8.50%,2.10%,4.20%,2.10%,-6.30%
Return on Capital (ROIC),12.26%,14.92%,15.21%,17.06%,11.11%,7.80%,8.11%,4.35%,9.17%,4.89%,-7.47%
Earnings Yield,4.05%,5.96%,5.36%,5.64%,3.50%,2.15%,3.90%,1.74%,3.17%,2.53%,-7.91%
FCF Yield,4.10%,4.89%,5.09%,6.77%,5.21%,4.93%,3.89%,6.66%,5.07%,2.47%,3.43%
Dividend Yield,2.20%,3.00%,2.70%,2.50%,2.40%,3.00%,2.50%,2.90%,2.80%,4.80%,5.51%
Payout Ratio,54.50%,52.20%,50.10%,45.20%,70.00%,140.60%,65.60%,167.90%,87.50%,189.10%,-70.00%
Buyback Yield / Dilution,0.13%,3.14%,0.84%,-0.13%,0.19%,-1.57%,0.20%,-8.54%,-0.67%,-0.12%,-0.47%
Total Shareholder Return,2.33%,6.14%,3.54%,2.37%,2.59%,1.43%,2.70%,-5.64%,2.13%,4.68%,5.04%
