,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,50.07,55.5,61.73,67.42,73.94,83.93,91.25,99.72,114.16,125.93,138.06,152.43,172.35,193.6,212.17,234.52,253.86,274.7,290.18,308.49,335.6,362.47
Revenue Growth (YoY),-,-,-,-,47.68%,51.23%,47.83%,47.90%,54.40%,50.04%,51.29%,52.85%,50.97%,53.74%,53.68%,53.85%,47.29%,41.89%,36.77%,31.54%,32.20%,31.95%
Cost of Revenue,11.21,12.96,14.36,14.83,16.03,18.2,20.82,24.16,27.01,29.07,32.08,35.03,37.53,42.5,47.05,55.8,61.97,67.79,70.43,75.22,78.07,83.28
Gross Profit,38.86,42.54,47.37,52.59,57.91,65.73,70.43,75.56,87.16,96.86,105.97,117.4,134.82,151.1,165.12,178.71,191.89,206.91,219.74,233.27,257.53,279.19
Selling & Marketing,24.46,28.19,30.82,35.84,45.54,47.11,46.97,51.38,55.98,63.55,69.97,76,85.88,96.22,100.06,117.62,116.03,132.05,137,146.69,150.21,165.21
General & Administrative,36.04,16.1,16.05,17.66,25.59,22.28,26.18,20.75,21.53,23.29,27.72,28.93,28.67,34.18,38.03,50.52,45.37,45.85,48.48,53.15,55.94,60.4
Research & Development,14.83,15.35,17.65,18.87,27.86,26.29,33.35,28.13,30.9,34.76,39.53,41.35,46.77,61.76,67.05,75.11,76.43,79.7,81.54,89.61,90.59,96.4
Other Operating Expenses,-1.24,-0.19,-0.29,-0.09,-0.65,-0.41,0.49,-0.22,-0.21,0.11,0.15,-0.88,0.36,-0.43,-0.49,0.23,2.43,-1.6,-0.86,-1.53,0.12,0
Operating Expenses,75.33,59.64,64.51,72.36,98.99,95.67,106.5,100.26,108.41,121.6,137.23,146.27,161.32,192.16,205.14,243.25,237.84,257.6,267.02,289.45,296.75,322.02
Operating Income,-36.47,-17.09,-17.15,-19.77,-41.09,-29.94,-36.07,-24.7,-21.25,-24.74,-31.25,-28.87,-26.49,-40.82,-40.02,-64.54,-45.95,-50.69,-38.89,-56.17,-39.21,-42.83
