,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-16.69,-17.11,-19.71,-40.85,-28.16,-32.75,-26.14,-26.47,-34.02,-39.96,-35.51,-107.34,-77.5,-41.38,-63.54,-42.55,-45.92,-38.08,-94.47,-23.54,-27.87
Depreciation & Amortization,5.12,5.51,6.17,6.99,7.76,8.56,10.56,11.55,12.92,14.36,15.22,16.03,17.03,18.33,20.01,25.34,27.35,29.63,31.51,33.67,34.46
Share-Based Compensation,24.44,1.06,1.06,1.04,22.91,11.62,12.9,12.45,14.75,16.24,18.04,20.55,23.05,28.5,33.97,54.82,53.77,60.23,57.4,68.39,73.77
Other Operating Activities,-26.78,-1.73,2.79,29.95,-20.31,4,-11.6,6.46,8.33,0.55,25.74,78.22,30.5,35.17,-25.91,0.64,7.49,26.34,41.97,-14.08,-12.27
Operating Cash Flow,-13.91,-12.27,-9.69,-2.87,-17.79,-8.57,-14.28,3.99,1.97,-8.81,23.49,7.46,-6.92,40.62,-35.47,38.25,42.69,78.12,36.41,64.45,68.1
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,86.98%,-,-,-,413.09%,-,92.34%,-,68.49%,59.53%
Capital Expenditures,-8.23,-16.69,-12.43,-14.03,-15.85,-14.97,-16.33,-24.14,-19.83,-14.67,-25.71,-17.23,-32.81,-31.98,-28.93,-42.67,-47.3,-44.46,-22.51,-44.48,-33.23
Acquisitions,2.03,3.73,3.4,4.07,3.86,2.66,-13.64,-0.05,4.47,-0.25,3.45,3.66,4,-5.61,-4.38,-82.56,-1.25,0,0,-5.73,-5.93
Change in Investments,-94.25,-74.45,-57.33,-87.24,-146.88,-422.91,-242.19,-661.08,-567.92,-636.07,-450.2,-445.35,-947.39,-739.56,-451.59,-384.82,-665.11,-780.2,-990.44,-682.36,-928.83
Other Investing Activities,22.58,28.88,81.58,109.83,66.04,82.56,263.38,384.5,378.13,650.41,520.24,501.39,531.43,422.35,374.1,454,664.77,804.71,"1,029",732.68,867.76
Investing Cash Flow,-77.87,-58.53,15.21,12.64,-92.83,-352.66,-8.77,-300.77,-205.15,-0.58,47.78,42.47,-444.77,-354.8,-110.81,-56.05,-48.89,-19.96,15.57,0.11,-100.23
Dividends Paid,0,0,0,0,0,-3.06,-1.1,0,0,0,0,0,0,-349.26,-1.96,0,0,0,0,0,0
Common Stock Issued,0,0,0,0,0,3.06,1.1,0,0,5.48,0,0,0,21.39,1.96,65.5,0,-55.5,3.31,0,0
Share Repurchases,-0,-0.02,-0,-0.08,-0.07,-0.13,-0.07,-0.03,-0.01,-0.04,-0.15,-0.02,-0.02,-0,-0,0,0,0,0,-0.03,0
Other Financing Activities,165.44,-0.01,2.24,-0.28,570.15,-1.63,-4.75,501.67,1.14,1.21,7.23,10.13,820.16,337.65,-14.26,-54.36,1.44,63.52,-2.06,-168.65,-34.61
Financing Cash Flow,165.45,0.01,2.25,-0.2,570.22,-1.5,-4.68,501.7,1.16,6.73,7.38,10.15,820.18,9.77,-14.25,11.14,1.44,8.02,1.25,-168.61,-34.61
Net Cash Flow,73.66,-70.78,7.77,9.57,459.6,-362.73,-27.73,204.92,-202.02,-2.66,78.65,60.08,368.49,-304.4,-160.53,-6.65,-4.76,66.19,53.23,-104.05,-66.74
Free Cash Flow,-22.14,-28.96,-22.12,-16.9,-33.64,-23.54,-30.6,-20.15,-17.85,-23.48,-2.22,-9.78,-39.73,8.64,-64.4,-4.41,-4.61,33.66,13.9,19.97,34.88
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,289.76%,-,-,-
Free Cash Flow Margin,-39.89%,-46.91%,-32.81%,-22.85%,-40.08%,-25.80%,-30.69%,-17.65%,-14.18%,-17.01%,-1.46%,-5.67%,-20.52%,4.07%,-27.46%,-1.74%,-1.68%,11.60%,4.51%,5.95%,9.62%
Free Cash Flow Per Share,-0.09,-0.12,-0.08,-0.14,-0.11,-0.08,-0.10,-0.07,-0.06,-0.08,-0.01,-0.03,-0.12,0.03,-0.20,-0.01,-0.01,0.10,0.04,0.06,0.10
