,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"4,520","4,520","4,520","5,280","2,192","5,023","6,952","10,761","12,387","23,087","21,496","32,627","35,433","42,124","38,703","14,227","18,064","14,844","20,372","21,722","21,097","28,023","33,038"
Market Cap Growth,-,-,-,-,-51.49%,11.13%,53.82%,103.79%,465.04%,359.64%,209.21%,203.20%,186.04%,82.46%,80.05%,-56.39%,-49.02%,-64.76%,-47.36%,52.68%,16.79%,88.79%,-
Enterprise Value,-,"4,505",-,"5,248","1,701","4,894","6,894","11,568","12,697","23,361","21,744","32,827","36,063","43,103","40,126","15,652","19,493","16,217","21,696","23,022","22,422","29,372","32,799"
PE Ratio,-29.74,-67.71,-66.02,-66.99,-13.42,-44.60,-53.07,-102.93,-117.00,-169.65,-134.47,-229.70,-82.53,-135.88,-233.82,-55.98,-106.14,-80.82,-133.74,-57.49,-224.11,-251.42,-251.42
PS Ratio,90.26,81.43,73.22,22.50,8.48,17.50,21.96,30.85,31.84,53.56,44.98,61.49,60.18,64.17,52.98,17.51,20.20,15.22,19.34,19.27,17.45,21.61,25.48
PB Ratio,0,-39.82,0,28.37,2.96,6.92,9.84,12.88,14.99,28.26,26.73,40.73,41.53,51.63,75.08,24.51,30.41,23.79,31.22,33.84,30.17,36.73,43.30
P/FCF Ratio,-,-204.12,-156.08,-238.67,-24.33,-49.43,-72.27,-102.80,-114.77,-250.53,-233.42,-512.13,-664.44,-560.11,-898.19,-135.15,-180.80,-229.09,-512.25,563.70,335.31,273.65,322.61
P/OCF Ratio,-,-324.87,-368.34,-544.91,-56.59,-117.87,-178.63,-247.35,-338.00,-1366.89,-1254.94,1580.67,1469.71,2768.01,598.67,2501.74,495.13,172.42,164.83,111.12,95.17,113.41,133.71
Debt / Equity Ratio,0,-0.09,0,0.06,0.01,0.01,0.07,0.46,0.47,0.47,0.54,0.56,1.46,1.59,3.05,2.70,2.64,2.53,2.42,2.27,2.03,1.88,1.88
Quick Ratio,0,3.05,0,2.02,8.80,8.02,5.81,9.23,8.41,7.77,6.60,5.56,8.39,6.67,6.71,5.32,5.22,4.54,4.28,3.74,3.74,3.39,3.39
Current Ratio,0,3.21,0,2.14,9.02,8.22,5.98,9.38,8.61,7.99,6.78,5.72,8.51,6.77,6.85,5.45,5.35,4.74,4.40,3.84,3.89,3.50,3.50
Asset Turnover,,0,0.19,0,0.24,0.09,0.10,0.11,0.07,0.08,0.09,0.10,0.11,0.07,0.08,0.09,0.10,0.10,0.11,0.11,0.12,0.13,0.13
Interest Coverage,-145.29,-64.26,-62.81,-68.18,-100.95,-210.86,-538.37,-4.93,-2.16,-2.46,-3.05,-2.76,-2.13,-2.53,-25.71,-62.06,-30.39,-57.93,18.29,-36.50,34.46,40.06,40.06
Return on Equity (ROE),,-,-,15.08%,-49.17%,-12.74%,-14.58%,-17.20%,-15.30%,-13.73%,-14.61%,-15.74%,-16.97%,-25.42%,-31.91%,-50.77%,-49.92%,-37.87%,-30.99%,-29.13%,-34.43%,-28.89%,-24.11%
Return on Assets (ROA),,-,-,-5.74%,-31.90%,-11.24%,-12.74%,-14.15%,-9.38%,-8.28%,-8.65%,-9.01%,-9.40%,-9.36%,-10.97%,-11.12%,-11.74%,-9.03%,-7.47%,-7.13%,-8.72%,-7.80%,-6.67%
Return on Capital (ROIC),,-,-,16.68%,-46.01%,-12.66%,-14.66%,-16.76%,-6.74%,-8.97%,-8.90%,-8.22%,-8.49%,-5.30%,-6.04%,-6.52%,-8.00%,-8.85%,-9.14%,-8.96%,-9.12%,-8.73%,-8.06%
Earnings Yield,-0.84%,-0.37%,-0.38%,-0.37%,-1.86%,-0.56%,-0.47%,-0.24%,-0.21%,-0.15%,-0.19%,-0.11%,-0.30%,-0.18%,-0.11%,-0.45%,-0.24%,-0.31%,-0.19%,-0.43%,-0.11%,-0.10%,-0.56%
FCF Yield,-0.49%,-0.64%,-0.49%,-0.32%,-1.53%,-0.47%,-0.44%,-0.19%,-0.14%,-0.10%,-0.01%,-0.03%,-0.11%,0.02%,-0.17%,-0.03%,-0.03%,0.23%,0.07%,0.09%,0.17%,-,0.31%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,-10.86%,-3.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-450.65%,-4.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%
Buyback Yield / Dilution,-,-,-,-,52.98%,-17.26%,-17.92%,-2.04%,-155.55%,-3.19%,-3.33%,-2.99%,-4.26%,-5.44%,-5.68%,-5.49%,-3.83%,-2.50%,-2.18%,-2.18%,-2.47%,-2.51%,-2.51%
Total Shareholder Return,-,-,-,-,52.98%,-17.20%,-17.90%,-2.04%,-155.55%,-3.19%,-3.33%,-2.99%,-4.26%,-4.61%,-5.68%,-5.49%,-3.83%,-2.50%,-2.18%,-2.18%,-2.47%,-2.51%,-2.51%
