,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"31,271","31,366","33,902","34,287","38,859","42,525","55,600","62,095","67,163","41,514","61,413"
Market Cap Growth,48.69%,0.31%,8.08%,1.13%,13.33%,9.44%,30.75%,11.68%,8.16%,-38.19%,-
Enterprise Value,"37,836","37,726","40,275","40,646","45,970","49,456","62,303","67,822","75,844","49,833","69,101"
PE Ratio,32.31,26.08,33.83,27.88,25.83,29.76,35.67,63.05,59.44,38.03,44.96
PS Ratio,2.19,2.32,2.58,2.48,2.65,3.39,4.72,4.88,4.73,2.71,4.01
PB Ratio,4.26,4.29,4.91,4.97,5.10,5.31,6.40,10.07,9.30,5.74,7.63
P/FCF Ratio,30.61,26.48,28.66,28.04,27.16,25.17,40.55,43.76,62.44,17.21,32.33
P/OCF Ratio,17.22,15.68,17.48,16.39,17.06,17.57,29.89,30.12,37.55,17.21,25.46
EV/Sales Ratio,2.65,2.79,3.06,2.94,3.13,3.94,5.28,5.33,5.35,3.25,4.51
EV/EBITDA Ratio,18.70,19.09,20.61,20.18,21.35,17.41,38.19,39.09,43.90,25.01,32.65
EV/EBIT Ratio,32.85,33.79,36.49,36.28,37.83,23.94,76.12,76.03,96.15,-,48.55
EV/FCF Ratio,37.03,31.85,34.05,33.24,32.13,29.27,45.44,47.80,70.51,20.66,36.38
Debt / Equity Ratio,0.94,0.90,0.94,0.97,0.96,0.88,0.79,1.13,1.25,1.23,1.16
Debt / EBITDA Ratio,3.41,3.32,3.31,3.32,3.40,2.48,4.18,4.03,5.23,4.48,4.07
Debt / FCF Ratio,6.76,5.55,5.47,5.47,5.12,4.17,4.97,4.92,8.41,3.70,4.53
Quick Ratio,0.83,0.65,0.52,0.88,0.85,0.75,0.72,1.21,0.80,0.78,0.83
Current Ratio,1.35,1.11,0.93,1.42,1.34,1.27,1.33,1.75,1.32,1.30,1.26
Asset Turnover,0.67,0.73,0.73,0.72,0.69,0.73,0.60,0.65,0.60,0.66,0.70
Interest Coverage,5.95,7.62,6.41,7.24,7.65,8.76,8.61,2.82,4.09,3.24,7.62
Return on Equity (ROE),16.38%,13.70%,17.79%,21.80%,18.76%,19.48%,11.34%,18.32%,15.11%,18.96%,17.06%
Return on Assets (ROA),6.13%,5.15%,6.60%,8.21%,7.16%,7.77%,4.72%,6.23%,5.15%,6.39%,6.28%
Return on Capital (ROIC),9.87%,8.68%,10.82%,12.37%,10.40%,10.22%,4.48%,5.49%,4.00%,9.79%,9.49%
Earnings Yield,3.09%,3.83%,2.96%,3.59%,3.87%,3.36%,2.80%,1.59%,1.68%,2.63%,2.23%
FCF Yield,2.87%,3.26%,3.49%,3.45%,3.15%,3.36%,3.04%,2.21%,2.11%,2.59%,3.09%
Dividend Yield,0.70%,1.10%,1.18%,1.25%,1.15%,1.17%,0.99%,0.90%,0.84%,1.45%,1.06%
Payout Ratio,22.54%,28.63%,39.99%,34.77%,29.82%,34.74%,35.47%,56.95%,50.13%,55.22%,47.60%
Buyback Yield / Dilution,-0.07%,1.47%,1.56%,0.91%,0.41%,0.10%,0.75%,0.41%,0.86%,0.03%,-0.45%
Total Shareholder Return,0.63%,2.57%,2.74%,2.16%,1.56%,1.27%,1.75%,1.32%,1.71%,1.49%,0.60%
