,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"218,539","212,661","226,739","246,136","221,280","212,265","195,142","216,041","222,613","225,379","239,520","224,997","229,699","222,896","232,000","233,096","199,865","196,290","207,077","229,010","260,289","275,038","311,231","311,477","271,640","296,013","345,541","345,012","333,493","330,340","339,354","395,855","366,272","344,995","301,681","359,151","350,781","357,647","343,837","345,378","370,624"
Market Cap Growth,3.82%,0.78%,9.52%,11.23%,1.25%,-0.19%,-13.94%,-12.23%,0.60%,6.18%,22.74%,4.15%,3.18%,-1.10%,-3.14%,3.60%,-12.99%,-11.94%,-10.74%,-1.75%,30.23%,40.12%,50.30%,36.01%,4.36%,7.63%,11.02%,10.77%,22.77%,11.60%,-1.79%,14.74%,9.83%,4.44%,-11.10%,-9.27%,-4.23%,3.67%,13.97%,-3.83%,-
Enterprise Value,"245,152","237,392","249,125","268,338","240,559","231,007","213,023","233,290","241,609","242,629","254,704","241,010","245,786","239,351","250,207","252,071","219,630","215,726","227,111","250,520","280,736","294,843","331,440","333,336","292,258","314,552","363,804","364,171","353,312","352,040","361,531","419,964","391,415","369,274","327,974","387,179","379,776","384,008","369,984","371,200","396,446"
PE Ratio,19.98,18.27,21.38,25.77,24.33,30.17,25.52,25.47,24.52,21.45,22.55,14.72,15.25,14.54,15.00,23.11,19.84,20.13,20.51,21.21,23.60,70.58,72.53,64.70,54.48,22.72,25.20,24.91,23.49,23.09,24.00,27.28,25.09,23.40,20.71,25.15,24.49,24.41,22.57,23.38,26.38
PS Ratio,2.80,2.86,3.11,3.50,3.27,3.00,2.85,3.23,3.39,3.45,3.67,3.45,3.53,3.43,3.56,3.55,3.01,2.94,3.10,3.42,3.88,4.06,4.52,4.48,3.86,4.17,4.77,4.66,4.45,4.34,4.40,5.05,4.60,4.30,3.75,4.47,4.33,4.36,4.13,4.12,4.42
PB Ratio,3.12,3.04,3.39,3.80,3.49,3.37,3.10,3.47,3.72,3.89,4.06,4.19,4.21,4.00,4.19,4.26,3.64,3.71,3.94,4.21,4.69,5.78,6.62,6.79,5.91,6.32,7.11,7.11,7.11,7.08,7.31,8.82,8.01,7.36,6.81,8.03,7.72,7.60,7.16,7.07,7.59
P/FCF Ratio,22.63,21.03,19.52,20.76,19.37,19.52,17.65,17.65,18.57,18.59,20.91,22.68,23.72,23.79,24.35,22.88,19.23,17.60,18.59,19.87,21.97,23.12,24.90,24.05,20.09,20.66,22.84,21.26,20.43,21.20,22.26,26.59,26.25,25.43,22.86,31.05,28.75,25.94,23.57,21.58,23.16
P/OCF Ratio,15.79,15.24,14.58,15.69,14.63,14.53,13.45,13.89,14.57,14.60,16.05,16.74,17.40,17.48,17.37,16.60,13.92,13.20,13.99,15.14,17.02,18.04,19.64,19.23,16.22,17.01,19.23,18.13,17.50,17.98,18.57,22.03,21.38,20.63,18.68,24.59,23.05,21.23,19.45,17.98,19.30
Debt / Equity Ratio,0.52,0.51,0.50,0.53,0.51,0.48,0.48,0.51,0.55,0.53,0.53,0.55,0.56,0.57,0.62,0.69,0.64,0.59,0.60,0.62,0.54,0.63,0.63,0.61,0.78,0.74,0.65,0.64,0.64,0.69,0.70,0.79,0.74,0.67,0.74,0.78,0.81,0.74,0.75,0.69,0.69
Quick Ratio,0.50,0.51,0.53,0.53,0.57,0.54,0.55,0.59,0.59,0.58,0.64,0.63,0.64,0.65,0.68,0.72,0.67,0.59,0.56,0.55,0.53,0.51,0.48,0.38,0.61,0.62,0.61,0.53,0.46,0.45,0.44,0.44,0.41,0.37,0.34,0.33,0.34,0.38,0.43,0.40,0.40
Current Ratio,0.88,0.94,0.91,0.97,0.99,1.00,1.13,1.13,1.09,1.10,1.09,0.89,0.89,0.88,0.91,0.94,0.91,0.83,0.80,0.78,0.79,0.75,0.73,0.63,0.83,0.85,0.87,0.78,0.71,0.70,0.67,0.67,0.68,0.66,0.62,0.56,0.59,0.63,0.67,0.64,0.64
Interest Coverage,19.07,17.88,17.36,20.81,19.38,8.36,25.84,29.70,25.92,18.53,28.31,71.25,35.40,26.34,33.47,33.52,25.24,17.84,31.45,29.22,25.79,-44.67,40.99,46.06,35.58,23.13,39.72,34.87,37.76,31.44,47.06,50.25,38.24,32.69,41.43,29.12,20.19,18.60,26.63,19.03,21.03
Return on Capital (ROIC),Upgrade,10.17%,10.64%,10.67%,10.00%,10.10%,8.63%,8.86%,9.18%,9.41%,11.51%,11.36%,12.96%,12.76%,12.67%,12.27%,10.71%,10.89%,11.75%,11.93%,12.18%,12.77%,4.67%,5.62%,6.49%,6.09%,15.91%,17.08%,17.94%,18.96%,18.61%,18.31%,17.83%,18.27%,18.68%,18.66%,17.79%,17.35%,17.81%,18.06%,17.78%
Dividend Yield,3.00%,3.10%,3.00%,2.80%,3.10%,3.30%,3.60%,3.30%,3.20%,3.10%,3.00%,3.20%,3.00%,3.10%,3.00%,3.00%,3.50%,3.60%,3.40%,3.10%,2.80%,2.60%,2.40%,2.40%,2.70%,2.50%,2.20%,2.20%,2.30%,2.40%,2.40%,2.10%,2.30%,2.50%,2.80%,2.40%,2.50%,2.40%,2.50%,2.50%,2.39%
Payout Ratio,64.00%,69.20%,90.70%,75.80%,83.60%,390.00%,71.30%,57.20%,66.30%,94.20%,67.60%,22.20%,69.70%,81.20%,63.30%,71.90%,71.10%,98.20%,56.90%,57.40%,67.00%,-35.00%,52.90%,50.70%,64.90%,71.90%,46.80%,51.70%,60.80%,75.00%,52.40%,50.60%,63.50%,73.60%,56.40%,56.00%,64.80%,67.20%,49.80%,65.30%,63.03%
Buyback Yield / Dilution,1.25%,1.27%,1.24%,0.80%,0.40%,-0.26%,0.71%,0.71%,1.65%,1.89%,1.56%,4.43%,4.57%,3.92%,4.69%,2.48%,2.21%,1.68%,2.92%,1.75%,0.30%,0.25%,-1.36%,-0.27%,0.93%,1.30%,0.84%,0.56%,0.88%,1.11%,2.53%,2.72%,2.32%,2.00%,2.16%,2.48%,2.25%,1.76%,5.84%,5.01%,5.01%
Total Shareholder Return,4.25%,4.37%,4.24%,3.60%,3.50%,3.04%,4.31%,4.01%,4.85%,4.99%,4.56%,7.63%,7.57%,7.02%,7.69%,5.48%,5.71%,5.28%,6.32%,4.85%,3.10%,2.85%,1.04%,2.13%,3.63%,3.80%,3.04%,2.76%,3.18%,3.51%,4.93%,4.82%,4.62%,4.50%,4.96%,4.88%,4.75%,4.16%,8.34%,7.51%,7.40%
