,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,329",-,-,-,"1,446","1,207","1,912","1,733","1,799","1,725","1,923","1,553","3,475","3,076","1,230","1,041","1,189","1,117","1,219","1,636","1,274"
Cash & Cash Equivalents,"1,329",0,0,0,"1,446","1,207","1,912","1,733","1,799","1,725","1,923","1,553","3,475","3,076","1,230","1,041","1,189","1,117","1,219","1,636","1,274"
Cash Growth,-,-,-,-,8.80%,-,-,-,24.41%,42.92%,0.58%,-10.39%,93.16%,78.32%,-36.04%,-32.97%,-65.78%,-63.69%,-0.89%,57.16%,7.15%
Receivables,"2,720",-,-,-,"2,861","2,888","2,865","2,958","3,148","3,124","3,194","3,217","3,232","3,262","3,189","3,103","3,357","3,364","3,497","3,455","3,538"
Inventory,637,-,-,-,571,599,629,667,659,686,673,628,622,626,596,603,617,642,640,624,612
Other Current Assets,926,-,-,-,780,820,986,913,887,811,891,977,932,880,"1,135","1,082",980,"1,030","1,061","1,034",976
Total Current Assets,"5,612",-,-,-,"5,658","5,514","6,392","6,271","6,493","6,346","6,681","6,375","8,261","7,844","6,150","5,829","6,143","6,153","6,417","6,749","6,400"
"Property, Plant & Equipment",678,-,-,-,"1,256","1,223","1,234","1,269","1,316","1,313","1,352","1,328","1,300","1,299","1,236","1,156","1,168","1,187","1,153","1,125","1,143"
Goodwill and Intangibles,"2,257",-,-,-,"2,137","2,070","2,097","2,189","2,257","2,175","2,200","2,136","2,086","2,033","1,935","1,794","1,936","1,930","1,934","1,883","1,923"
Other Long-Term Assets,588,-,-,-,636,717,718,744,644,671,624,633,632,619,592,563,572,575,631,633,651
Total Long-Term Assets,"3,523",-,-,-,"4,029","4,010","4,049","4,202","4,217","4,159","4,176","4,097","4,018","3,951","3,763","3,513","3,676","3,692","3,718","3,641","3,717"
Total Assets,"9,135",-,-,-,"9,687","9,524","10,441","10,473","10,710","10,505","10,857","10,472","12,279","11,795","9,913","9,342","9,819","9,845","10,135","10,390","10,117"
Accounts Payable,"1,351",-,-,-,"1,331","1,102","1,349","1,392","1,453","1,459","1,569","1,662","1,556","1,507","1,616","1,521","1,717","1,515","1,744","1,655","1,878"
Deferred Revenue,0,-,-,-,"2,270",0,0,"2,503","2,542","2,826","2,815","2,758","2,674","2,930","2,738","2,706","2,662","2,983","2,889","2,784","2,696"
Current Debt,27,-,-,-,34,67,33,538,701,341,343,38,24,51,81,103,670,646,746,585,32
Other Current Liabilities,"3,925",-,-,-,"1,739","4,186","4,380","1,858","1,977","1,769","1,989","1,905","1,993","1,754","1,903","1,662","1,794","1,679","1,779","1,725","1,873"
