,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,-,"3,101","3,351","3,313","3,353","2,966","3,029","3,268","3,493","3,408","3,701","3,620","3,569","3,414","3,488","3,344","3,439","3,346","3,720","3,523","3,620"
Revenue Growth (YoY),-,-,-,-,-,-4.35%,-9.61%,-1.36%,4.18%,14.90%,22.19%,10.77%,2.18%,0.18%,-5.76%,-7.62%,-3.64%,-1.99%,6.65%,5.35%,5.26%
Cost of Revenue,-,"2,200","2,367","2,338","2,387","2,069","2,138","2,289","2,481","2,389","2,626","2,560","2,530","2,408","2,505","2,373","2,479","2,350","2,637","2,477","2,552"
Gross Profit,-,901,984,975,966,897,891,979,"1,012","1,019","1,075","1,060","1,039","1,006",983,971,960,996,"1,083","1,046","1,068"
"Selling, General & Admin",-,441,444,444,481,465,441,481,537,482,484,479,503,459,439,417,448,455,479,452,498
Research & Development,-,39,40,39,45,38,37,37,40,35,39,39,46,37,38,37,38,35,36,36,37
Operating Expenses,-,480,484,483,526,503,478,518,577,517,523,518,549,496,477,454,486,490,515,488,535
Operating Income,-,421,500,492,440,394,413,461,435,502,552,542,490,510,506,517,474,506,568,558,533
Interest Expense / Income,-,1,-3,-6,-6,5,41,39,37,32,27,33,44,37,35,35,36,33,37,39,41
Other Expense / Income,-,22,52,38,45,99,39,53,29,39,46,50,28,26,47,15,4,14,20,6,36
Pretax Income,-,398,451,460,401,290,333,369,369,431,479,459,418,447,424,467,434,459,511,513,456
Income Tax,-,125,143,143,183,125,109,103,118,123,153,128,137,136,103,143,137,128,135,137,133
Net Income,-,273,308,317,218,165,224,266,251,308,326,331,281,311,321,324,297,331,376,376,323
Net Income Growth,-,-,-,-,-,-39.56%,-27.27%,-16.09%,15.14%,86.67%,45.54%,24.44%,11.95%,0.97%,-1.53%,-2.11%,5.69%,6.43%,17.13%,16.05%,8.75%
Shares Outstanding (Basic),433,433,-,-,433,433,433,433,433,432,428,426,428,424,421,419,420,414,413,411,411
Shares Outstanding (Diluted),-,433,-,-,-,433,434,435,435,434,432,431,431,428,424,421,423,418,416,414,415
Shares Change,-,-,-,-,-,-,-,-,0.35%,0.14%,-0.58%,-1.03%,-0.74%,-1.38%,-1.71%,-2.18%,-1.95%,-2.31%,-1.93%,-1.78%,-1.99%
EPS (Basic),-,-,-,0.73,0.48,0.38,0.52,0.61,0.58,0.71,0.76,0.78,0.66,0.73,0.76,0.77,0.72,0.80,0.91,0.92,0.79
EPS (Diluted),-,-,-,0.73,0.48,0.38,0.52,0.61,0.57,0.71,0.76,0.77,0.65,0.73,0.76,0.77,0.70,0.79,0.90,0.91,0.79
EPS Growth,-,-,-,-,-,-,-,-16.44%,18.75%,86.84%,46.15%,26.23%,14.04%,2.82%,0%,0%,7.69%,8.22%,18.42%,18.18%,12.86%
Free Cash Flow,-,269,319,329,407,120,628,311,238,541,493,324,236,474,326,215,430,253,409,272,555
Free Cash Flow Per Share,-,0.62,-,-,0.94,0.28,1.45,0.72,0.55,1.25,1.15,0.76,0.55,1.12,0.77,0.51,1.02,0.61,0.99,0.66,1.35
Dividend Per Share,-,-,-,-,-,-,0.200,0.200,0.200,0.200,0.240,0.240,0.240,0.240,0.290,0.290,0.290,0.290,0.340,0.340,-
Dividend Growth,-,-,-,-,-,-,-,-,-,-,20.00%,20.00%,20.00%,20.00%,20.83%,20.83%,20.83%,20.83%,17.24%,17.24%,-
Gross Margin,-,29.06%,29.36%,29.43%,28.81%,30.24%,29.42%,29.96%,28.97%,29.90%,29.05%,29.28%,29.11%,29.47%,28.18%,29.04%,27.92%,29.77%,29.11%,29.69%,29.50%
Operating Margin,-,13.58%,14.92%,14.85%,13.12%,13.28%,13.63%,14.11%,12.45%,14.73%,14.91%,14.97%,13.73%,14.94%,14.51%,15.46%,13.78%,15.12%,15.27%,15.84%,14.72%
Profit Margin,-,8.80%,9.19%,9.57%,6.50%,5.56%,7.40%,8.14%,7.19%,9.04%,8.81%,9.14%,7.87%,9.11%,9.20%,9.69%,8.64%,9.89%,10.11%,10.67%,8.92%
Free Cash Flow Margin,-,8.67%,9.52%,9.93%,12.14%,4.05%,20.73%,9.52%,6.81%,15.87%,13.32%,8.95%,6.61%,13.88%,9.35%,6.43%,12.50%,7.56%,10.99%,7.72%,15.33%
Effective Tax Rate,-,31.41%,31.71%,31.09%,45.64%,43.10%,32.73%,27.91%,31.98%,28.54%,31.94%,27.89%,32.78%,30.43%,24.29%,30.62%,31.57%,27.89%,26.42%,26.71%,29.17%
EBITDA,-,444,494,498,440,338,423,456,457,514,557,542,513,532,508,550,516,539,600,598,545
EBITDA Margin,-,14.32%,14.74%,15.03%,13.12%,11.40%,13.97%,13.95%,13.08%,15.08%,15.05%,14.97%,14.37%,15.58%,14.56%,16.45%,15.00%,16.11%,16.13%,16.97%,15.06%
Depreciation & Amortization,-,45,46,44,45,43,49,48,51,51,51,50,51,48,49,48,46,47,52,46,48
EBIT,-,399,448,454,395,295,374,408,406,463,506,492,462,484,459,502,470,492,548,552,497
EBIT Margin,-,12.87%,13.37%,13.70%,11.78%,9.95%,12.35%,12.48%,11.62%,13.59%,13.67%,13.59%,12.94%,14.18%,13.16%,15.01%,13.67%,14.70%,14.73%,15.67%,13.73%
