,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,273,308,317,218,165,224,266,251,308,326,331,281,311,321,324,297,331,376,376,323
Depreciation & Amortization,45,46,44,45,43,49,48,51,51,51,50,51,48,49,48,46,47,52,46,48
Share-Based Compensation,7,9,13,8,11,16,17,19,14,17,17,17,13,15,13,26,15,19,15,15
Other Operating Activities,-28,-9,-10,183,-60,375,17,-12,212,139,-43,-72,132,-32,-146,95,-115,-1,-131,211
Operating Cash Flow,297,354,364,454,159,664,348,309,585,533,355,277,504,353,239,464,278,446,306,597
Operating Cash Flow Growth,-,-,-,-,-46.46%,87.57%,-4.40%,-31.94%,267.92%,-19.73%,2.01%,-10.36%,-13.85%,-33.77%,-32.68%,67.51%,-44.84%,26.35%,28.03%,28.66%
Capital Expenditures,-28,-35,-35,-47,-39,-36,-37,-71,-44,-40,-31,-41,-30,-27,-24,-34,-25,-37,-34,-42
Acquisitions,-19,-13,-7,-8,-5,-11,-34,-3,-24,-27,-8,-21,-8,-20,51,-8,-16,-4,-7,-9
Change in Investments,0,0,0,0,-51,0,0,0,-18,58,0,73,-7,0,0,65,0,0,-2,-22
Other Investing Activities,29,-26,-16,2,3,-3,-76,10,36,-8,37,-31,28,54,45,-118,20,-29,2,22
Investing Cash Flow,-18,-74,-58,-53,-92,-50,-147,-64,-50,-17,-2,-20,-17,7,72,-95,-21,-70,-41,-51
Dividends Paid,0,0,0,0,0,-87,-86,-87,-87,-102,-102,-102,-102,-122,-121,-120,-120,-141,-139,-139
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,-300,-206,-219,0,-200,-200,-300,-150,-175,-175,-225,-225
Debt Issued / Paid,15,1,2,-12,"6,293",-35,-241,-113,-145,-3,-309,"1,807",-474,31,23,33,-32,89,594,-557
Other Financing Activities,-327,-42,-343,-427,"-6,549",198,-82,-55,-42,-31,-75,-26,-47,"-1,823",-67,-13,-14,-17,-63,-11
Financing Cash Flow,-312,-41,-341,-439,-256,76,-409,-255,-574,-342,-705,"1,679",-823,"-2,114",-465,-250,-341,-244,167,-932
Exchange Rate Effect,20,-16,-45,21,-50,17,33,59,-17,25,-19,-32,-63,-59,-69,34,10,-26,-18,25
Net Cash Flow,-13,223,-80,-17,-239,707,-175,49,-56,199,-371,"1,904",-399,"-1,813",-223,153,-74,106,414,-361
Free Cash Flow,269,319,329,407,120,628,311,238,541,493,324,236,474,326,215,430,253,409,272,555
Free Cash Flow Growth,-,-,-,-,-55.39%,96.87%,-5.47%,-41.52%,350.83%,-21.50%,4.18%,-0.84%,-12.38%,-33.87%,-33.64%,82.20%,-46.62%,25.46%,26.51%,29.07%
Free Cash Flow Margin,8.67%,9.52%,9.93%,12.14%,4.05%,20.73%,9.52%,6.81%,15.87%,13.32%,8.95%,6.61%,13.88%,9.35%,6.43%,12.50%,7.56%,10.99%,7.72%,15.33%
Free Cash Flow Per Share,0.62,-,-,0.94,0.28,1.45,0.72,0.55,1.25,1.15,0.76,0.55,1.12,0.77,0.51,1.02,0.61,0.99,0.66,1.35
