,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,"21,655","24,625","27,033","29,262","29,685","35,091","35,115","36,985","32,701","29,879","26,811","32,623","35,015","36,787","33,067","36,616","36,994"
Market Cap Growth,-,-,-,-,-,-,-,-,-,37.08%,42.50%,29.90%,26.39%,10.16%,-14.85%,-23.65%,-11.79%,7.08%,23.12%,23.34%,12.24%,-
Enterprise Value,"-1,302",-,-,-,"-1,021","27,152","29,383","31,725","33,793","34,122","39,354","39,422","41,119","36,756","35,691","32,657","38,517","40,989","42,739","39,131","42,532","42,910"
PE Ratio,-,-,-,-,-,21.48,26.65,30.97,32.30,28.30,30.49,28.88,29.68,26.18,24.02,21.67,26.04,27.51,27.70,23.96,26.04,26.91
PS Ratio,-,-,-,-,-,1.67,1.95,2.14,2.29,2.25,2.53,2.47,2.59,2.29,2.12,1.94,2.38,2.57,2.66,2.36,2.58,2.60
PB Ratio,-,-,-,-,-,-4.49,-5.80,-6.72,-7.58,-7.59,-9.10,-9.11,-10.20,-6.50,-5.98,-5.46,-6.70,-7.21,-7.58,-6.91,-7.44,-7.44
P/FCF Ratio,-,-,-,-,-,18.43,16.59,18.44,22.56,17.28,22.17,22.00,23.20,21.42,21.97,21.43,22.58,28.61,28.15,24.24,24.59,24.84
P/OCF Ratio,-,-,-,-,-,16.27,15.01,16.64,19.77,15.57,19.77,19.71,21.13,19.59,20.07,19.53,20.91,26.25,25.78,22.13,22.51,22.74
Debt / Equity Ratio,0.02,-,-,-,0.25,-1.39,-1.57,-1.60,-1.64,-1.58,-1.60,-1.52,-2.10,-1.42,-1.41,-1.40,-1.45,-1.46,-1.48,-1.61,-1.46,-1.46
Quick Ratio,0.76,-,-,-,0.80,0.76,0.83,0.75,0.74,0.76,0.76,0.75,1.07,1.02,0.70,0.69,0.66,0.66,0.66,0.75,0.74,0.74
Current Ratio,1.06,-,-,-,1.05,1.03,1.11,1.00,0.97,0.99,1.00,1.00,1.32,1.26,0.97,0.97,0.90,0.90,0.90,1.00,0.99,0.99
Interest Coverage,-,399.00,-,-,-,59.00,9.12,10.46,10.97,14.47,18.74,14.91,10.50,13.08,13.11,14.34,13.06,14.91,14.81,14.15,12.12,13.93
Return on Capital (ROIC),,-,-,-,-,56.87%,60.75%,44.49%,44.71%,45.79%,56.16%,58.48%,70.85%,36.51%,69.02%,71.30%,72.24%,64.21%,64.06%,63.21%,52.07%,69.26%
Dividend Yield,-,-,-,-,-,0.00%,0.40%,0.60%,0.90%,1.20%,1.00%,1.10%,1.10%,1.20%,1.40%,1.70%,1.40%,1.40%,1.40%,1.60%,1.10%,1.49%
Payout Ratio,-,-,-,0.00%,0.00%,0.00%,38.50%,32.80%,34.50%,28.20%,31.60%,30.80%,36.40%,32.90%,38.20%,37.70%,40.30%,36.20%,37.40%,37.00%,0.00%,40.12%
Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-0.02%,-0.14%,0.58%,1.03%,0.74%,1.38%,1.71%,2.18%,1.95%,2.31%,1.93%,1.78%,1.99%,1.99%
Total Shareholder Return,-,-,-,-,-,-,0.40%,0.60%,0.88%,1.06%,1.58%,2.13%,1.84%,2.58%,3.11%,3.88%,3.35%,3.71%,3.33%,3.38%,3.09%,3.48%
