,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"16,198","17,988","17,802","17,999","20,076","15,946","21,903","17,551","23,498","24,121","27,990"
Market Cap Growth,65.44%,11.05%,-1.04%,1.11%,11.54%,-20.57%,37.36%,-19.87%,33.88%,2.65%,-
Enterprise Value,"21,314","23,698","22,713","22,581","24,894","20,503","26,489","21,664","28,105","28,134","32,170"
PE Ratio,92.03,22.54,10.58,20.09,-6.41,8.85,10.61,10.23,10.03,13.45,12.80
PS Ratio,0.78,0.97,1.11,1.11,1.17,0.84,1.06,0.86,1.05,1.08,1.16
PB Ratio,0.86,0.96,1.01,1.07,1.49,1.22,1.35,0.95,1.32,1.76,2.05
P/FCF Ratio,13.81,10.19,7.27,9.77,10.37,5.86,6.47,4.67,5.93,6.29,8.06
P/OCF Ratio,13.09,9.54,6.46,8.71,9.18,5.61,6.28,4.53,5.74,6.02,7.61
EV/Sales Ratio,1.03,1.27,1.42,1.39,1.45,1.08,1.28,1.06,1.26,1.26,1.33
EV/EBITDA Ratio,21.14,13.17,8.44,15.52,-17.40,7.22,8.10,7.42,7.38,9.09,8.95
EV/EBIT Ratio,26.02,15.55,9.80,21.36,-13.60,8.64,9.40,9.20,8.98,11.39,10.48
EV/FCF Ratio,18.17,13.43,9.27,12.26,12.86,7.54,7.83,5.77,7.10,7.34,9.26
Debt / Equity Ratio,0.35,0.33,0.30,0.29,0.37,0.36,0.30,0.23,0.28,0.32,0.32
Debt / EBITDA Ratio,6.49,3.39,1.99,3.37,-3.49,1.65,1.48,1.49,1.30,1.41,1.21
Debt / FCF Ratio,5.58,3.46,2.19,2.67,2.58,1.72,1.43,1.16,1.25,1.14,1.26
Asset Turnover,0.07,0.07,0.07,0.07,0.08,0.19,0.30,0.29,0.30,0.31,0.33
Interest Coverage,2.06,4.05,6.70,3.23,-5.79,7.96,10.88,9.98,13.38,11.60,15.35
Return on Equity (ROE),0.90%,4.20%,9.20%,5.00%,-19.30%,14.00%,13.30%,10.00%,13.10%,12.60%,16.50%
Return on Assets (ROA),0.10%,0.30%,0.70%,0.40%,-1.40%,1.80%,3.00%,2.40%,3.10%,2.50%,3.10%
Return on Capital (ROIC),5.99%,5.81%,6.85%,4.36%,5.62%,10.08%,11.22%,8.43%,11.22%,11.01%,13.77%
Earnings Yield,1.09%,4.44%,9.45%,4.98%,-15.60%,11.29%,9.42%,9.78%,9.98%,7.44%,8.22%
FCF Yield,7.24%,9.81%,13.76%,10.23%,9.64%,17.06%,15.45%,21.41%,16.85%,15.89%,12.41%
Dividend Yield,1.40%,1.60%,1.80%,1.80%,1.70%,2.50%,2.00%,2.70%,2.10%,2.10%,2.02%
Payout Ratio,135.10%,36.50%,19.30%,37.20%,-10.90%,21.90%,21.00%,27.10%,21.40%,28.60%,25.86%
Buyback Yield / Dilution,-2.47%,3.49%,5.07%,7.78%,5.56%,-0.57%,-0.47%,0.58%,5.02%,6.54%,5.36%
Total Shareholder Return,-1.07%,5.09%,6.87%,9.58%,7.26%,1.93%,1.53%,3.28%,7.12%,8.64%,7.38%
