,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,-,"52,854","47,982","54,311","41,670","10,439","14,520","8,032","15,641","16,783","17,807","41,610","43,138"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,-80.25%,-69.74%,-85.21%,-62.47%,60.77%,22.64%,418.03%,-
Enterprise Value,-541,-,-,-,-762,"-1,454","50,199","45,447","50,975","39,319","7,986","12,806","6,341","13,880","14,780","15,483","38,929","40,458"
PE Ratio,-,-,-,-,-,-,26.74,20.32,17.54,17.24,-39.27,-11.97,-3.06,-6.88,-13.13,-24.21,439.14,487.32
PS Ratio,-,-,-,-,-,-,10.72,8.10,6.93,5.78,1.80,2.87,2.52,5.59,6.22,6.40,13.39,13.88
PB Ratio,-,-,-,-,-,-,11.43,8.95,8.51,6.42,1.80,2.58,1.47,2.76,2.92,3.01,6.62,6.87
P/FCF Ratio,-,-,-,-,-,-,7.52,6.70,13.52,82.18,-2.71,-3.16,-4.88,-14.26,-28.70,146.75,48.40,50.18
P/OCF Ratio,-,-,-,-,-,-,7.50,6.68,13.45,77.88,-2.75,-3.20,-5.07,-15.17,-31.74,97.47,45.08,46.74
Debt / Equity Ratio,0.26,-,-,-,0.39,0.29,0.41,0.74,0.61,0.61,0.62,0.65,0.66,0.63,0.61,0.54,0.49,0.49
Quick Ratio,0.56,-,-,-,0.31,0.32,0.49,0.70,0.66,0.61,0.07,0.06,0.07,0.04,0.05,0.05,0.03,0.03
Current Ratio,1.62,-,-,-,1.21,1.20,1.47,1.65,1.61,1.55,1.06,1.06,1.07,1.04,1.05,1.05,1.03,1.03
Interest Coverage,-,-,-,-,-,-,1140.36,39.31,43.23,-26.53,-51.44,-28.93,-25.43,-6.69,-2.63,2.66,8.08,0.07
Return on Capital (ROIC),,-,-,-,-,9.21%,19.07%,36.35%,29.68%,34.06%,22.81%,-3.06%,-13.79%,-29.86%,-24.61%,-14.14%,-8.19%,0.49%
Buyback Yield / Dilution,-,-,-,-,-16.97%,-89.67%,-270.34%,-176.20%,-151.66%,-71.24%,10.93%,10.63%,10.26%,-6.45%,-6.16%,-5.96%,-12.17%,-14.42%
Total Shareholder Return,-,-,-,-,-16.97%,-89.67%,-270.34%,-176.20%,-151.66%,-71.24%,10.93%,10.63%,10.26%,-6.45%,-6.16%,-5.96%,-12.17%,-14.42%
