,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"13,624","14,536","12,532","17,677","20,044","13,833","16,553","15,482","20,782","20,147","17,188"
Market Cap Growth,35.23%,6.69%,-13.78%,41.05%,13.39%,-30.99%,19.66%,-6.47%,34.23%,-3.06%,-
Enterprise Value,"15,363","16,247","15,577","19,989","24,695","24,319","22,368","1,095","-6,222","11,204","14,462"
PE Ratio,12.87,13.27,12.56,16.08,16.72,8.16,11.01,15.62,8.66,9.39,7.70
PS Ratio,2.61,2.84,2.44,3.43,3.75,2.50,3.02,3.12,2.99,2.90,2.37
PB Ratio,0.86,0.86,0.74,1.06,1.24,0.92,1.02,0.86,1.13,1.26,1.07
P/FCF Ratio,3.83,7.79,10.19,9.65,9.34,6.51,6.89,7.07,7.07,6.69,6.65
P/OCF Ratio,3.64,6.90,7.84,8.68,8.73,6.08,6.41,6.66,6.86,6.49,6.30
EV/Sales Ratio,2.94,3.18,3.03,3.88,4.62,4.40,4.09,0.22,-0.89,1.61,1.99
EV/EBITDA Ratio,6.78,7.50,7.88,9.16,10.49,9.56,9.59,0.67,-1.80,3.58,4.58
EV/EBIT Ratio,9.48,9.89,10.72,12.42,13.58,11.68,11.74,0.90,-2.01,4.03,4.97
EV/FCF Ratio,4.32,8.71,12.66,10.91,11.50,11.45,9.31,0.50,-2.12,3.72,5.59
Debt / Equity Ratio,0.44,0.34,0.50,0.47,0.53,0.93,0.61,0.20,0.13,0.14,0.39
Debt / EBITDA Ratio,3.10,2.64,4.23,3.56,3.67,5.51,4.26,2.19,0.69,0.73,1.99
Debt / FCF Ratio,1.97,3.06,6.80,4.24,4.02,6.60,4.13,1.63,0.82,0.76,2.43
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05
Return on Equity (ROE),6.80%,6.50%,5.90%,6.40%,7.20%,11.00%,9.20%,5.60%,13.10%,13.30%,13.80%
Return on Assets (ROA),0.90%,0.90%,0.80%,0.90%,1.00%,1.40%,1.20%,0.70%,1.50%,1.30%,1.50%
Return on Capital (ROIC),4.78%,4.96%,4.17%,4.65%,4.94%,5.47%,5.97%,4.96%,12.03%,12.19%,10.48%
Earnings Yield,7.77%,7.53%,7.96%,6.22%,5.98%,12.25%,9.08%,6.40%,11.55%,10.65%,13.20%
FCF Yield,26.12%,12.83%,9.81%,10.36%,10.71%,15.35%,14.52%,14.15%,14.14%,14.95%,15.05%
Dividend Yield,1.00%,1.70%,2.40%,1.80%,1.80%,3.40%,3.40%,3.80%,3.00%,3.40%,5.20%
Payout Ratio,13.20%,22.50%,30.70%,29.30%,31.20%,29.70%,39.10%,60.20%,25.90%,32.30%,40.00%
Buyback Yield / Dilution,-1.66%,1.63%,3.82%,5.47%,5.00%,8.01%,9.35%,3.70%,-0.10%,2.18%,-0.54%
Total Shareholder Return,-0.66%,3.33%,6.22%,7.27%,6.80%,11.41%,12.75%,7.50%,2.90%,5.58%,4.66%
