,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"8,145","12,347","9,572","13,642","20,825","15,734","21,916","28,178","23,488","18,847","15,885"
Market Cap Growth,49.54%,51.59%,-22.47%,42.52%,52.66%,-24.45%,39.29%,28.58%,-16.64%,-19.76%,-
Enterprise Value,"6,901","10,072","8,025","11,086","19,047","15,142","23,756","26,766","24,490","20,951","19,278"
PE Ratio,15.31,10.01,10.67,11.11,20.83,10.75,14.22,15.67,9.57,13.28,12.74
PS Ratio,0.20,0.31,0.24,0.35,0.49,0.37,0.50,0.60,0.45,0.41,0.36
PB Ratio,2.04,2.47,2.19,2.90,5.77,4.76,6.30,6.14,7.78,6.74,5.65
P/FCF Ratio,14.89,8.99,13.79,6.90,14.33,9.90,12.03,6.69,9.34,21.08,11.54
P/OCF Ratio,7.45,6.38,7.13,5.34,9.73,6.53,8.54,5.72,7.22,10.33,7.15
EV/Sales Ratio,0.17,0.25,0.20,0.28,0.45,0.35,0.54,0.57,0.47,0.45,0.44
EV/EBITDA Ratio,4.01,4.75,3.76,4.33,7.39,5.54,8.28,8.19,6.24,7.64,7.30
EV/EBIT Ratio,6.77,6.88,5.42,5.81,10.06,7.72,11.55,11.02,8.02,11.49,11.33
EV/FCF Ratio,12.62,7.33,11.56,5.61,13.11,9.53,13.04,6.35,9.74,23.44,14.01
Debt / Equity Ratio,0.42,0.32,0.40,0.29,0.38,0.42,1.17,0.89,1.30,1.42,1.43
Debt / EBITDA Ratio,0.96,0.76,0.81,0.53,0.53,0.51,1.42,1.25,1.00,1.45,1.52
Debt / FCF Ratio,3.03,1.17,2.50,0.69,0.93,0.87,2.23,0.97,1.57,4.45,2.93
Quick Ratio,0.57,0.66,0.64,0.74,0.53,0.40,0.42,0.62,0.37,0.34,0.15
Current Ratio,1.41,1.48,1.43,1.48,1.26,1.18,1.10,1.19,0.99,0.98,0.99
Asset Turnover,2.87,2.72,2.83,2.89,3.11,3.30,2.81,2.58,2.80,2.92,2.78
Interest Coverage,10.20,16.27,18.50,26.51,25.24,26.86,32.14,46.71,122.12,52.11,34.02
Return on Equity (ROE),14.90%,26.60%,19.40%,27.70%,24.10%,45.30%,46.50%,45.30%,62.20%,49.60%,45.40%
Return on Assets (ROA),3.80%,8.30%,6.40%,9.00%,7.40%,11.30%,9.90%,9.80%,13.30%,8.90%,8.10%
Return on Capital (ROIC),11.72%,19.69%,14.41%,20.40%,20.41%,31.39%,20.58%,20.86%,35.40%,21.02%,18.19%
Earnings Yield,6.53%,9.99%,9.37%,9.00%,4.80%,9.30%,7.03%,6.38%,10.45%,7.53%,8.03%
FCF Yield,6.72%,11.13%,7.25%,14.49%,6.98%,10.10%,8.31%,14.95%,10.71%,4.74%,8.66%
Dividend Yield,2.90%,2.00%,3.30%,3.60%,1.90%,3.10%,2.40%,2.00%,2.90%,4.10%,4.99%
Payout Ratio,43.60%,20.40%,35.50%,40.70%,40.80%,34.00%,34.40%,31.70%,28.20%,55.80%,63.56%
Buyback Yield / Dilution,-2.66%,-1.73%,0.82%,8.01%,4.80%,8.37%,4.73%,1.90%,5.21%,9.47%,3.49%
Total Shareholder Return,0.24%,0.27%,4.12%,11.61%,6.70%,11.47%,7.13%,3.90%,8.11%,13.57%,8.48%
