,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"9,724","10,244","12,866","13,493","11,325","28,620","15,969","21,626","18,147","15,443","13,942"
Market Cap Growth,19.48%,5.35%,25.59%,4.87%,-16.07%,152.72%,-44.20%,35.43%,-16.09%,-14.90%,-
Enterprise Value,"13,294","13,762","16,241","17,140","15,083","32,756","19,466","25,411","22,454",-,"18,625"
PE Ratio,17.49,14.45,19.95,17.48,15.39,33.36,11.16,10.84,19.18,18.08,16.56
PS Ratio,1.31,1.37,1.71,1.75,1.50,3.70,1.69,2.00,1.84,1.67,1.51
PB Ratio,2.26,2.19,2.78,2.74,2.17,5.07,2.36,3.36,3.08,0,2.21
P/FCF Ratio,15.43,18.73,16.58,14.62,13.86,33.95,10.06,11.82,13.81,17.87,23.39
P/OCF Ratio,10.37,12.65,12.04,11.48,9.44,23.02,7.96,9.68,10.56,12.14,12.92
EV/Sales Ratio,1.79,1.84,2.16,2.22,2.00,4.24,2.06,2.36,2.27,-,2.01
EV/EBITDA Ratio,10.02,8.82,11.94,11.81,10.73,20.73,8.08,8.05,12.41,-,11.63
EV/EBIT Ratio,13.12,10.96,14.62,14.51,13.75,26.18,9.51,9.24,16.35,-,16.11
EV/FCF Ratio,21.10,25.16,20.93,18.57,18.46,38.86,12.27,13.89,17.09,-,31.25
Debt / Equity Ratio,0.87,0.78,0.81,0.77,0.75,0.94,0.69,0.72,0.78,0,0.85
Debt / EBITDA Ratio,2.51,2.41,2.68,2.57,2.69,2.46,2.21,1.47,2.57,3.66,3.35
Debt / FCF Ratio,5.29,6.88,4.70,4.05,4.63,4.62,3.36,2.54,3.54,5.35,9.01
Quick Ratio,0.66,0.88,1.31,1.00,0.77,1.13,1.51,1.32,0.97,0,1.04
Current Ratio,0.94,1.28,1.56,1.24,0.94,1.25,1.72,1.56,1.22,0,1.31
Asset Turnover,0.75,0.75,0.74,0.73,0.68,0.60,0.67,0.79,0.77,0,0.69
Interest Coverage,5.99,9.14,8.93,7.72,6.59,7.03,12.09,15.77,10.35,-8.30,-6.67
Return on Equity (ROE),14.08%,16.48%,13.77%,16.68%,14.96%,16.45%,25.37%,29.52%,14.68%,14.49%,13.54%
Return on Assets (ROA),6.21%,7.18%,6.47%,7.64%,7.01%,7.80%,11.14%,14.22%,6.95%,6.65%,6.09%
Return on Capital (ROIC),9.34%,11.48%,9.27%,10.67%,10.16%,10.41%,13.58%,16.07%,10.11%,14.64%,9.20%
Earnings Yield,5.72%,6.92%,5.01%,5.72%,6.50%,3.00%,8.96%,9.22%,5.21%,5.53%,6.13%
FCF Yield,6.48%,5.34%,6.03%,6.84%,7.21%,2.95%,9.94%,8.46%,7.24%,5.59%,4.27%
Dividend Yield,1.92%,2.07%,1.73%,1.83%,2.35%,1.00%,1.86%,1.43%,1.68%,2.03%,2.42%
Payout Ratio,33.63%,29.90%,34.57%,31.99%,36.14%,33.33%,20.75%,15.49%,32.24%,36.77%,40.05%
Buyback Yield / Dilution,5.23%,0.69%,2.07%,1.41%,0.71%,-95.68%,50.00%,5.88%,7.81%,4.24%,1.74%
Total Shareholder Return,7.15%,2.76%,3.80%,3.24%,3.06%,-94.68%,51.86%,7.31%,9.49%,6.27%,4.16%
