,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,187,192,133,359,137,135,"1,192","1,158",872,315
Cash & Cash Equivalents,187,192,133,359,137,135,"1,192","1,158",872,315
Cash Growth,-36.74%,2.67%,-30.73%,169.92%,-61.84%,-1.46%,782.96%,-2.85%,-24.70%,-63.88%
Receivables,852,932,901,926,924,"1,012","1,063","1,520","1,438","1,195"
Inventory,91,110,84,82,95,99,123,223,208,192
Other Current Assets,253,369,383,164,150,144,112,157,223,196
Total Current Assets,"1,383","1,603","1,501","1,531","1,306","1,390","2,490","3,058","2,741","1,898"
"Property, Plant & Equipment",805,933,925,"1,029","1,145","1,288","1,971","2,231","2,304","2,351"
Long-Term Investments,-148,46,473,443,462,436,482,521,141,132
Goodwill,"5,649","6,032","5,905","6,000","6,335","6,563","6,619","6,873","7,095","7,220"
Intangible Assets,896,"1,071",984,949,"1,119","1,207","1,121","1,167","1,167","1,092"
Other Long-Term Assets,363,192,174,148,136,119,160,176,163,144
Total Long-Term Assets,"7,565","8,274","8,461","8,569","9,197","9,613","10,353","10,968","10,870","10,939"
Total Assets,"8,948","9,877","9,962","10,100","10,503","11,003","12,843","14,026","13,611","12,837"
Accounts Payable,258,257,279,261,224,222,263,446,357,324
Deferred Revenue,7,63,4,3,80,17,0,0,0,0
Current Debt,212,518,159,6,36,464,949,143,153,155
Other Current Liabilities,655,871,731,711,717,782,778,"1,187","1,243","1,072"
Total Current Liabilities,"1,132","1,709","1,173",981,"1,057","1,485","1,990","1,776","1,753","1,551"
Long-Term Debt,"3,120","3,244","3,492","3,728","3,748","3,429","4,379","4,512","4,504","4,467"
Other Long-Term Liabilities,723,594,514,654,663,745,711,847,792,812
Total Long-Term Liabilities,"3,843","3,838","4,006","4,382","4,411","4,174","5,090","5,359","5,296","5,279"
Total Liabilities,"4,975","5,547","5,179","5,363","5,468","5,659","7,080","7,135","7,049","6,830"
Total Debt,"3,332","3,762","3,651","3,734","3,784","3,893","5,328","4,655","4,657","4,622"
Debt Growth,-0.94%,12.91%,-2.95%,2.27%,1.34%,2.88%,36.86%,-12.63%,0.04%,-0.75%
Common Stock,2,2,2,2,2,2,2,2,2,2
Retained Earnings,"5,358","5,723","6,199","6,613","7,138","7,602","8,174","9,303","7,649","8,290"
Comprehensive Income,-8,-27,-38,-72,-48,-59,-39,-21,-14,-21
Shareholders' Equity,"3,948","4,301","4,684","4,628","4,921","5,216","5,641","6,759","6,444","5,893"
Total Liabilities and Equity,"8,948","9,877","9,962","10,100","10,503","11,003","12,843","14,026","13,611","12,837"
Net Cash / Debt,"-3,145","-3,570","-3,518","-3,375","-3,647","-3,758","-4,136","-3,497","-3,785","-4,307"
Net Cash Per Share,-21.69,-24.62,-24.77,-24.11,-26.24,-13.82,-30.41,-27.32,-32.08,-38.12
Working Capital,-106,328,550,249,-95,500,"1,282",988,347,-
Book Value Per Share,27.23,29.87,33.46,33.78,36.18,19.46,42.10,54.07,55.55,52.62
