,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"24,181","26,919","37,695","34,246","50,072","46,252","76,362","75,209","76,106","101,304","99,770"
Market Cap Growth,58.21%,11.33%,40.03%,-9.15%,46.21%,-7.63%,65.10%,-1.51%,1.19%,33.11%,-
Enterprise Value,"26,633","30,625","40,896","36,093","50,403","82,830","108,213","96,615","103,775","125,568","121,367"
PE Ratio,16.38,12.81,18.00,18.34,22.38,17.54,14.96,8.89,14.19,15.19,19.18
PS Ratio,0.75,0.77,1.00,0.86,1.20,0.95,0.50,0.47,0.44,0.56,0.53
PB Ratio,2.29,2.50,3.13,2.50,3.65,1.13,1.68,1.50,1.62,2.27,2.18
P/FCF Ratio,125.94,15.98,15.56,9.61,13.85,14.27,9.05,8.13,12.61,13.76,9.16
P/OCF Ratio,33.63,12.47,12.85,8.51,12.25,12.27,8.05,7.27,10.58,11.70,8.02
EV/Sales Ratio,0.82,0.88,1.08,0.91,1.21,1.70,0.70,0.60,0.60,0.70,0.64
EV/EBITDA Ratio,9.61,7.85,10.41,9.28,11.38,17.38,9.10,6.41,9.55,10.09,11.13
EV/EBIT Ratio,12.25,9.25,12.23,11.00,13.05,20.35,13.14,7.87,13.07,13.21,15.36
EV/FCF Ratio,138.71,18.18,16.88,10.12,13.94,25.55,12.83,10.44,17.19,17.06,11.14
Debt / Equity Ratio,0.50,0.48,0.43,0.37,0.40,1.04,0.83,0.65,0.71,0.70,0.68
Debt / EBITDA Ratio,1.89,1.31,1.32,1.29,1.23,8.91,3.15,2.18,3.10,2.50,2.85
Debt / FCF Ratio,27.33,3.04,2.13,1.41,1.50,13.10,4.43,3.56,5.58,4.22,2.86
Quick Ratio,-,-,-,-,1.27,0.69,0.53,0.80,0.60,0.71,0.71
Current Ratio,-,-,-,-,0.85,0.64,0.74,0.77,0.83,0.73,0.73
Asset Turnover,0.60,0.63,0.66,0.67,0.68,0.54,0.99,1.02,1.13,1.22,1.28
Interest Coverage,-,-,-,11.80,15.33,8.17,4.90,8.54,6.57,7.74,5.61
Return on Equity (ROE),14.80%,19.40%,18.20%,13.90%,15.80%,12.30%,11.60%,17.70%,11.20%,14.70%,11.80%
Return on Assets (ROA),2.70%,3.80%,3.70%,3.10%,3.60%,2.90%,3.30%,5.40%,3.50%,4.50%,3.60%
Return on Capital (ROIC),9.34%,13.19%,12.11%,10.24%,12.75%,3.68%,7.60%,11.59%,7.83%,10.72%,8.64%
Earnings Yield,6.10%,7.81%,5.56%,5.45%,4.47%,5.70%,6.68%,11.25%,7.05%,6.58%,5.32%
FCF Yield,0.79%,6.26%,6.43%,10.41%,7.22%,7.01%,11.05%,12.31%,7.93%,7.27%,10.92%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,1.40%,1.64%
Payout Ratio,0.80%,0.50%,0.50%,0.50%,0.40%,0.40%,0.30%,0.20%,25.20%,20.80%,31.50%
Buyback Yield / Dilution,3.32%,5.37%,1.52%,0.33%,3.97%,1.22%,-53.34%,3.26%,8.26%,7.75%,2.99%
Total Shareholder Return,3.32%,5.37%,1.52%,0.33%,3.97%,1.22%,-53.34%,3.26%,9.96%,9.15%,4.64%
